Longitude,Latitude,ElevationBottom
-88.782673497653,33.2715918997535,-1.9
-88.7826643171426,33.2716073166647,-1.9
-88.7826565243404,33.2716203793694,-2
-88.7826583049048,33.2716351659458,-2
-88.7826615319156,33.2716547789476,-2.1
-88.7826655518291,33.2716729527721,-2.1
-88.7826790245338,33.2716901960348,-2.1
-88.7826974823694,33.2716973662515,-2.1
-88.7827164062303,33.2716939490042,-2.1
-88.7827368600963,33.2716905416143,-2.1
-88.7827563127587,33.2716833996941,-2.1
-88.7827800130596,33.2716734282926,-2.1
-88.7828073381994,33.2716615295844,-2
-88.7828378179852,33.2716492979218,-2.1
-88.7828695229402,33.2716414824867,-2.1
-88.7829015448478,33.2716366125582,-2
-88.7829322840773,33.2716337400032,-2
-88.7829663273874,33.2716308338674,-2
-88.7829976857051,33.2716382279158,-2
-88.7830287158242,33.2716412223576,-2
-88.7830597580223,33.2716441980751,-2
-88.7830903337898,33.2716432457604,-2
-88.7831243700144,33.2716414391115,-2
-88.7831585688145,33.271639626356,-2
-88.7831929327381,33.2716378083664,-2
-88.7832272137069,33.2716324910322,-1.9
-88.7832549203813,33.2716217883074,-1.9
-88.7832859331277,33.2716115689965,-1.9
-88.7833202592017,33.2716063003134,-1.9
-88.7833512111155,33.271604795203,-1.9
-88.7833811839906,33.2716033162306,-1.9
-88.7834157582277,33.2716018031336,-2
-88.7834485587502,33.2716003031056,-2
-88.7834764770582,33.2715957109769,-2
-88.7835056877404,33.2715855263601,-2
-88.7835333149999,33.2715753298724,-2
-88.7835653134603,33.271564104225,-2
-88.7835962643471,33.2715527269927,-2
-88.7836268699298,33.2715397514022,-2
-88.783655116377,33.2715302687746,-2
-88.7836885539724,33.271522937159,-2
-88.7837194914902,33.2715173735957,-2
-88.7837463489641,33.271506342721,-2
-88.7837701986061,33.2714900247732,-2
-88.7837956504255,33.2714703594615,-2
-88.7838200784599,33.2714549519886,-1.9
-88.7838484861604,33.2714408722769,-2
-88.7838790337552,33.2714364928304,-1.9
-88.7839104354407,33.2714312306677,-2
-88.783941360452,33.2714231719496,-2
-88.7839670207503,33.2714094952168,-2
-88.7839881689581,33.2713911736202,-1.9
-88.7840087199723,33.2713716001314,-1.9
-88.7840299003453,33.2713548303475,-1.9
-88.7840556257838,33.2713402069961,-1.9
-88.7840865057534,33.2713277934665,-1.9
-88.7841139636036,33.2713135591437,-1.9
-88.784142645431,33.2713004580814,-1.9
