Longitude,Latitude,ElevationBottom
-88.78990913,33.27487049,-2.1
-88.78990591,33.27413601,-2.1
-88.78990567,33.27307984,-1.9
-88.78989915,33.27432679,-2.1
-88.78989817,33.27411067,-2
-88.78989637,33.27485418,-1.9
-88.78989249,33.27408426,-2
-88.78988782,33.27405803,-2
-88.78988475,33.27307173,-1.9
-88.78988169,33.27483825,-2
-88.78987952,33.27403194,-1.9
-88.78987712,33.27434023,-1.9
-88.78986691,33.27400798,-2
-88.78986468,33.27482503,-2
-88.7898636,33.27306781,-1.8
-88.78985279,33.27398463,-2
-88.78985138,33.27435334,-1.9
-88.78984297,33.27306443,-1.9
-88.78984238,33.27481337,-2.1
-88.78983731,33.27396127,-1.9
-88.78982381,33.27436184,-1.9
-88.78982164,33.2739378,-1.7
-88.78982123,33.27480408,-2.1
-88.78981814,33.27306117,-1.9
-88.78980623,33.27391395,-2
-88.78979813,33.27479651,-2.2
-88.78979624,33.2743699,-2
-88.78979169,33.27305795,-2.1
-88.78978908,33.27389018,-2.1
-88.78977506,33.27478938,-1.8
-88.78977311,33.27386656,-1.8
-88.78976873,33.27306113,-2.1
-88.78976797,33.27437839,-2.1
-88.78975832,33.27384054,-2.1
-88.78974941,33.27478135,-2.1
-88.78974509,33.27381487,-2.1
-88.78974296,33.27438616,-1.9
-88.78974104,33.27305937,-2.1
-88.78973182,33.27378852,-2
-88.78972762,33.27476937,-2.1
-88.78972008,33.27376509,-2
-88.78971725,33.27439461,-2.1
-88.78971537,33.27305632,-2.1
-88.78971033,33.27373899,-2.1
-88.78970875,33.27475501,-2
-88.78970104,33.27371292,-2.1
-88.7896943,33.27440437,-2.1
-88.78969316,33.2747379,-2
-88.78969162,33.27368692,-2
-88.78968963,33.27305877,-2.1
-88.78968286,33.27366074,-2
-88.78967767,33.27471854,-1.9
-88.78967282,33.27363681,-2.1
-88.7896717,33.27441376,-1.9
-88.78966269,33.27360514,-2.2
-88.78966212,33.27306119,-2.1
-88.78966212,33.27469917,-2
-88.7896511,33.27442536,-2.1
-88.78965061,33.27358195,-2.2
-88.78964717,33.27468192,-2
-88.78963641,33.27355708,-2.1
-88.7896348,33.27443874,-2
-88.78963447,33.27306381,-2.1
-88.78963124,33.27466671,-2.1
-88.78962149,33.27445425,-2.1
-88.78962088,33.2735325,-2.1
-88.78961567,33.27465106,-2.1
-88.78961017,33.27447274,-2.1
-88.78960901,33.27306825,-2
-88.78960662,33.27449329,-2
-88.78960501,33.27351009,-2
-88.78960456,33.27451553,-2.1
-88.78960247,33.27453799,-2.1
-88.78960042,33.27455954,-2.1
-88.78959999,33.27463371,-2.1
-88.7895977,33.2745789,-2
-88.78959413,33.27459777,-2
-88.78959053,33.27461618,-2.1
-88.78958928,33.27348861,-2.1
-88.78958322,33.27307378,-2
-88.78957229,33.27346852,-2.3
-88.78955734,33.27308039,-2
-88.78955368,33.27344902,-2.2
-88.78953065,33.27308597,-1.9
-88.78952805,33.27343222,-2
-88.78950647,33.27307067,-1.9
-88.7895051,33.2734167,-1.9
-88.78948118,33.27306306,-1.9
-88.78947925,33.27340079,-2.2
-88.78945611,33.27338808,-2
-88.78945551,33.27305782,-2
-88.78944389,33.27378772,-1.7
-88.78944259,33.2737708,-1.9
-88.78943768,33.27375216,-1.9
-88.78943155,33.27305052,-2
-88.78943005,33.27373328,-2
-88.7894294,33.27379867,-2.1
-88.78942856,33.2733896,-2.1
-88.78942017,33.27371339,-1.9
-88.78940933,33.2730453,-1.6
-88.78940696,33.27380435,-2.1
-88.78940694,33.27369383,-1.9
-88.78940286,33.27339145,-2.1
-88.78939119,33.27367135,-2
-88.78938763,33.27304115,-1.8
-88.78938271,33.27335179,-1.9
-88.78938104,33.27380869,-2.1
-88.78938033,33.27333332,-2
-88.7893766,33.27331612,-2
-88.78937528,33.27339333,-2
-88.78937426,33.27364634,-1.9
-88.78937422,33.27336894,-1.9
-88.78937081,33.27330107,-2
-88.7893659,33.27338445,-0.8
-88.78936496,33.27303492,-1.8
-88.78936406,33.27356758,-2
-88.78936312,33.27362239,-1.7
-88.78936206,33.27328599,-1.9
-88.78936162,33.2735394,-2
-88.78935743,33.2735953,-1.9
-88.78935606,33.27380342,-2.1
-88.78935604,33.27351173,-1.9
-88.78935255,33.27339825,-2
-88.78935115,33.27327214,-2
-88.78934988,33.27348445,-2
-88.78934474,33.27339519,-2
-88.78934323,33.27302942,-1.8
-88.78934002,33.27345571,-1.8
-88.7893366,33.27326229,-1.9
-88.78933485,33.27341015,-2
-88.78933395,33.27378447,-2.1
-88.78932275,33.27302512,-1.9
-88.78932226,33.27343468,-1.7
-88.78931726,33.27375977,-2
-88.78931583,33.27339932,-2
-88.78931389,33.27325665,-2
-88.78931367,33.27342152,-1.9
-88.78930033,33.27373634,-2
-88.78929978,33.27302333,-1.9
-88.78929826,33.27342638,-2
-88.78929542,33.27325233,-2
-88.78928804,33.27343073,-1.9
-88.78928484,33.27340441,-2
-88.78927909,33.2737156,-2
-88.78927769,33.27324726,-2
-88.7892766,33.27302154,-1.9
-88.78927043,33.27342831,-1.9
-88.78925789,33.27343969,-1.8
-88.78925703,33.27341214,-1.9
-88.78925548,33.27324772,-1.9
-88.78925421,33.27301976,-1.9
-88.78925133,33.2736968,-2.1
-88.78924257,33.27343024,-1.9
-88.78923541,33.2730184,-1.9
-88.78923247,33.27325588,-1.9
-88.78923038,33.27723943,-1.7
-88.78922936,33.27344563,-1.9
-88.78922829,33.27722392,-1.6
-88.78922718,33.27341923,-2
-88.78922623,33.27720764,-1.8
-88.78922474,33.27725334,-1.7
-88.78922414,33.27719076,-1.7
-88.78922269,33.27368259,-2.1
-88.78922207,33.27717524,-1.8
-88.78921947,33.27726893,-1.8
-88.78921699,33.2730249,-1.9
-88.78921608,33.27728325,-1.8
-88.78921511,33.2771593,-1.7
-88.78921244,33.27729743,-1.8
-88.78921164,33.27343222,-2
-88.78920966,33.27326648,-1.9
-88.78920757,33.27714384,-1.7
-88.78920579,33.2773132,-1.8
-88.78920001,33.2773291,-1.8
-88.78919942,33.2771288,-1.9
-88.78919916,33.27344972,-2
-88.78919825,33.27342719,-2
-88.78919457,33.27734456,-1.7
-88.78919253,33.2736724,-2.1
-88.78919242,33.27303461,-1.9
-88.78918914,33.27735705,-1.8
-88.7891873,33.27711656,-1.8
-88.7891844,33.27328216,-2
-88.78918411,33.2734281,-2
-88.78918149,33.27736879,-1.8
-88.78917331,33.27710414,-1.8
-88.78917249,33.27304594,-1.9
-88.78917166,33.27738191,-1.8
-88.78916806,33.27345262,-2
-88.78916726,33.27343617,-2
-88.78916324,33.27329725,-1.6
-88.78916161,33.27739491,-1.8
-88.78916147,33.27366618,-2.1
-88.78915853,33.27342099,-2
-88.78915781,33.27709398,-1.8
-88.78915549,33.27305484,-1.9
-88.78914928,33.2774092,-1.8
-88.78914354,33.27708047,-1.8
-88.78914325,33.27331609,-1.7
-88.78913951,33.27345555,-2.1
-88.78913916,33.27742226,-1.8
-88.78913914,33.27306521,-1.9
-88.78913813,33.27341196,-2
-88.7891362,33.27344665,-2.1
-88.78913159,33.2733345,-2
-88.78913027,33.27706692,-1.8
-88.78912965,33.27366367,-2
-88.78912878,33.27335829,-2.1
-88.78912826,33.27743544,-1.8
-88.78912596,33.27337814,-2.1
-88.78912315,33.27339826,-2
-88.78912017,33.27307357,-2
-88.78911706,33.27705525,-1.8
-88.78911562,33.27744836,-1.8
-88.78910599,33.27345767,-2.1
-88.78910518,33.27345845,-2.1
-88.78910483,33.27704848,-1.8
-88.78910234,33.27746059,-1.8
-88.78910127,33.2730806,-2
-88.7890962,33.27366114,-2.1
-88.78909151,33.27704271,-1.8
-88.78908872,33.27746971,-1.7
-88.78907774,33.27308693,-1.7
-88.78907693,33.2734715,-2.1
-88.78907625,33.27703785,-1.4
-88.7890749,33.27748198,-1.7
-88.7890746,33.27345974,-2.1
-88.7890611,33.27749324,-1.7
-88.78905786,33.27703367,-1.8
-88.78905776,33.27309627,-2
-88.78905766,33.27366177,-2
-88.78905129,33.27348443,-2.1
-88.78904433,33.27750547,-1.7
-88.78904331,33.27346179,-2.1
-88.7890423,33.27703049,-1.9
-88.78903138,33.27310477,-2.1
-88.78902879,33.27751708,-1.7
-88.78902557,33.27349763,-2
-88.78902385,33.27702782,-1.9
-88.78902189,33.27366862,-2
-88.78901413,33.27752912,-1.7
-88.78901114,33.27311645,-2.1
-88.7890097,33.27346294,-2.1
-88.78900686,33.27702513,-1.8
-88.78900082,33.2775408,-1.8
-88.78899829,33.27351179,-2
-88.78899241,33.27312677,-2
-88.7889897,33.27702775,-1.8
-88.78898802,33.27755475,-1.8
-88.78898761,33.27367467,-2.1
-88.78897722,33.27346183,-2
-88.78897503,33.27703207,-1.9
-88.78897486,33.27352456,-2.1
-88.78897291,33.27756596,-1.8
-88.78897234,33.27313548,-2
-88.78896041,33.27704049,-1.9
-88.7889581,33.27757761,-1.7
-88.78895415,33.27367954,-2
-88.78895371,33.27314425,-2
-88.78895179,33.27353659,-2.2
-88.78894427,33.27346073,-2.1
-88.78894349,33.27705245,-1.8
-88.7889414,33.27758884,-1.8
-88.788933,33.27315297,-2
-88.78893015,33.27706432,-1.8
-88.78892857,33.27354805,-2.2
-88.78892637,33.27760027,-1.8
-88.78891654,33.27368319,-2.1
-88.78891528,33.2770764,-1.9
-88.78891143,33.27315857,-2.1
-88.78891059,33.27761208,-1.7
-88.78891001,33.27345962,-2.1
-88.78890756,33.2735601,-1.9
-88.78890116,33.27708898,-1.8
-88.78889492,33.27762445,-1.7
