"","depth","long","lat"
"1",-2.08170644463166,333135.247685838,3682626.50535348
"2",-2.08290617786886,333150.247685838,3682626.50535348
"3",-2.08417960525984,333165.247685838,3682626.50535348
"4",-2.08552955970452,333180.247685838,3682626.50535348
"5",-2.08695854073929,333195.247685838,3682626.50535348
"6",-2.08846860732787,333210.247685838,3682626.50535348
"7",-2.09006125433655,333225.247685838,3682626.50535348
"8",-2.09173727027192,333240.247685838,3682626.50535348
"9",-2.09349657308803,333255.247685838,3682626.50535348
"10",-2.09533801988433,333270.247685838,3682626.50535348
"11",-2.09725918510144,333285.247685838,3682626.50535348
"12",-2.09925610040115,333300.247685838,3682626.50535348
"13",-2.1013229478101,333315.247685838,3682626.50535348
"14",-2.10345169594564,333330.247685838,3682626.50535348
"15",-2.10563166727068,333345.247685838,3682626.50535348
"16",-2.10784902241215,333360.247685838,3682626.50535348
"17",-2.11008614583715,333375.247685838,3682626.50535348
"18",-2.11232091619387,333390.247685838,3682626.50535348
"19",-2.11452584601355,333405.247685838,3682626.50535348
"20",-2.1166670832751,333420.247685838,3682626.50535348
"21",-2.11870329111904,333435.247685838,3682626.50535348
"22",-2.12058448274766,333450.247685838,3682626.50535348
"23",-2.12225102877378,333465.247685838,3682626.50535348
"24",-2.12363335059209,333480.247685838,3682626.50535348
"25",-2.12465338067404,333495.247685838,3682626.50535348
"26",-2.1252298334418,333510.247685838,3682626.50535348
"27",-2.12529076234284,333525.247685838,3682626.50535348
"28",-2.12479890119861,333540.247685838,3682626.50535348
"29",-2.12379857395367,333555.247685838,3682626.50535348
"30",-2.12249664751061,333570.247685838,3682626.50535348
"31",-2.1213730842183,333585.247685838,3682626.50535348
"32",-2.12121256426803,333600.247685838,3682626.50535348
"33",-2.12280130872391,333615.247685838,3682626.50535348
"34",-2.12633354666411,333630.247685838,3682626.50535348
"35",-2.13125859439101,333645.247685838,3682626.50535348
"36",-2.13678197383306,333660.247685838,3682626.50535348
"37",-2.14228960798794,333675.247685838,3682626.50535348
"38",-2.14744378208317,333690.247685838,3682626.50535348
"39",-2.15213642589417,333705.247685838,3682626.50535348
"40",-2.15639762689868,333720.247685838,3682626.50535348
"41",-2.16031131224181,333735.247685838,3682626.50535348
"42",-2.16396357945928,333750.247685838,3682626.50535348
"43",-2.16742159375309,333765.247685838,3682626.50535348
"44",-2.17073054269044,333780.247685838,3682626.50535348
"45",-2.17391761445729,333795.247685838,3682626.50535348
"46",-2.17699739369198,333810.247685838,3682626.50535348
"47",-2.17997704218893,333825.247685838,3682626.50535348
"48",-2.18286080293253,333840.247685838,3682626.50535348
"49",-2.18565336991443,333855.247685838,3682626.50535348
"50",-2.18836185320298,333870.247685838,3682626.50535348
"51",-2.19099645640505,333885.247685838,3682626.50535348
"52",-2.19357022556848,333900.247685838,3682626.50535348
"53",-2.19609825911416,333915.247685838,3682626.50535348
"54",-2.19859669576138,333930.247685838,3682626.50535348
"55",-2.20108170155681,333945.247685838,3682626.50535348
"56",-2.20356858703515,333960.247685838,3682626.50535348
"57",-2.20607111769402,333975.247685838,3682626.50535348
"58",-2.20860104535199,333990.247685838,3682626.50535348
"59",-2.21116787868129,334005.247685838,3682626.50535348
"60",-2.213778910382,334020.247685838,3682626.50535348
"61",-2.21643950999856,334035.247685838,3682626.50535348
"62",-2.21915366935192,334050.247685838,3682626.50535348
"63",-2.22192475452238,334065.247685838,3682626.50535348
"64",-2.22475637911058,334080.247685838,3682626.50535348
"65",-2.22765327129801,334095.247685838,3682626.50535348
"66",-2.23062196530016,334110.247685838,3682626.50535348
"67",-2.23367111706319,334125.247685838,3682626.50535348
"68",-2.23681124943274,334140.247685838,3682626.50535348
"69",-2.24005380570387,334155.247685838,3682626.50535348
"70",-2.24340954470134,334170.247685838,3682626.50535348
"71",-2.24688650356329,334185.247685838,3682626.50535348
"72",-2.25048788944637,334200.247685838,3682626.50535348
"73",-2.25421024909358,334215.247685838,3682626.50535348
"74",-2.25804210795918,334230.247685838,3682626.50535348
"75",-2.26196307515677,334245.247685838,3682626.50535348
"76",-2.26594330288349,334260.247685838,3682626.50535348
"77",-2.26994321822216,334275.247685838,3682626.50535348
"78",-2.2739135661853,334290.247685838,3682626.50535348
"79",-2.27779593003316,334305.247685838,3682626.50535348
"80",-2.28152396052096,334320.247685838,3682626.50535348
"81",-2.28502552163729,334335.247685838,3682626.50535348
"82",-2.28822584955592,334350.247685838,3682626.50535348
"83",-2.29105164280787,334365.247685838,3682626.50535348
"84",-2.29343578361207,334380.247685838,3682626.50535348
"85",-2.29532217527614,334395.247685838,3682626.50535348
"86",-2.29667002884252,334410.247685838,3682626.50535348
"87",-2.29745691107159,334425.247685838,3682626.50535348
"88",-2.2976800197492,334440.247685838,3682626.50535348
"89",-2.2973554676394,334455.247685838,3682626.50535348
"90",-2.29651574950514,334470.247685838,3682626.50535348
"91",-2.29520591192551,334485.247685838,3682626.50535348
"92",-2.29347913372307,334500.247685838,3682626.50535348
"93",-2.29139241409486,334515.247685838,3682626.50535348
"94",-2.28900289424076,334530.247685838,3682626.50535348
"95",-2.28636509325433,334545.247685838,3682626.50535348
"96",-2.28352910782872,334560.247685838,3682626.50535348
"97",-2.08015673171285,333135.247685838,3682641.50535348
"98",-2.08134856662023,333150.247685838,3682641.50535348
"99",-2.08261849991136,333165.247685838,3682641.50535348
"100",-2.08396996432083,333180.247685838,3682641.50535348
"101",-2.08540608016666,333195.247685838,3682641.50535348
"102",-2.08692953929413,333210.247685838,3682641.50535348
"103",-2.08854247053732,333225.247685838,3682641.50535348
"104",-2.09024628376494,333240.247685838,3682641.50535348
"105",-2.0920414884785,333255.247685838,3682641.50535348
"106",-2.09392748144701,333270.247685838,3682641.50535348
"107",-2.09590229594648,333285.247685838,3682641.50535348
"108",-2.09796230278374,333300.247685838,3682641.50535348
"109",-2.10010185036862,333315.247685838,3682641.50535348
"110",-2.10231282754997,333330.247685838,3682641.50535348
"111",-2.10458412853983,333345.247685838,3682641.50535348
"112",-2.1069009936348,333360.247685838,3682641.50535348
"113",-2.10924419198382,333375.247685838,3682641.50535348
"114",-2.11158900248541,333390.247685838,3682641.50535348
"115",-2.11390393516406,333405.247685838,3682641.50535348
