"","depth","long","lat"
"1",66.4629815263514,332332.774150519,3682686.50535348
"2",66.4621483912132,332347.774150519,3682686.50535348
"3",66.4612832565222,332362.774150519,3682686.50535348
"4",66.4603856724864,332377.774150519,3682686.50535348
"5",66.4594552226582,332392.774150519,3682686.50535348
"6",66.458491526398,332407.774150519,3682686.50535348
"7",66.457494241279,332422.774150519,3682686.50535348
"8",66.4564630654165,332437.774150519,3682686.50535348
"9",66.4553977396959,332452.774150519,3682686.50535348
"10",66.4542980498636,332467.774150519,3682686.50535348
"11",66.453163828471,332482.774150519,3682686.50535348
"12",66.4519949566397,332497.774150519,3682686.50535348
"13",66.4507913656051,332512.774150519,3682686.50535348
"14",66.4495530380288,332527.774150519,3682686.50535348
"15",66.4482800090286,332542.774150519,3682686.50535348
"16",66.44697236691,332557.774150519,3682686.50535348
"17",66.4456302535519,332572.774150519,3682686.50535348
"18",66.4442538644241,332587.774150519,3682686.50535348
"19",66.4428434481803,332602.774150519,3682686.50535348
"20",66.4413993058143,332617.774150519,3682686.50535348
"21",66.4399217893149,332632.774150519,3682686.50535348
"22",66.4384112997953,332647.774150519,3682686.50535348
"23",66.4368682850434,332662.774150519,3682686.50535348
"24",66.4352932364488,332677.774150519,3682686.50535348
"25",66.4336866852643,332692.774150519,3682686.50535348
"26",66.4320491981459,332707.774150519,3682686.50535348
"27",66.4303813719094,332722.774150519,3682686.50535348
"28",66.4286838274634,332737.774150519,3682686.50535348
"29",66.4269572028492,332752.774150519,3682686.50535348
"30",66.4252021453174,332767.774150519,3682686.50535348
"31",66.4234193023916,332782.774150519,3682686.50535348
"32",66.4216093118305,332797.774150519,3682686.50535348
"33",66.4197727904348,332812.774150519,3682686.50535348
"34",66.4179103216334,332827.774150519,3682686.50535348
"35",66.4160224417498,332842.774150519,3682686.50535348
"36",66.4141096249361,332857.774150519,3682686.50535348
"37",66.4121722666829,332872.774150519,3682686.50535348
"38",66.4102106658945,332887.774150519,3682686.50535348
"39",66.4082250055135,332902.774150519,3682686.50535348
"40",66.406215331711,332917.774150519,3682686.50535348
"41",66.4041815317017,332932.774150519,3682686.50535348
"42",66.402123310323,332947.774150519,3682686.50535348
"43",66.4000401655404,332962.774150519,3682686.50535348
"44",66.3979313631857,332977.774150519,3682686.50535348
"45",66.395795911271,332992.774150519,3682686.50535348
"46",66.3936325344311,333007.774150519,3682686.50535348
"47",66.3914396490983,333022.774150519,3682686.50535348
"48",66.3892153402457,333037.774150519,3682686.50535348
"49",66.3869573406696,333052.774150519,3682686.50535348
"50",66.3846630139588,333067.774150519,3682686.50535348
"51",66.3823293425065,333082.774150519,3682686.50535348
"52",66.3799529220377,333097.774150519,3682686.50535348
"53",66.3775299642901,333112.774150519,3682686.50535348
"54",66.3750563095576,333127.774150519,3682686.50535348
"55",66.3725274508312,333142.774150519,3682686.50535348
"56",66.3699385712772,333157.774150519,3682686.50535348
"57",66.3672845966689,333172.774150519,3682686.50535348
"58",66.3645602643881,333187.774150519,3682686.50535348
"59",66.3617602106151,333202.774150519,3682686.50535348
"60",66.3588790775733,333217.774150519,3682686.50535348
"61",66.3559116434325,333232.774150519,3682686.50535348
"62",66.3528529787823,333247.774150519,3682686.50535348
"63",66.3496986358731,333262.774150519,3682686.50535348
"64",66.3464448802972,333277.774150519,3682686.50535348
"65",66.3430889797731,333292.774150519,3682686.50535348
"66",66.3396295714508,333307.774150519,3682686.50535348
"67",66.3360671381559,333322.774150519,3682686.50535348
"68",66.3324046359253,333337.774150519,3682686.50535348
"69",66.3286483312506,333352.774150519,3682686.50535348
"70",66.3248089292572,333367.774150519,3682686.50535348
"71",66.3209031081465,333382.774150519,3682686.50535348
"72",66.3169556298884,333397.774150519,3682686.50535348
"73",66.3130022904309,333412.774150519,3682686.50535348
"74",66.3090941413939,333427.774150519,3682686.50535348
"75",66.3053037393199,333442.774150519,3682686.50535348
"76",66.3017348337164,333457.774150519,3682686.50535348
"77",66.298538278766,333472.774150519,3682686.50535348
"78",66.2959398371973,333487.774150519,3682686.50535348
"79",66.2942912100473,333502.774150519,3682686.50535348
"80",66.2941643677477,333517.774150519,3682686.50535348
"81",66.2965106430961,333532.774150519,3682686.50535348
"82",66.3028386880945,333547.774150519,3682686.50535348
"83",66.3151074002446,333562.774150519,3682686.50535348
"84",66.3362768046254,333577.774150519,3682686.50535348
"85",66.3851105648466,333592.774150519,3682686.50535348
"86",66.6176849086815,333607.774150519,3682686.50535348
"87",66.4779000845705,333622.774150519,3682686.50535348
"88",66.3778081796391,333637.774150519,3682686.50535348
"89",66.3280322798887,333652.774150519,3682686.50535348
"90",66.292863696126,333667.774150519,3682686.50535348
"91",66.2768487709071,333682.774150519,3682686.50535348
"92",66.2680255542607,333697.774150519,3682686.50535348
"93",66.2621473468336,333712.774150519,3682686.50535348
"94",66.2573085292491,333727.774150519,3682686.50535348
"95",66.2527676762299,333742.774150519,3682686.50535348
"96",66.2483995177929,333757.774150519,3682686.50535348
"97",66.2441927640708,333772.774150519,3682686.50535348
"98",66.2400869129687,333787.774150519,3682686.50535348
"99",66.2360870266279,333802.774150519,3682686.50535348
"100",66.2322672578802,333817.774150519,3682686.50535348
"101",66.2286998849911,333832.774150519,3682686.50535348
"102",66.2254182655137,333847.774150519,3682686.50535348
"103",66.222418326662,333862.774150519,3682686.50535348
"104",66.2196694153466,333877.774150519,3682686.50535348
"105",66.2171234579426,333892.774150519,3682686.50535348
"106",66.2147240338275,333907.774150519,3682686.50535348
"107",66.2124149073034,333922.774150519,3682686.50535348
