Date	Month	Day	Macon Q (cfs)	Bluff Q est (cfs)
10/1/1978	10	01	52	14.9
10/2/1978	10	02	50	14.3
10/3/1978	10	03	48	13.8
10/4/1978	10	04	48	13.8
10/5/1978	10	05	141	40.4
10/6/1978	10	06	104	29.8
10/7/1978	10	07	76	21.8
10/8/1978	10	08	69	19.8
10/9/1978	10	09	67	19.2
10/10/1978	10	10	65	18.6
10/11/1978	10	11	65	18.6
10/12/1978	10	12	65	18.6
10/13/1978	10	13	67	19.2
10/14/1978	10	14	62	17.8
10/15/1978	10	15	71	20.3
10/16/1978	10	16	67	19.2
10/17/1978	10	17	65	18.6
10/18/1978	10	18	65	18.6
10/19/1978	10	19	65	18.6
10/20/1978	10	20	69	19.8
10/21/1978	10	21	71	20.3
10/22/1978	10	22	67	19.2
10/23/1978	10	23	65	18.6
10/24/1978	10	24	64	18.3
10/25/1978	10	25	64	18.3
10/26/1978	10	26	65	18.6
10/27/1978	10	27	65	18.6
10/28/1978	10	28	64	18.3
10/29/1978	10	29	64	18.3
10/30/1978	10	30	60	17.2
10/31/1978	10	31	60	17.2
11/1/1978	11	01	62	17.8
11/2/1978	11	02	64	18.3
11/3/1978	11	03	64	18.3
11/4/1978	11	04	65	18.6
11/5/1978	11	05	65	18.6
11/6/1978	11	06	65	18.6
11/7/1978	11	07	69	19.8
11/8/1978	11	08	78	22.3
11/9/1978	11	09	88	25.2
11/10/1978	11	10	74	21.2
11/11/1978	11	11	79	22.6
11/12/1978	11	12	85	24.3
11/13/1978	11	13	90	25.8
11/14/1978	11	14	83	23.8
11/15/1978	11	15	76	21.8
11/16/1978	11	16	69	19.8
11/17/1978	11	17	78	22.3
11/18/1978	11	18	95	27.2
11/19/1978	11	19	139	39.8
11/20/1978	11	20	94	26.9
11/21/1978	11	21	86	24.6
11/22/1978	11	22	103	29.5
11/23/1978	11	23	103	29.5
11/24/1978	11	24	92	26.4
11/25/1978	11	25	83	23.8
11/26/1978	11	26	74	21.2
11/27/1978	11	27	72	20.6
11/28/1978	11	28	76	21.8
11/29/1978	11	29	97	27.8
11/30/1978	11	30	113	32.4
12/1/1978	12	01	152	43.5
12/2/1978	12	02	104	29.8
12/3/1978	12	03	101	28.9
12/4/1978	12	04	126	36.1
12/5/1978	12	05	197	56.4
12/6/1978	12	06	161	46.1
12/7/1978	12	07	137	39.2
12/8/1978	12	08	167	47.8
12/9/1978	12	09	494	141.5
12/10/1978	12	10	786	225.2
12/11/1978	12	11	443	126.9
12/12/1978	12	12	288	82.5
12/13/1978	12	13	259	74.2
12/14/1978	12	14	201	57.6
12/15/1978	12	15	170	48.7
12/16/1978	12	16	157	45.0
12/17/1978	12	17	152	43.5
12/18/1978	12	18	148	42.4
12/19/1978	12	19	139	39.8
12/20/1978	12	20	135	38.7
12/21/1978	12	21	139	39.8
12/22/1978	12	22	176	50.4
12/23/1978	12	23	165	47.3
12/24/1978	12	24	157	45.0
12/25/1978	12	25	176	50.4
12/26/1978	12	26	180	51.6
12/27/1978	12	27	154	44.1
12/28/1978	12	28	141	40.4
12/29/1978	12	29	135	38.7
12/30/1978	12	30	137	39.2
12/31/1978	12	31	185	53.0
1/1/1979	01	01	1110	318.0
1/2/1979	01	02	2490	713.3
1/3/1979	01	03	2020	578.6
1/4/1979	01	04	1030	295.1
1/5/1979	01	05	824	236.0
1/6/1979	01	06	613	175.6
1/7/1979	01	07	3710	1062.8
1/8/1979	01	08	5030	1440.9
1/9/1979	01	09	4100	1174.5
1/10/1979	01	10	1740	498.4
1/11/1979	01	11	766	219.4
1/12/1979	01	12	579	165.9
1/13/1979	01	13	492	140.9
1/14/1979	01	14	447	128.0
1/15/1979	01	15	397	113.7
1/16/1979	01	16	347	99.4
1/17/1979	01	17	322	92.2
1/18/1979	01	18	311	89.1
1/19/1979	01	19	492	140.9
1/20/1979	01	20	5610	1607.0
1/21/1979	01	21	14500	4153.6
1/22/1979	01	22	12800	3666.7
1/23/1979	01	23	11100	3179.7
1/24/1979	01	24	11600	3322.9
1/25/1979	01	25	9360	2681.3
1/26/1979	01	26	7700	2205.7
1/27/1979	01	27	7470	2139.8
1/28/1979	01	28	7270	2082.6
1/29/1979	01	29	6730	1927.9
1/30/1979	01	30	4910	1406.5
1/31/1979	01	31	3110	890.9
2/1/1979	02	01	2100	601.6
2/2/1979	02	02	1340	383.9
2/3/1979	02	03	1080	309.4
2/4/1979	02	04	1040	297.9
2/5/1979	02	05	854	244.6
2/6/1979	02	06	1030	295.1
2/7/1979	02	07	2510	719.0
2/8/1979	02	08	2610	747.7
2/9/1979	02	09	1870	535.7
2/10/1979	02	10	1540	441.1
2/11/1979	02	11	1370	392.4
2/12/1979	02	12	1020	292.2
2/13/1979	02	13	756	216.6
2/14/1979	02	14	625	179.0
2/15/1979	02	15	555	159.0
2/16/1979	02	16	503	144.1
2/17/1979	02	17	461	132.1
2/18/1979	02	18	2080	595.8
2/19/1979	02	19	3290	942.4
2/20/1979	02	20	3090	885.2
2/21/1979	02	21	2260	647.4
2/22/1979	02	22	2100	601.6
2/23/1979	02	23	2500	716.1
2/24/1979	02	24	4000	1145.8
2/25/1979	02	25	4380	1254.7
2/26/1979	02	26	3990	1143.0
2/27/1979	02	27	3540	1014.1
2/28/1979	02	28	4470	1280.5
3/1/1979	03	01	6390	1830.5
3/2/1979	03	02	6400	1833.3
3/3/1979	03	03	7400	2119.8
3/4/1979	03	04	13500	3867.2
3/5/1979	03	05	13100	3752.6
3/6/1979	03	06	10600	3036.5
3/7/1979	03	07	9920	2841.7
3/8/1979	03	08	8020	2297.4
3/9/1979	03	09	6760	1936.5
3/10/1979	03	10	5350	1532.6
3/11/1979	03	11	3530	1011.2
3/12/1979	03	12	1800	515.6
3/13/1979	03	13	1130	323.7
3/14/1979	03	14	994	284.7
3/15/1979	03	15	885	253.5
3/16/1979	03	16	676	193.6
3/17/1979	03	17	572	163.9
3/18/1979	03	18	512	146.7
3/19/1979	03	19	474	135.8
3/20/1979	03	20	447	128.0
3/21/1979	03	21	430	123.2
3/22/1979	03	22	419	120.0
3/23/1979	03	23	989	283.3
3/24/1979	03	24	1890	541.4
3/25/1979	03	25	1630	466.9
3/26/1979	03	26	1480	424.0
3/27/1979	03	27	1580	452.6
3/28/1979	03	28	1530	438.3
3/29/1979	03	29	989	283.3
3/30/1979	03	30	622	178.2
3/31/1979	03	31	503	144.1
4/1/1979	04	01	450	128.9
4/2/1979	04	02	430	123.2
4/3/1979	04	03	1330	381.0
4/4/1979	04	04	3050	873.7
4/5/1979	04	05	3230	925.3
4/6/1979	04	06	2640	756.3
4/7/1979	04	07	2240	641.7
4/8/1979	04	08	2620	750.5
4/9/1979	04	09	3590	1028.4
4/10/1979	04	10	3590	1028.4
4/11/1979	04	11	2780	796.4
4/12/1979	04	12	17600	5041.7
4/13/1979	04	13	110000	31510.4
4/14/1979	04	14	93300	26726.6
4/15/1979	04	15	41400	11859.4
4/16/1979	04	16	16100	4612.0
4/17/1979	04	17	9030	2586.7
4/18/1979	04	18	7190	2059.6
4/19/1979	04	19	5880	1684.4
4/20/1979	04	20	3980	1140.1
4/21/1979	04	21	1720	492.7
4/22/1979	04	22	819	234.6
4/23/1979	04	23	718	205.7
4/24/1979	04	24	679	194.5
4/25/1979	04	25	761	218.0
4/26/1979	04	26	885	253.5
4/27/1979	04	27	870	249.2
4/28/1979	04	28	746	213.7
4/29/1979	04	29	610	174.7
4/30/1979	04	30	515	147.5
5/1/1979	05	01	400	114.6
5/2/1979	05	02	360	103.1
5/3/1979	05	03	320	91.7
5/4/1979	05	04	540	154.7
5/5/1979	05	05	1300	372.4
5/6/1979	05	06	1500	429.7
5/7/1979	05	07	840	240.6
5/8/1979	05	08	540	154.7
5/9/1979	05	09	400	114.6
5/10/1979	05	10	330	94.5
5/11/1979	05	11	310	88.8
5/12/1979	05	12	540	154.7
5/13/1979	05	13	1600	458.3
5/14/1979	05	14	1900	544.3
5/15/1979	05	15	1350	386.7
5/16/1979	05	16	940	269.3
5/17/1979	05	17	500	143.2
5/18/1979	05	18	290	83.1
5/19/1979	05	19	240	68.8
5/20/1979	05	20	210	60.2
5/21/1979	05	21	195	55.9
5/22/1979	05	22	180	51.6
5/23/1979	05	23	210	60.2
5/24/1979	05	24	296	84.8
5/25/1979	05	25	292	83.6
5/26/1979	05	26	244	69.9
5/27/1979	05	27	236	67.6
5/28/1979	05	28	232	66.5
5/29/1979	05	29	222	63.6
5/30/1979	05	30	271	77.6
5/31/1979	05	31	337	96.5
6/1/1979	06	01	360	103.1
6/2/1979	06	02	410	117.4
6/3/1979	06	03	474	135.8
6/4/1979	06	04	380	108.9
6/5/1979	06	05	298	85.4
6/6/1979	06	06	261	74.8
6/7/1979	06	07	244	69.9
6/8/1979	06	08	226	64.7
6/9/1979	06	09	212	60.7
6/10/1979	06	10	206	59.0
6/11/1979	06	11	275	78.8
6/12/1979	06	12	271	77.6
6/13/1979	06	13	425	121.7
6/14/1979	06	14	430	123.2
6/15/1979	06	15	309	88.5
6/16/1979	06	16	234	67.0
6/17/1979	06	17	202	57.9
6/18/1979	06	18	185	53.0
6/19/1979	06	19	178	51.0
6/20/1979	06	20	172	49.3
6/21/1979	06	21	163	46.7
6/22/1979	06	22	156	44.7
6/23/1979	06	23	163	46.7
6/24/1979	06	24	185	53.0
6/25/1979	06	25	191	54.7
6/26/1979	06	26	167	47.8
6/27/1979	06	27	159	45.5
6/28/1979	06	28	161	46.1
6/29/1979	06	29	165	47.3
6/30/1979	06	30	156	44.7
7/1/1979	07	01	150	43.0
7/2/1979	07	02	139	39.8
7/3/1979	07	03	135	38.7
7/4/1979	07	04	130	37.2
7/5/1979	07	05	126	36.1
7/6/1979	07	06	128	36.7
7/7/1979	07	07	303	86.8
7/8/1979	07	08	292	83.6
7/9/1979	07	09	610	174.7
7/10/1979	07	10	421	120.6
7/11/1979	07	11	522	149.5
7/12/1979	07	12	1070	306.5
7/13/1979	07	13	1240	355.2
7/14/1979	07	14	1330	381.0
7/15/1979	07	15	1310	375.3
7/16/1979	07	16	1770	507.0
7/17/1979	07	17	2150	615.9
7/18/1979	07	18	2240	641.7
7/19/1979	07	19	1430	409.6
7/20/1979	07	20	543	155.5
7/21/1979	07	21	610	174.7
7/22/1979	07	22	824	236.0
7/23/1979	07	23	620	177.6
7/24/1979	07	24	441	126.3
7/25/1979	07	25	550	157.6
7/26/1979	07	26	543	155.5
7/27/1979	07	27	581	166.4
7/28/1979	07	28	419	120.0
7/29/1979	07	29	375	107.4
7/30/1979	07	30	605	173.3
7/31/1979	07	31	625	179.0
8/1/1979	08	01	395	113.2
8/2/1979	08	02	358	102.6
8/3/1979	08	03	425	121.7
8/4/1979	08	04	423	121.2
8/5/1979	08	05	257	73.6
8/6/1979	08	06	280	80.2
8/7/1979	08	07	261	74.8
8/8/1979	08	08	214	61.3
8/9/1979	08	09	191	54.7
8/10/1979	08	10	288	82.5
8/11/1979	08	11	244	69.9
8/12/1979	08	12	224	64.2
8/13/1979	08	13	326	93.4
8/14/1979	08	14	238	68.2
8/15/1979	08	15	195	55.9
8/16/1979	08	16	176	50.4
8/17/1979	08	17	163	46.7
8/18/1979	08	18	148	42.4
8/19/1979	08	19	139	39.8
8/20/1979	08	20	135	38.7
8/21/1979	08	21	130	37.2
8/22/1979	08	22	195	55.9
8/23/1979	08	23	430	123.2
8/24/1979	08	24	360	103.1
8/25/1979	08	25	197	56.4
8/26/1979	08	26	332	95.1
8/27/1979	08	27	610	174.7
8/28/1979	08	28	865	247.8
8/29/1979	08	29	976	279.6
8/30/1979	08	30	788	225.7
8/31/1979	08	31	506	144.9
9/1/1979	09	01	313	89.7
9/2/1979	09	02	305	87.4
9/3/1979	09	03	255	73.0
9/4/1979	09	04	311	89.1
9/5/1979	09	05	445	127.5
9/6/1979	09	06	311	89.1
9/7/1979	09	07	226	64.7
9/8/1979	09	08	187	53.6
9/9/1979	09	09	165	47.3
9/10/1979	09	10	150	43.0
9/11/1979	09	11	141	40.4
9/12/1979	09	12	133	38.1
9/13/1979	09	13	1370	392.4
9/14/1979	09	14	4570	1309.1
9/15/1979	09	15	4250	1217.4
9/16/1979	09	16	3980	1140.1
9/17/1979	09	17	3420	979.7
9/18/1979	09	18	3300	945.3
9/19/1979	09	19	3010	862.2
9/20/1979	09	20	3080	882.3
9/21/1979	09	21	5230	1498.2
9/22/1979	09	22	5660	1621.4
9/23/1979	09	23	5900	1690.1
9/24/1979	09	24	5730	1641.4
9/25/1979	09	25	6250	1790.4
9/26/1979	09	26	6180	1770.3
9/27/1979	09	27	5250	1503.9
9/28/1979	09	28	3720	1065.6
9/29/1979	09	29	1280	366.7
9/30/1979	09	30	476	136.4
