Gear Type,Waypoint,Set Time,Pull time,Set Time,Turbidity (cm),Depth (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,,
Fyke,2E10,2/1/2020 14:48,2/2/2020 9:48,,37,65,White Crappie,144,,,,,,
Fyke,2E10,2/1/2020 14:48,2/2/2020 9:48,,37,65,White Crappie,177,0.15,,,,,
Fyke,2E10,2/1/2020 14:48,2/2/2020 9:48,,37,65,Black Crappie,341,0.55,,,,,
Fyke,2E10,2/1/2020 14:48,2/2/2020 9:48,,37,65,White Crappie,207,0.15,,,,,
Fyke,1E9,2/1/2020 10:30,2/2/2020 8:44,,37,86,White Crappie,280,0.35,,,,,
Fyke,1E9,2/1/2020 10:30,2/2/2020 8:44,,37,86,White Crappie,356,0.65,,,,,
Fyke,1E9,2/1/2020 10:30,2/2/2020 8:44,,37,86,White Crappie,234,0.25,,,,,
Fyke,1E9,2/1/2020 10:30,2/2/2020 8:44,,37,86,White Crappie,132,,,,,,
Fyke,1E3,2/1/2020 10:47,2/2/2020 9:06,,31,31,White Crappie,251,0.25,,,,,
Fyke,1E3,2/1/2020 10:47,2/2/2020 9:06,,31,31,White Crappie,239,0.2,,,,,
Fyke,1E3,2/1/2020 10:47,2/2/2020 9:06,,31,31,Black Crappie,263,0.4,,,,,
Gillnet,1G5,2/9/2020 8:11,2/9/2020 10:48,,27,200,Spotted Gar,537,,,,8,,
Gillnet,1G5,2/9/2020 8:11,2/9/2020 10:48,,27,200,Gizzard Shad,190,,,,6,,
Gillnet,2G1,2/9/2020 8:25,2/9/2020 11:13,,21,160,Gizzard Shad,324,,,,1,,
Gillnet,2G3,2/8/2020 9:07,2/8/2020 14:24,,25,200,Gizzard Shad,352,,,,1,,
Gillnet,2G3,2/8/2020 9:07,2/8/2020 14:24,,25,200,Gizzard Shad,270,,,,2,,
Gillnet,2G3,2/8/2020 9:07,2/8/2020 14:24,,25,200,Spotted Gar,660,,,,5,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Gizzard Shad,324,,,,1,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Channel Catfish,550,,,,4,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,680,,,,5,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,500,,,,6,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,656,,,,6,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,730,,,,8,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,694,,,,8,,
Gillnet,1G1,2/8/2020 8:55,2/8/2020 14:00,,41,250,Spotted Gar,676,,,,8,,
Minnow Trap,2E11,2/7/2020 14:50,2/8/2020 9:51,,62,172,NA,,,,,,,
Minnow Trap,2E28,2/7/2020 15:29,2/8/2020 10:35,,31,124,NA,,,,,,,
Minnow Trap,1E33,2/7/2020 15:45,2/8/2020 11:37,,39,134,NA,,,,,,,
Minnow Trap,1E19,2/7/2020 15:50,2/8/2020 12:25,,37,50,NA,,,,,,,
Minnow Trap,2E19,2/8/2020 10:58,2/9/2020 10:15,,28,150,NA,,,,,,,
Minnow Trap,2E24,2/8/2020 11:14,2/9/2020 8:30,,16,16,NA,,,,,,,
Minnow Trap,1E18,2/8/2020 12:19,2/9/2020 9:45,,32,76,NA,,,,,,,
Minnow Trap,1E20,2/8/2020 12:47,2/9/2020 9:22,,28,106,NA,,,,,,,
Fyke,2E1,2/7/2020 14:34,2/8/2020 9:45,,35,100,Black Crappie,265,0.25,13530,,,,
Fyke,2E1,2/7/2020 14:34,2/8/2020 9:45,,35,100,White Crappie,355,0.6,13529,,,,
Fyke,2E1,2/7/2020 14:34,2/8/2020 9:45,,35,100,White Crappie,215,0.1,,,,,
Fyke,2E1,2/7/2020 14:34,2/8/2020 9:45,,35,100,White Crappie,171,0.1,,,,,
Fyke,2E1,2/7/2020 14:34,2/8/2020 9:45,,35,100,Warmouth,82,,,,,,
Fyke,2E5,2/7/2020 15:08,2/8/2020 10:16,,31,175,Warmouth,232,0.25,,,,,
Fyke,2E5,2/7/2020 15:08,2/8/2020 10:16,,31,175,Warmouth,235,0.3,,,,,
Fyke,2E5,2/7/2020 15:08,2/8/2020 10:16,,31,175,Lake Chubsucker,271,,,,,,
Fyke,2E5,2/7/2020 15:08,2/8/2020 10:16,,31,175,Black Crappie,126,,,,,,
