,LATITUDE,LONGITUDE
2E 22,33.28768,-88.78336
2E 23,33.28709,-88.78155
2E 24,33.28823,-88.78504
2E 25,33.29127,-88.79475
2E 26,33.27357,-88.79039
2E 27,33.28074,-88.79342
2E 28,33.28101,-88.78946
2E 29,33.28233,-88.7786
2E 30,33.28893,-88.78737
2E 31,33.28278,-88.7788
2E 32,33.29069,-88.7928
2G 1,33.2868,-88.7855
2G 2,33.2828,-88.7847
2G 3,33.282,-88.7847
2G 4,33.2836,-88.7847
2G 5,33.2868,-88.7847
2G 6,33.2812,-88.7871
2G 7,33.2844,-88.7847
2G 8,33.2748,-88.7871
2G 9,33.2804,-88.7879
2G 10,33.2844,-88.7831
2G 11,33.2884,-88.7879
2G 12,33.2876,-88.7863
2G 13,33.2732,-88.7887
2G 14,33.2852,-88.7847
2G 15,33.2836,-88.7831
2G 16,33.2868,-88.7839
2G 17,33.2756,-88.7871
2G 18,33.2852,-88.7799
2G 19,33.282,-88.7895
2G 20,33.2796,-88.7871
2G 21,33.2756,-88.7879
2G 22,33.2844,-88.7839
2G 23,33.2828,-88.7815
2G 24,33.2852,-88.7839
2G 25,33.2812,-88.7839
2G 26,33.2884,-88.7871
2G 27,33.282,-88.7815
2G 28,33.2884,-88.7863
2G 29,33.2852,-88.7807
2G 30,33.2844,-88.7815
2G 31,33.2844,-88.7823
2G 32,33.282,-88.7807
2G 33,33.2812,-88.7895
2G 34,33.2876,-88.7847
2G 35,33.2732,-88.7879
2G 36,33.2892,-88.7895
2G 37,33.2812,-88.7799
2G 38,33.2884,-88.7855
2G 39,33.2812,-88.7855
2G 40,33.2828,-88.7863
2G 41,33.2836,-88.7863
2G 42,33.2924,-88.7983
2G 43,33.2916,-88.7959
2G 44,33.2876,-88.7831
2G 45,33.2852,-88.7831
2G 46,33.2908,-88.7935
2G 47,33.2828,-88.7871
2G 48,33.286,-88.7799
2G 49,33.282,-88.7823
2G 50,33.282,-88.7839
2G 51,33.29,-88.7911
2G 52,33.2844,-88.7855
2G 53,33.2852,-88.7823
2G 54,33.2812,-88.7863
2G 55,33.2836,-88.7823
2G 56,33.2804,-88.7871
2G 57,33.2836,-88.7815
2G 58,33.274,-88.7879
2G 59,33.2836,-88.7855
2G 60,33.2828,-88.7807
2G 61,33.2748,-88.7879
2G 62,33.2772,-88.7871
2G 63,33.2868,-88.7831
2G 64,33.2828,-88.7831
2G 65,33.282,-88.7887
2G 66,33.282,-88.7863
2G 67,33.2868,-88.7807
2G 68,33.2828,-88.7855
2G 69,33.2844,-88.7799
2G 70,33.282,-88.7871
2G 71,33.2844,-88.7807
2G 72,33.2876,-88.7839
2G 73,33.2812,-88.7887
2G 74,33.2836,-88.7807
2G 75,33.286,-88.7807
2G 76,33.282,-88.7831
2G 77,33.2812,-88.7847
2G 78,33.2852,-88.7815
2G 79,33.2804,-88.7863
2G 80,33.2892,-88.7887
2G 81,33.2868,-88.7823
2G 82,33.2828,-88.7839
2G 83,33.2764,-88.7871
2G 84,33.2836,-88.7839
2G 85,33.286,-88.7823
2G 86,33.282,-88.7855
2G 87,33.286,-88.7815
2G 88,33.282,-88.7879
2G 89,33.2868,-88.7815
2G 90,33.2812,-88.7879
2G 91,33.2876,-88.7855
2G 92,33.2828,-88.7823
2G 93,33.2836,-88.7799
2G 94,33.278,-88.7871
2G 95,33.2796,-88.7863
