"x1","x2"
-88.7887,33.2732
-88.7879,33.2732
-88.7903,33.274
-88.7895,33.274
-88.7887,33.274
-88.7879,33.274
-88.7903,33.2748
-88.7895,33.2748
-88.7887,33.2748
-88.7879,33.2748
-88.7871,33.2748
-88.7903,33.2756
-88.7895,33.2756
-88.7887,33.2756
-88.7879,33.2756
-88.7871,33.2756
-88.7903,33.2764
-88.7895,33.2764
-88.7887,33.2764
-88.7879,33.2764
-88.7871,33.2764
-88.7895,33.2772
-88.7887,33.2772
-88.7879,33.2772
-88.7871,33.2772
-88.7887,33.278
-88.7879,33.278
-88.7871,33.278
-88.7879,33.2788
-88.7871,33.2788
-88.7967,33.2796
-88.7871,33.2796
-88.7863,33.2796
-88.7967,33.2804
-88.7959,33.2804
-88.7951,33.2804
-88.7943,33.2804
-88.7879,33.2804
-88.7871,33.2804
-88.7863,33.2804
-88.7959,33.2812
-88.7951,33.2812
-88.7943,33.2812
-88.7935,33.2812
-88.7895,33.2812
-88.7887,33.2812
-88.7879,33.2812
-88.7871,33.2812
-88.7863,33.2812
-88.7855,33.2812
-88.7847,33.2812
-88.7839,33.2812
-88.7799,33.2812
-88.7791,33.2812
-88.7927,33.282
-88.7919,33.282
-88.7911,33.282
-88.7903,33.282
-88.7895,33.282
-88.7887,33.282
-88.7879,33.282
-88.7871,33.282
-88.7863,33.282
-88.7855,33.282
-88.7847,33.282
-88.7839,33.282
-88.7831,33.282
-88.7823,33.282
-88.7815,33.282
-88.7807,33.282
-88.7799,33.282
-88.7791,33.282
-88.7871,33.2828
-88.7863,33.2828
-88.7855,33.2828
-88.7847,33.2828
-88.7839,33.2828
-88.7831,33.2828
-88.7823,33.2828
-88.7815,33.2828
-88.7807,33.2828
-88.7799,33.2828
-88.7791,33.2828
-88.7863,33.2836
-88.7855,33.2836
-88.7847,33.2836
-88.7839,33.2836
-88.7831,33.2836
-88.7823,33.2836
-88.7815,33.2836
-88.7807,33.2836
-88.7799,33.2836
-88.7791,33.2836
-88.7855,33.2844
-88.7847,33.2844
-88.7839,33.2844
-88.7831,33.2844
-88.7823,33.2844
-88.7815,33.2844
-88.7807,33.2844
-88.7799,33.2844
-88.7791,33.2844
-88.7847,33.2852
-88.7839,33.2852
-88.7831,33.2852
-88.7823,33.2852
-88.7815,33.2852
-88.7807,33.2852
-88.7799,33.2852
-88.7791,33.2852
-88.7847,33.286
-88.7839,33.286
-88.7831,33.286
-88.7823,33.286
-88.7815,33.286
-88.7807,33.286
-88.7799,33.286
-88.7855,33.2868
-88.7847,33.2868
-88.7839,33.2868
-88.7831,33.2868
-88.7823,33.2868
-88.7815,33.2868
-88.7807,33.2868
-88.7871,33.2876
-88.7863,33.2876
-88.7855,33.2876
-88.7847,33.2876
-88.7839,33.2876
-88.7831,33.2876
-88.7887,33.2884
-88.7879,33.2884
-88.7871,33.2884
-88.7863,33.2884
-88.7855,33.2884
-88.7903,33.2892
-88.7895,33.2892
-88.7887,33.2892
-88.7919,33.29
-88.7911,33.29
-88.7943,33.2908
-88.7935,33.2908
-88.7967,33.2916
-88.7959,33.2916
-88.7983,33.2924
