"","Date","Discharge_cfs","Discharge_cms","month","year","day","DeltaCMS","meanCMS","DeltaVol","Date2","fishD","yr_month","volume"
"1",1945-01-01,NA,NA,1,1945,1,NA,NA,1452.34950878415,1945-01-01,0,"1945-1",95761001
"2",1945-01-02,1900,53.8020093,1,1945,2,-3.96435858,53.8020093,1536.13597798061,1945-01-02,325600,"1945-1",95436937.135978
"3",1945-01-03,1500,42.4752705,1,1945,3,-11.3267388,42.4752705,1582.70558014081,1945-01-03,0,"1945-1",95438519.8415581
"4",1945-01-04,1200,33.9802164,1,1945,4,-8.4950541,33.9802164,1607.00383018357,1945-01-04,0,"1945-1",95440126.8453883
"5",1945-01-05,900,25.4851623,1,1945,5,-8.4950541,25.4851623,1627.8013120326,1945-01-05,0,"1945-1",95441754.6467003
"6",1945-01-06,700,19.8217929,1,1945,6,-5.6633694,19.8217929,1619.99864859632,1945-01-06,0,"1945-1",95443374.6453489
"7",1945-01-07,2500,70.7921175,1,1945,7,50.9703246,70.7921175,1386.13938278733,1945-01-07,0,"1945-1",95444760.7847317
"8",1945-01-08,2400,67.9604328,1,1945,8,-2.8316847,67.9604328,1413.16218742651,1945-01-08,0,"1945-1",95446173.9469192
"9",1945-01-09,2300,65.1287481,1,1945,9,-2.83168470000001,65.1287481,1441.56342691866,1945-01-09,0,"1945-1",95447615.5103461
"10",1945-01-10,2000,56.633694,1,1945,10,-8.4950541,56.633694,1517.20169150714,1945-01-10,0,"1945-1",95449132.7120376
"11",1945-01-11,1500,42.4752705,1,1945,11,-14.1584235,42.4752705,1582.70558014081,1945-01-11,0,"1945-1",95450715.4176177
"12",1945-01-12,1000,28.316847,1,1945,12,-14.1584235,28.316847,1622.97417644664,1945-01-12,0,"1945-1",95452338.3917942
"13",1945-01-13,560,15.85743432,1,1945,13,-12.45941268,15.85743432,1590.75537858068,1945-01-13,0,"1945-1",95453929.1471727
"14",1945-01-14,640,18.12278208,1,1945,14,2.26534776,18.12278208,1610.43935096735,1945-01-14,0,"1945-1",95455539.5865237
"15",1945-01-15,750,21.23763525,1,1945,15,3.11485317,21.23763525,1625.00837588,1945-01-15,325600,"1945-1",95131564.5948996
"16",1945-01-16,640,18.12278208,1,1945,16,-3.11485317,18.12278208,1610.43935096735,1945-01-16,0,"1945-1",95133175.0342506
"17",1945-01-17,500,14.1584235,1,1945,17,-3.96435858,14.1584235,1570.2658326869,1945-01-17,0,"1945-1",95134745.3000832
"18",1945-01-18,360,10.19406492,1,1945,18,-3.96435858,10.19406492,1502.50656774955,1945-01-18,0,"1945-1",95136247.806651
"19",1945-01-19,540,15.29109738,1,1945,19,5.09703246,15.29109738,1584.48911667134,1945-01-19,0,"1945-1",95137832.2957677
"20",1945-01-20,650,18.40595055,1,1945,20,3.11485317,18.40595055,1612.32486673613,1945-01-20,0,"1945-1",95139444.6206344
"21",1945-01-21,900,25.4851623,1,1945,21,7.07921175,25.4851623,1627.8013120326,1945-01-21,0,"1945-1",95141072.4219464
"22",1945-01-22,1100,31.1485317,1,1945,22,5.6633694,31.1485317,1615.46751384475,1945-01-22,0,"1945-1",95142687.8894603
"23",1945-01-23,900,25.4851623,1,1945,23,-5.6633694,25.4851623,1627.8013120326,1945-01-23,0,"1945-1",95144315.6907723
"24",1945-01-24,700,19.8217929,1,1945,24,-5.6633694,19.8217929,1619.99864859632,1945-01-24,0,"1945-1",95145935.6894209
"25",1945-01-25,600,16.9901082,1,1945,25,-2.8316847,16.9901082,1601.64677348072,1945-01-25,0,"1945-1",95147537.3361944
"26",1945-01-26,500,14.1584235,1,1945,26,-2.8316847,14.1584235,1570.2658326869,1945-01-26,0,"1945-1",95149107.6020271
"27",1945-01-27,450,12.74258115,1,1945,27,-1.41584235,12.74258115,1549.25558780523,1945-01-27,0,"1945-1",95150656.8576149
"28",1945-01-28,360,10.19406492,1,1945,28,-2.54851623,10.19406492,1502.50656774955,1945-01-28,0,"1945-1",95152159.3641826
"29",1945-01-29,310,8.77822257,1,1945,29,-1.41584235,8.77822257,1471.92902835726,1945-01-29,0,"1945-1",95153631.293211
"30",1945-01-30,260,7.36238022,1,1945,30,-1.41584235,7.36238022,1438.54504994325,1945-01-30,0,"1945-1",95155069.8382609
"31",1945-01-31,220,6.22970634,1,1945,31,-1.13267388,6.22970634,1410.16327569971,1945-01-31,0,"1945-1",95156480.0015367
"32",1945-02-01,200,5.6633694,2,1945,1,-0.56633694,5.6633694,1395.51725238345,1945-02-01,0,"1945-2",95761001
"33",1945-02-02,180,5.09703246,2,1945,2,-0.566336939999999,5.09703246,1380.62297000405,1945-02-02,325600,"1945-2",95436781.62297
"34",1945-02-03,170,4.81386399,2,1945,3,-0.283168470000001,4.81386399,1373.09639549727,1945-02-03,0,"1945-2",95438154.7193655
"35",1945-02-04,165,4.672279755,2,1945,4,-0.141584235,4.672279755,1369.31569487226,1945-02-04,0,"1945-2",95439524.0350604
"36",1945-02-05,500,14.1584235,2,1945,5,9.486143745,14.1584235,1570.2658326869,1945-02-05,0,"1945-2",95441094.3008931
"37",1945-02-06,2700,76.4554869,2,1945,6,62.2970634,76.4554869,1345.37940835285,1945-02-06,0,"1945-2",95442439.6803014
"38",1945-02-07,2500,70.7921175,2,1945,7,-5.66336939999999,70.7921175,1386.13938278733,1945-02-07,0,"1945-2",95443825.8196842
"39",1945-02-08,2200,62.2970634,2,1945,8,-8.4950541,62.2970634,1469.30970868352,1945-02-08,0,"1945-2",95445295.1293929
"40",1945-02-09,2000,56.633694,2,1945,9,-5.6633694,56.633694,1517.20169150714,1945-02-09,0,"1945-2",95446812.3310844
"41",1945-02-10,1250,35.39605875,2,1945,10,-21.23763525,35.39605875,1602.7826136818,1945-02-10,0,"1945-2",95448415.1136981
"42",1945-02-11,825,23.36139878,2,1945,11,-12.03465997,23.36139878,1628.34850349034,1945-02-11,0,"1945-2",95450043.4622016
"43",1945-02-12,1200,33.9802164,2,1945,12,10.61881762,33.9802164,1607.00383018357,1945-02-12,0,"1945-2",95451650.4660317
"44",1945-02-13,4550,128.8416539,2,1945,13,94.8614375,128.8416539,1890.34067950178,1945-02-13,0,"1945-2",95453540.8067112
"45",1945-02-14,4990,141.3010665,2,1945,14,12.4594126,141.3010665,1766.45429556133,1945-02-14,0,"1945-2",95455307.2610068
"46",1945-02-15,5300,150.0792891,2,1945,15,8.77822260000002,150.0792891,1930.29532382254,1945-02-15,325600,"1945-2",95131637.5563306
"47",1945-02-16,4640,131.3901701,2,1945,16,-18.689119,131.3901701,1853.11479849112,1945-02-16,0,"1945-2",95133490.6711291
"48",1945-02-17,4370,123.7446214,2,1945,17,-7.64554870000001,123.7446214,1948.95955239026,1945-02-17,0,"1945-2",95135439.6306815
"49",1945-02-18,5370,152.0614684,2,1945,18,28.316847,152.0614684,2013.31547957912,1945-02-18,0,"1945-2",95137452.9461611
"50",1945-02-19,6910,195.6694128,2,1945,19,43.6079444,195.6694128,4105.95564412874,1945-02-19,0,"1945-2",95141558.9018052
"51",1945-02-20,8350,236.4456725,2,1945,20,40.7762597,236.4456725,943.13348121583,1945-02-20,0,"1945-2",95142502.0352864
"52",1945-02-21,15400,436.0794438,2,1945,21,199.6337713,436.0794438,-15206.477414533,1945-02-21,0,"1945-2",95127295.5578719
"53",1945-02-22,15500,438.9111285,2,1945,22,2.83168470000004,438.9111285,-15435.5499095555,1945-02-22,0,"1945-2",95111860.0079623
"54",1945-02-23,14800,419.0893356,2,1945,23,-19.8217929,419.0893356,-13832.0424443334,1945-02-23,0,"1945-2",95098027.965518
"55",1945-02-24,13600,385.1091192,2,1945,24,-33.9802164,385.1091192,-11083.1725039448,1945-02-24,0,"1945-2",95086944.793014
"56",1945-02-25,10400,294.4952088,2,1945,25,-90.6139104,294.4952088,-3752.85266290491,1945-02-25,0,"1945-2",95083191.9403511
"57",1945-02-26,7410,209.8278363,2,1945,26,-84.6673725,209.8278363,3096.26509378509,1945-02-26,0,"1945-2",95086288.2054449
"58",1945-02-27,5900,167.0693973,2,1945,27,-42.758439,167.0693973,3142.73615163146,1945-02-27,0,"1945-2",95089430.9415966
