"","Date","Discharge_cfs","Discharge_cms","month","year","day","DeltaCMS","meanCMS","DeltaVol","Date2","fishD","yr_month","volume"
"1",1945-01-01,NA,NA,1,1945,1,NA,NA,1452.34950878415,1945-01-01,0,"1945-1",95390603
"2",1945-01-02,1900,53.8020093,1,1945,2,-3.96435858,53.8020093,1536.13597798061,1945-01-02,325600,"1945-1",95066539.135978
"3",1945-01-03,1500,42.4752705,1,1945,3,-11.3267388,42.4752705,1582.70558014081,1945-01-03,0,"1945-1",95068121.8415581
"4",1945-01-04,1200,33.9802164,1,1945,4,-8.4950541,33.9802164,1607.00383018357,1945-01-04,0,"1945-1",95069728.8453883
"5",1945-01-05,900,25.4851623,1,1945,5,-8.4950541,25.4851623,1627.8013120326,1945-01-05,0,"1945-1",95071356.6467003
"6",1945-01-06,700,19.8217929,1,1945,6,-5.6633694,19.8217929,1619.99864859632,1945-01-06,0,"1945-1",95072976.6453489
"7",1945-01-07,2500,70.7921175,1,1945,7,50.9703246,70.7921175,1386.13938278733,1945-01-07,0,"1945-1",95074362.7847317
"8",1945-01-08,2400,67.9604328,1,1945,8,-2.8316847,67.9604328,1413.16218742651,1945-01-08,0,"1945-1",95075775.9469192
"9",1945-01-09,2300,65.1287481,1,1945,9,-2.83168470000001,65.1287481,1441.56342691866,1945-01-09,0,"1945-1",95077217.5103461
"10",1945-01-10,2000,56.633694,1,1945,10,-8.4950541,56.633694,1517.20169150714,1945-01-10,0,"1945-1",95078734.7120376
"11",1945-01-11,1500,42.4752705,1,1945,11,-14.1584235,42.4752705,1582.70558014081,1945-01-11,0,"1945-1",95080317.4176177
"12",1945-01-12,1000,28.316847,1,1945,12,-14.1584235,28.316847,1622.97417644664,1945-01-12,0,"1945-1",95081940.3917942
"13",1945-01-13,560,15.85743432,1,1945,13,-12.45941268,15.85743432,1590.75537858068,1945-01-13,0,"1945-1",95083531.1471727
"14",1945-01-14,640,18.12278208,1,1945,14,2.26534776,18.12278208,1610.43935096735,1945-01-14,0,"1945-1",95085141.5865237
"15",1945-01-15,750,21.23763525,1,1945,15,3.11485317,21.23763525,1625.00837588,1945-01-15,325600,"1945-1",94761166.5948996
"16",1945-01-16,640,18.12278208,1,1945,16,-3.11485317,18.12278208,1610.43935096735,1945-01-16,0,"1945-1",94762777.0342506
"17",1945-01-17,500,14.1584235,1,1945,17,-3.96435858,14.1584235,1570.2658326869,1945-01-17,0,"1945-1",94764347.3000832
"18",1945-01-18,360,10.19406492,1,1945,18,-3.96435858,10.19406492,1502.50656774955,1945-01-18,0,"1945-1",94765849.806651
"19",1945-01-19,540,15.29109738,1,1945,19,5.09703246,15.29109738,1584.48911667134,1945-01-19,0,"1945-1",94767434.2957677
"20",1945-01-20,650,18.40595055,1,1945,20,3.11485317,18.40595055,1612.32486673613,1945-01-20,0,"1945-1",94769046.6206344
"21",1945-01-21,900,25.4851623,1,1945,21,7.07921175,25.4851623,1627.8013120326,1945-01-21,0,"1945-1",94770674.4219464
"22",1945-01-22,1100,31.1485317,1,1945,22,5.6633694,31.1485317,1615.46751384475,1945-01-22,0,"1945-1",94772289.8894603
"23",1945-01-23,900,25.4851623,1,1945,23,-5.6633694,25.4851623,1627.8013120326,1945-01-23,0,"1945-1",94773917.6907723
"24",1945-01-24,700,19.8217929,1,1945,24,-5.6633694,19.8217929,1619.99864859632,1945-01-24,0,"1945-1",94775537.6894209
"25",1945-01-25,600,16.9901082,1,1945,25,-2.8316847,16.9901082,1601.64677348072,1945-01-25,0,"1945-1",94777139.3361944
"26",1945-01-26,500,14.1584235,1,1945,26,-2.8316847,14.1584235,1570.2658326869,1945-01-26,0,"1945-1",94778709.6020271
"27",1945-01-27,450,12.74258115,1,1945,27,-1.41584235,12.74258115,1549.25558780523,1945-01-27,0,"1945-1",94780258.8576149
"28",1945-01-28,360,10.19406492,1,1945,28,-2.54851623,10.19406492,1502.50656774955,1945-01-28,0,"1945-1",94781761.3641826
"29",1945-01-29,310,8.77822257,1,1945,29,-1.41584235,8.77822257,1471.92902835726,1945-01-29,0,"1945-1",94783233.293211
"30",1945-01-30,260,7.36238022,1,1945,30,-1.41584235,7.36238022,1438.54504994325,1945-01-30,0,"1945-1",94784671.8382609
"31",1945-01-31,220,6.22970634,1,1945,31,-1.13267388,6.22970634,1410.16327569971,1945-01-31,0,"1945-1",94786082.0015367
"32",1945-02-01,200,5.6633694,2,1945,1,-0.56633694,5.6633694,1395.51725238345,1945-02-01,0,"1945-2",95390603
"33",1945-02-02,180,5.09703246,2,1945,2,-0.566336939999999,5.09703246,1380.62297000405,1945-02-02,325600,"1945-2",95066383.62297
"34",1945-02-03,170,4.81386399,2,1945,3,-0.283168470000001,4.81386399,1373.09639549727,1945-02-03,0,"1945-2",95067756.7193655
"35",1945-02-04,165,4.672279755,2,1945,4,-0.141584235,4.672279755,1369.31569487226,1945-02-04,0,"1945-2",95069126.0350604
"36",1945-02-05,500,14.1584235,2,1945,5,9.486143745,14.1584235,1570.2658326869,1945-02-05,0,"1945-2",95070696.3008931
"37",1945-02-06,2700,76.4554869,2,1945,6,62.2970634,76.4554869,1345.37940835285,1945-02-06,0,"1945-2",95072041.6803014
"38",1945-02-07,2500,70.7921175,2,1945,7,-5.66336939999999,70.7921175,1386.13938278733,1945-02-07,0,"1945-2",95073427.8196842
"39",1945-02-08,2200,62.2970634,2,1945,8,-8.4950541,62.2970634,1469.30970868352,1945-02-08,0,"1945-2",95074897.1293929
"40",1945-02-09,2000,56.633694,2,1945,9,-5.6633694,56.633694,1517.20169150714,1945-02-09,0,"1945-2",95076414.3310844
"41",1945-02-10,1250,35.39605875,2,1945,10,-21.23763525,35.39605875,1602.7826136818,1945-02-10,0,"1945-2",95078017.1136981
"42",1945-02-11,825,23.36139878,2,1945,11,-12.03465997,23.36139878,1628.34850349034,1945-02-11,0,"1945-2",95079645.4622016
"43",1945-02-12,1200,33.9802164,2,1945,12,10.61881762,33.9802164,1607.00383018357,1945-02-12,0,"1945-2",95081252.4660317
"44",1945-02-13,4550,128.8416539,2,1945,13,94.8614375,128.8416539,1890.34067950178,1945-02-13,0,"1945-2",95083142.8067112
