"","ElevationBottom","X","Longitude","Latitude","optional"
"1",66.49712,NA,333205.247685838,3683225.76720501,TRUE
"2",66.49712,NA,333205.490630568,3683223.85300566,TRUE
"3",66.49712,NA,333205.602357774,3683227.65007706,TRUE
"4",66.49712,NA,333205.949518923,3683229.36669892,TRUE
"5",66.39712,NA,333206.271583652,3683222.12590364,TRUE
"6",66.49712,NA,333206.623343977,3683230.95348693,TRUE
"7",66.49712,NA,333207.281243001,3683232.80675468,TRUE
"8",66.39712,NA,333207.436190605,3683220.33232342,TRUE
"9",66.49712,NA,333207.829082392,3683234.76173803,TRUE
"10",66.39712,NA,333208.049537022,3683236.96746969,TRUE
"11",66.39712,NA,333208.263582152,3683238.90821404,TRUE
"12",66.49712,NA,333208.483997897,3683241.05737751,TRUE
"13",66.29712,NA,333208.695892563,3683242.81846939,TRUE
"14",66.29712,NA,333209.166359943,3683244.33664868,TRUE
"15",66.39712,NA,333208.900833549,3683218.59460176,TRUE
"16",66.29712,NA,333209.852043452,3683245.80011293,TRUE
"17",66.39712,NA,333210.292768347,3683216.8548001,TRUE
"18",66.99712,NA,333210.958822419,3683246.8814457,TRUE
"19",66.39712,NA,333211.517313066,3683215.18774947,TRUE
"20",66.29712,NA,333212.156798715,3683247.46762289,TRUE
"21",66.29712,NA,333213.488338482,3683247.20408501,TRUE
"22",66.39712,NA,333213.112414989,3683213.45111807,TRUE
"23",66.29712,NA,333214.630817447,3683246.94489984,TRUE
"24",66.39712,NA,333214.473484261,3683211.97583467,TRUE
"25",66.39712,NA,333215.600963257,3683246.68756199,TRUE
"26",66.39712,NA,333215.778647716,3683210.39170037,TRUE
"27",66.29712,NA,333216.606512332,3683245.6154688,TRUE
"28",66.39712,NA,333216.965807733,3683209.04363041,TRUE
"29",66.29712,NA,333217.917724925,3683244.76440765,TRUE
"30",66.39712,NA,333217.709848659,3683207.28277774,TRUE
"31",66.29712,NA,333218.301004459,3683205.73418538,TRUE
"32",66.29712,NA,333218.887289574,3683203.79302213,TRUE
"33",66.39712,NA,333218.795737964,3683188.78831391,TRUE
"34",66.39712,NA,333219.805301632,3683243.89236751,TRUE
"35",66.29712,NA,333219.102426108,3683201.72401331,TRUE
"36",66.39712,NA,333219.045556186,3683190.7506285,TRUE
"37",66.29712,NA,333219.261888601,3683199.8855626,TRUE
"38",66.39712,NA,333219.160512514,3683186.69788194,TRUE
"39",66.29712,NA,333219.290811011,3683192.60986638,TRUE
"40",66.29712,NA,333219.421235779,3683197.93175777,TRUE
"41",66.39712,NA,333219.534467308,3683194.32160896,TRUE
"42",66.39712,NA,333219.578663118,3683195.9746583,TRUE
"43",66.49712,NA,333220.182747111,3683184.64275796,TRUE
"44",66.39712,NA,333221.336261242,3683241.89284946,TRUE
"45",66.49712,NA,333221.262010742,3683182.76190841,TRUE
"46",66.49712,NA,333222.881133331,3683239.67236353,TRUE
"47",66.29712,NA,333222.575711548,3683180.91475009,TRUE
"48",66.99712,NA,333224.561647393,3683236.99478174,TRUE
"49",66.39712,NA,333223.802694356,3683179.06353354,TRUE
"50",66.39712,NA,333225.008900176,3683177.14168521,TRUE
"51",66.39712,NA,333226.234429954,3683234.68114841,TRUE
"52",66.29712,NA,333226.251434215,3683175.38226533,TRUE
"53",66.39712,NA,333227.780863508,3683232.49724,TRUE
"54",66.39712,NA,333226.270918526,3683125.29741402,TRUE
"55",66.39712,NA,333226.295781286,3683123.3791923,TRUE
"56",66.49712,NA,333227.559472916,3683173.58511864,TRUE
"57",66.39712,NA,333226.75235729,3683121.48018601,TRUE
"58",66.29712,NA,333226.927965707,3683127.31818578,TRUE
"59",66.59712,NA,333227.359909804,3683129.46926681,TRUE
"60",66.39712,NA,333229.325909847,3683230.28673504,TRUE
"61",66.49712,NA,333227.501461104,3683119.4164382,TRUE
"62",66.49712,NA,333227.794529449,3683131.17884303,TRUE
"63",66.59712,NA,333228.821074074,3683171.85088353,TRUE
"64",66.49712,NA,333228.238588575,3683117.25195931,TRUE
"65",66.59712,NA,333228.207154215,3683100.97065036,TRUE
"66",66.39712,NA,333228.835572741,3683132.88134489,TRUE
"67",66.59712,NA,333228.389957562,3683100.32972865,TRUE
"68",66.59712,NA,333228.434301084,3683101.77424686,TRUE
"69",66.49712,NA,333228.931178337,3683130.0900838,TRUE
"70",66.39712,NA,333228.942562488,3683126.13672358,TRUE
"71",66.59712,NA,333228.657340117,3683102.39267854,TRUE
"72",66.39712,NA,333229.126608505,3683128.12124107,TRUE
"73",66.49712,NA,333228.944978867,3683115.08800773,TRUE
"74",66.39712,NA,333229.366450448,3683132.43521664,TRUE
"75",66.69712,NA,333231.020144838,3683228.73475061,TRUE
"76",66.59712,NA,333228.859514622,3683101.84903358,TRUE
"77",66.39712,NA,333230.226361746,3683169.91120158,TRUE
"78",66.39712,NA,333229.499884839,3683124.08181148,TRUE
"79",66.59712,NA,333229.19106556,3683101.40632444,TRUE
"80",66.99712,NA,333229.205363342,3683099.79553058,TRUE
"81",66.39712,NA,333230.101434783,3683134.59995606,TRUE
"82",66.39712,NA,333230.099835991,3683134.3981103,TRUE
"83",66.59712,NA,333229.733069473,3683112.85277567,TRUE
"84",66.59712,NA,333229.593158319,3683100.89363535,TRUE
"85",66.49712,NA,333230.123929858,3683122.11449042,TRUE
"86",66.59712,NA,333229.922899211,3683100.01948111,TRUE
"87",66.59712,NA,333230.210023672,3683099.32241959,TRUE
"88",66.59712,NA,333230.234868824,3683099.35859681,TRUE
"89",66.59712,NA,333230.464953363,3683110.87140386,TRUE
"90",66.39712,NA,333230.971624661,3683136.28209567,TRUE
"91",66.39712,NA,333231.549857628,3683168.25465794,TRUE
"92",66.59712,NA,333230.511715813,3683099.31169883,TRUE
"93",66.49712,NA,333230.983707736,3683120.36496464,TRUE
"94",66.39712,NA,333231.273049373,3683136.25585075,TRUE
"95",66.49712,NA,333232.951896695,3683227.34174381,TRUE
"96",66.39712,NA,333231.631880863,3683138.10981301,TRUE
"97",66.59712,NA,333231.197598371,3683108.93438681,TRUE
"98",66.59712,NA,333231.158957128,3683099.62004468,TRUE
"99",66.59712,NA,333231.28355745,3683099.22525306,TRUE
"100",66.49712,NA,333232.243285233,3683140.07701748,TRUE
"101",66.49712,NA,333231.921613336,3683118.66179419,TRUE
"102",66.39712,NA,333232.757055464,3683166.3904718,TRUE
"103",66.59712,NA,333231.905054103,3683106.72383115,TRUE
"104",66.49712,NA,333231.816805636,3683099.94928329,TRUE
"105",66.49712,NA,333232.510604965,3683137.8451721,TRUE
"106",66.49712,NA,333233.010181935,3683141.98387684,TRUE
"107",66.49712,NA,333232.401359133,3683100.67687031,TRUE
"108",66.59712,NA,333232.501939104,3683104.96550458,TRUE
"109",66.49712,NA,333234.720937533,3683226.29426915,TRUE
"110",66.59712,NA,333232.567050279,3683099.58147298,TRUE
"111",66.49712,NA,333232.939871465,3683117.08036605,TRUE
"112",66.49712,NA,333232.880361538,3683102.04072633,TRUE
"113",66.29712,NA,333233.966612791,3683164.71813581,TRUE
"114",66.59712,NA,333232.940121002,3683103.51492832,TRUE
"115",66.49712,NA,333233.807640665,3683139.58876043,TRUE
"116",66.39712,NA,333234.177121126,3683143.85614471,TRUE
"117",66.59712,NA,333234.158939147,3683115.31025844,TRUE
"118",66.29712,NA,333234.985740775,3683163.1877155,TRUE
"119",66.69712,NA,333234.187460283,3683100.07943689,TRUE
"120",66.49712,NA,333235.069775255,3683141.30743609,TRUE
"121",66.39712,NA,333236.550428797,3683225.45761389,TRUE
"122",66.29712,NA,333235.421007314,3683145.65166774,TRUE
"123",66.29712,NA,333235.750412152,3683161.2712238,TRUE
"124",66.59712,NA,333235.323088789,3683113.38025995,TRUE
"125",66.49712,NA,333236.343965324,3683159.31884548,TRUE
"126",66.49712,NA,333235.372211124,3683101.52325096,TRUE
"127",66.39712,NA,333236.337496484,3683142.86296466,TRUE
"128",66.39712,NA,333236.454864719,3683147.58722413,TRUE
"129",66.29712,NA,333236.848727976,3683157.35024308,TRUE
"130",66.49712,NA,333236.37234684,3683111.27032456,TRUE
"131",66.39712,NA,333238.4046929,3683225.03315404,TRUE
"132",66.59712,NA,333236.324306389,3683102.54845305,TRUE
"133",66.39712,NA,333237.291062476,3683155.05549948,TRUE
"134",66.39712,NA,333237.171249575,3683145.08257926,TRUE
"135",66.39712,NA,333237.573319599,3683152.39081264,TRUE
"136",66.29712,NA,333237.622580374,3683149.28755408,TRUE
"137",66.39712,NA,333237.817654787,3683149.79665545,TRUE
"138",67.09712,NA,333237.062018716,3683103.67715968,TRUE
"139",66.39712,NA,333237.351919456,3683109.28026823,TRUE
"140",66.39712,NA,333238.068132383,3683147.45196141,TRUE
"141",66.39712,NA,333238.561998446,3683150.98625394,TRUE
"142",66.39712,NA,333237.79838744,3683105.48804322,TRUE
"143",66.49712,NA,333237.972413599,3683107.43169244,TRUE
"144",66.39712,NA,333240.328719833,3683224.65630246,TRUE
