"","ElevationBottom","Longitude","Latitude","optional"
"3742",-1.8,333743.896014768,3683727.20804461,TRUE
"3743",-1.9,333742.312060295,3683614.44151171,TRUE
"3744",-2.4,333731.178727005,3682957.21926259,TRUE
"3745",-1.7,333740.403977075,3683488.82058401,TRUE
"3746",-1.8,333744.620678821,3683734.33440368,TRUE
"3747",-1.8,333737.514549123,3683308.97261544,TRUE
"3748",-2.3,333728.572538284,3682779.69033519,TRUE
"3749",-2,333728.162043407,3682743.36918188,TRUE
"3750",-1.8,333745.048664577,3683730.65122469,TRUE
"3751",-2.3,333731.93474906,3682961.98250556,TRUE
"3752",-1.7,333740.160154327,3683434.95913238,TRUE
"3753",-1.7,333740.328759992,3683430.16343664,TRUE
"3754",-2.3,333732.635392665,3682966.3950824,TRUE
"3755",-1.7,333740.503904167,3683425.85900052,TRUE
"3756",-2.3,333729.626049296,3682784.46845603,TRUE
"3757",-2,333743.878493381,3683613.31551313,TRUE
"3758",-1.7,333740.937289514,3683440.1956405,TRUE
"3759",-1.8,333740.672586345,3683421.06774033,TRUE
"3760",-2.5,333733.341285846,3682971.16916539,TRUE
"3761",-1.8,333741.108292455,3683416.41832671,TRUE
"3762",-2.3,333730.646495923,3682788.94766117,TRUE
"3763",-1.8,333742.027647327,3683444.84335772,TRUE
"3764",-2.3,333734.04121056,3682975.92116668,TRUE
"3765",-1.8,333741.525853037,3683412.06981411,TRUE
"3766",-2,333730.212414031,3682744.92580899,TRUE
"3767",-1.9,333745.104873923,3683613.17030932,TRUE
"3768",-1.8,333739.836208621,3683304.98863079,TRUE
"3769",-1.7,333747.415274523,3683747.60466333,TRUE
"3770",-1.7,333747.388182582,3683742.80676638,TRUE
"3771",-1.8,333741.693527003,3683407.32848489,TRUE
"3772",-1.8,333741.860025563,3683402.51840602,TRUE
"3773",-1.9,333745.463027696,3683612.53970953,TRUE
"3774",-1.7,333747.674091154,3683738.49710617,TRUE
"3775",-2.4,333734.742317377,3682980.57886668,TRUE
"3776",-2.4,333731.686770461,3682793.38770573,TRUE
"3777",-1.7,333742.046558195,3683397.73571433,TRUE
"3778",-2.3,333735.466800102,3682985.35041354,TRUE
"3779",-1.7,333744.130913558,3683485.56570383,TRUE
"3780",-1.8,333748.407251827,3683734.19088855,TRUE
"3781",-1.7,333743.695604709,3683449.59766201,TRUE
"3782",-2.1,333732.647963912,3682798.27056001,TRUE
"3783",-1.8,333749.152089074,3683751.92076876,TRUE
"3784",-1.7,333743.044008795,3683393.40945144,TRUE
"3785",-2.3,333736.216658994,3682990.1348368,TRUE
"3786",-2,333747.033647709,3683612.74799641,TRUE
"3787",-2,333732.238811789,3682746.93317729,TRUE
"3788",-1.9,333741.921456603,3683300.63711099,TRUE
"3789",-2.2,333733.526317556,3682803.04945785,TRUE
"3790",-2.3,333736.969769083,3682994.89147478,TRUE
"3791",-2.3,333734.348775215,3682807.99236237,TRUE
"3792",-2.3,333737.723812398,3682999.59374654,TRUE
"3793",-1.8,333750.342013187,3683730.19798673,TRUE
"3794",-1.8,333745.669214339,3683453.86535068,TRUE
"3795",-1.7,333744.681588241,3683388.59639893,TRUE
"3796",-1.8,333751.016972845,3683755.8265018,TRUE
"3797",-2,333748.736544113,3683612.95513049,TRUE
"3798",-2.3,333735.128690758,3682812.46347966,TRUE
"3799",-2,333734.217443414,3682748.38122209,TRUE
"3800",-2.2,333738.598182754,3683004.3039435,TRUE
"3801",-1.9,333749.433735332,3683614.44394207,TRUE
"3802",-1.9,333744.057254338,3683296.19044615,TRUE
"3803",-2.3,333735.983113184,3682817.58663563,TRUE
"3804",-2.3,333739.401930627,3683009.07968116,TRUE
"3805",-1.8,333747.564327714,3683482.30808061,TRUE
"3806",-2.2,333736.917816828,3682822.1737896,TRUE
"3807",-2.3,333740.291499158,3683013.9704163,TRUE
"3808",-1.7,333747.899947227,3683458.13197007,TRUE
"3809",-1.8,333752.660884097,3683726.22069996,TRUE
"3810",-1.7,333753.23325189,3683759.68740365,TRUE
"3811",-2,333750.922813325,3683613.152889,TRUE
"3812",-1.8,333747.19912478,3683384.73551258,TRUE
"3813",-2.1,333736.36176787,3682749.71107846,TRUE
"3814",-2.2,333741.164819917,3683018.72832657,TRUE
"3815",-2.2,333737.997662673,3682826.63977862,TRUE
"3816",-1.9,333745.975096942,3683291.85620975,TRUE
"3817",-2.2,333742.087696316,3683023.49648142,TRUE
"3818",-2.2,333739.061203196,3682831.4055277,TRUE
"3819",-1.7,333750.250223004,3683479.14088562,TRUE
"3820",-1.9,333746.978627705,3683287.06731238,TRUE
"3821",-1.7,333755.176317684,3683763.915684,TRUE
"3822",-1.7,333750.144606986,3683462.50483401,TRUE
"3823",-1.9,333752.972222687,3683613.41066647,TRUE
"3824",-2.3,333742.976127403,3683028.26633452,TRUE
"3825",-2.1,333738.550162725,3682750.89376875,TRUE
"3826",-1.9,333753.387591375,3683615.14499238,TRUE
"3827",-1.9,333747.752093686,3683282.39105006,TRUE
"3828",-2.2,333740.203159426,3682835.68965702,TRUE
"3829",-2.2,333743.772273464,3683032.92462835,TRUE
"3830",-1.9,333755.788982789,3683722.98382411,TRUE
"3831",-1.9,333748.301625414,3683277.58662359,TRUE
"3832",-1.7,333751.751051655,3683475.04892712,TRUE
"3833",-1.7,333751.66858947,3683466.79463236,TRUE
"3834",-2.3,333744.385874405,3683037.15124123,TRUE
"3835",-1.7,333757.14634983,3683767.7597234,TRUE
"3836",-1.8,333750.617445572,3683381.51919117,TRUE
"3837",-2.2,333741.369197261,3682840.45587211,TRUE
"3838",-1.8,333752.240712134,3683470.66701519,TRUE
