"","Longitude","Latitude","ElevationBottom"
"1",-88.7813530261579,33.2774925785202,-2
"2",-88.7813463744796,33.2774462851244,-2.1
"3",-88.7813404512876,33.2773963099829,-2
"4",-88.7813350605593,33.2773492164163,-2
"5",-88.7813301342781,33.277300004498,-2.1
"6",-88.7813258142211,33.2772521934433,-2
"7",-88.7813242050839,33.2772015695048,-2.1
"8",-88.7813225881956,33.2771551584528,-2.1
"9",-88.7813209782832,33.2771045026029,-2.1
"10",-88.781319376122,33.2770582100058,-2
"11",-88.7813177607839,33.2770076414629,-2.1
"12",-88.7813146726109,33.2769559318303,-2.1
"13",-88.7813106067328,33.2769093907436,-2.1
"14",-88.7813060363491,33.2768631620127,-2.1
"15",-88.7813004725349,33.2768124231829,-2.1
"16",-88.7812950212146,33.2767654612913,-2.1
"17",-88.7812895415761,33.2767187057328,-2.1
"18",-88.7812836868652,33.2766721464563,-2
"19",-88.7812782243463,33.2766248568888,-2.1
"20",-88.7812730336197,33.2765742591254,-2.1
"21",-88.7812712761543,33.2765277759408,-2.1
"22",-88.7812701968601,33.2764771706299,-2.1
"23",-88.7812691144315,33.2764268099693,-2.1
"24",-88.7812680367045,33.2763776829714,-2.1
"25",-88.7812669433053,33.2763287235711,-2.1
"26",-88.7812658645336,33.2762796181783,-2.1
"27",-88.7812647909859,33.276232492945,-2.1
"28",-88.7812636986315,33.2761818745473,-2.1
"29",-88.7812617921399,33.2761354332157,-2.1
"30",-88.7812591939956,33.2760891287523,-2.1
"31",-88.7812566196186,33.2760384965643,-2.1
"32",-88.7812536148926,33.2759910373257,-2.1
"33",-88.7812463988031,33.2759447029341,-2.1
"34",-88.7812412996655,33.2758982988955,-2.1
"35",-88.7812366265587,33.2758509010652,-2.2
"36",-88.7812334974421,33.2758002549339,-2.2
"37",-88.7812304765621,33.2757533786673,-2.2
"38",-88.7812275079415,33.2757074006352,-2.2
"39",-88.7812284904062,33.2756609630499,-2.2
"40",-88.7812298210962,33.2756105416268,-2.2
"41",-88.7812311684839,33.2755631460525,-2.2
"42",-88.7812324946783,33.2755167558526,-1.9
"43",-88.7812338433505,33.2754684848148,-2.2
"44",-88.7812351721138,33.2754213163134,-2.3
"45",-88.7812369186637,33.2753723042243,-2.3
"46",-88.7812403511154,33.2753259948488,-2.4
"47",-88.7812438134435,33.2752760482938,-2.3
"48",-88.7812479980676,33.2752289386058,-2.2
"49",-88.7812526915181,33.2751815702894,-2.2
"50",-88.7812562392725,33.2751352542044,-2.2
"51",-88.7812592022835,33.2750845616797,-2.2
"52",-88.7812622186691,33.2750380621398,-2.1
"53",-88.7812639557371,33.2749917592007,-2.1
"54",-88.7812651034561,33.2749411828824,-2.1
"55",-88.7812662517293,33.2748952052256,-2.1
"56",-88.781267386702,33.2748483763276,-2.1
"57",-88.781268537192,33.2748020033801,-2.1
"58",-88.7812696788149,33.2747514523751,-2.1
"59",-88.7812708348467,33.2747049437182,-2.1
"60",-88.7812719853367,33.2746575697597,-2.2
"61",-88.7812756558088,33.2746113309686,-2.1
"62",-88.7812798994422,33.2745617063431,-2.1
"63",-88.7812832660277,33.2745148860304,-2.2
"64",-88.7812863099309,33.2744678838286,-2.2
"65",-88.7812892326619,33.2744184338489,-2.2
"66",-88.7812918719858,33.2743719512344,-2.2
"67",-88.7812943299774,33.2743244683553,-2.2
"68",-88.7812967714804,33.2742743856651,-2.2
"69",-88.7812990793331,33.2742285635702,-2.2
"70",-88.7812973033024,33.2741789519384,-2.2
"71",-88.7812955082952,33.2741310519128,-2.2
"72",-88.7812937253639,33.2740809549332,-2.2
"73",-88.7812919458829,33.2740347024906,-2.2
"74",-88.7812901465629,33.2739871667656,-2.3
"75",-88.7812914499867,33.2739375871743,-2.2
"76",-88.7812927527774,33.2738912046299,-2.2
"77",-88.7812940669629,33.2738405434805,-2.2
"78",-88.781295393176,33.2737930780522,-2.2
"79",-88.7812967098936,33.2737467749397,-2.2
"80",-88.7812980329415,33.2736961057008,-2.3
"81",-88.7812998301479,33.2736497648028,-2.2
"82",-88.7813042217387,33.2736028624776,-2.2
"83",-88.7813087122594,33.2735569655978,-2.2
"84",-88.7813142464959,33.2735063574807,-2.2
"85",-88.7813192523828,33.273458987545,-2.2
"86",-88.7813237523949,33.2734125887306,-2.3
"87",-88.781326601937,33.2733620021064,-2.3
"88",-88.7813277067733,33.2733151436048,-2.3
"89",-88.781328809498,33.2732641788535,-2.3
"90",-88.7813299043048,33.2732174858799,-2.3
"91",-88.7813310038623,33.2731709490727,-2.3
"92",-88.7813320970854,33.2731245820677,-2.3
"93",-88.7813331940036,33.2730737012197,-2.2
"94",-88.7813342861709,33.2730266509095,-2.2
"95",-88.7813357879067,33.2729803309718,-2.2
"96",-88.7813382587659,33.2729297937044,-2.2
"97",-88.7813406824713,33.2728815345814,-2.1
"98",-88.7813431203229,33.2728326522536,-2.2
"99",-88.7813448092604,33.2727859687111,-2.2
"100",-88.7813460473502,33.2727350342991,-2.2
"101",-88.7813472606191,33.2726883979591,-2.3
"102",-88.7813484904352,33.2726418185353,-2.2
"103",-88.7813497066589,33.2725916980714,-2.2
"104",-88.7813509276105,33.2725448260676,-2.5
"105",-88.7813521627454,33.272498723127,-2.3
"106",-88.7813538479574,33.2724478635521,-2.3
"107",-88.781356595684,33.2724004458267,-2.3
"108",-88.7813593367831,33.2723508718044,-2.4
"109",-88.7813621174302,33.2723041377697,-2.6
"110",-88.781366392907,33.2722612669814,-2.5
"111",-88.7813706540572,33.2722182057251,-2.7
"112",-88.7813757815879,33.272174863836,-2.7
"113",-88.781380894398,33.2721317820747,-2.7
"114",-88.7813856541806,33.2720920257763,-2.6
"115",-88.7813905380193,33.2720532560828,-2.6
"116",-88.7813958917162,33.2720105938505,-2.5
"117",-88.7814010055434,33.2719713326331,-2.5
"118",-88.7814058584836,33.2719281565444,-2.4
"119",-88.7814105628819,33.2718852899463,-2.4
"120",-88.7814151478988,33.2718448211918,-2.4
"121",-88.7814194651305,33.2718041573117,-2.4
"122",-88.7814237219816,33.2717625004079,-2.4
"123",-88.7814288564144,33.2717220703097,-2.3
"124",-88.7814344662388,33.271686740335,-2.3
"125",-88.781441664376,33.2716492779272,-2.3
"126",-88.7814557302487,33.2716179112768,-2.2
"127",-88.7814769201297,33.2715913711772,-2.2
"128",-88.781504176535,33.2715740379794,-2.1
"129",-88.7815353595564,33.2715592156575,-2
"130",-88.7815694059407,33.271550961886,-2
"131",-88.7816037398897,33.2715545299616,-2
"132",-88.781640475735,33.2715609906528,-2.1
"133",-88.7816747434508,33.2715738021953,-2.2
"134",-88.7817050827914,33.2715959266425,-2.2
"135",-88.7817287537192,33.2716247573031,-2.2
"136",-88.781744244247,33.2716560263032,-2.3
"137",-88.7817544075726,33.2716920703902,-2.3
"138",-88.7817631942147,33.271728798135,-2.3
"139",-88.7817697952454,33.2717643741365,-2.3
"140",-88.7817752177243,33.2718031842026,-2.4
"141",-88.7817737312697,33.2718387520399,-2.4
"142",-88.7817722391198,33.2718741260489,-2.4
"143",-88.7817707455461,33.2719141492782,-2.4
"144",-88.7817692633629,33.2719530094441,-2.4
"145",-88.7817677939939,33.2719885777493,-2.5
"146",-88.7817663182178,33.2720238494565,-2.4
"147",-88.7817579797585,33.2720571924898,-2.4
"148",-88.7817498074503,33.2720974723966,-2.6
"149",-88.7817415432305,33.2721329911837,-2.4
"150",-88.7817335045392,33.2721718773945,-2.4
"151",-88.7817266429702,33.272210659897,-2.4
"152",-88.7817207155867,33.2722498661617,-2.5
"153",-88.7817157778958,33.2722893303494,-2.5
"154",-88.7817113975456,33.2723313930675,-2.5
"155",-88.7817083132712,33.2723701832788,-2.6
"156",-88.7817052064948,33.2724133636188,-2.8
"157",-88.7817010107629,33.2724521260694,-2.4
"158",-88.7816951691186,33.2724920543775,-2.4
"159",-88.7816882350864,33.2725339384684,-2.3
"160",-88.7816819537339,33.2725728589029,-2.2
"161",-88.781676085267,33.2726126201622,-2.2
"162",-88.7816699349087,33.2726558626282,-2.3
"163",-88.7816643352755,33.2726982531867,-2.2
