POINT_X,POINT_Y,POINT_Z
333623.6178,3682667.015,67.5494766
333625.6178,3682667.015,67.5475922
333627.6178,3682667.015,67.5455399
333629.6178,3682667.015,67.5432434
333631.6178,3682667.015,67.5404968
333633.6178,3682667.015,67.5369415
333635.6178,3682667.015,67.5330963
333637.6178,3682667.015,67.5292969
333639.6178,3682667.015,67.5259247
333641.6178,3682667.015,67.5235367
333643.6178,3682667.015,67.5215988
333645.6178,3682667.015,67.5199127
333647.6178,3682667.015,67.5183716
333649.6178,3682667.015,67.516922
333651.6178,3682667.015,67.5155182
333653.6178,3682667.015,67.5141373
333621.6178,3682669.015,67.552269
333623.6178,3682669.015,67.5505524
333625.6178,3682669.015,67.5486984
333627.6178,3682669.015,67.5466995
333629.6178,3682669.015,67.5445251
333631.6178,3682669.015,67.5420151
333633.6178,3682669.015,67.3824081
333635.6178,3682669.015,67.3807983
333637.6178,3682669.015,67.379364
333639.6178,3682669.015,67.5234756
333641.6178,3682669.015,67.5215149
333643.6178,3682669.015,67.5197601
333645.6178,3682669.015,67.5181885
333647.6178,3682669.015,67.5167465
333649.6178,3682669.015,67.5153732
333651.6178,3682669.015,67.5140381
333653.6178,3682669.015,67.5127182
333617.6178,3682671.015,67.5562973
333619.6178,3682671.015,67.5548248
333621.6178,3682671.015,67.5532837
333623.6178,3682671.015,67.5516052
333625.6178,3682671.015,67.5497589
333627.6178,3682671.015,67.5477905
333629.6178,3682671.015,67.5458298
333631.6178,3682671.015,67.3853455
333633.6178,3682671.015,67.3824463
333635.6178,3682671.015,67.380188
333637.6178,3682671.015,67.3781967
333639.6178,3682671.015,67.5208893
333641.6178,3682671.015,67.5194626
333643.6178,3682671.015,67.5179825
333645.6178,3682671.015,67.5165405
333647.6178,3682671.015,67.5151825
333649.6178,3682671.015,67.5138702
333651.6178,3682671.015,67.5125961
333653.6178,3682671.015,67.5113297
333655.6178,3682671.015,67.5100632
333615.6178,3682673.015,67.5585403
333617.6178,3682673.015,67.5571594
333619.6178,3682673.015,67.5557632
333621.6178,3682673.015,67.5542908
333623.6178,3682673.015,67.5526581
333625.6178,3682673.015,67.5507431
333627.6178,3682673.015,67.5486755
333629.6178,3682673.015,67.3914108
333631.6178,3682673.015,67.3865585
333633.6178,3682673.015,67.3827744
333635.6178,3682673.015,67.3797379
333637.6178,3682673.015,67.3771362
333639.6178,3682673.015,67.3746414
333641.6178,3682673.015,67.5178528
333643.6178,3682673.015,67.5164261
333645.6178,3682673.015,67.5150452
333647.6178,3682673.015,67.5137253
333649.6178,3682673.015,67.5124512
333651.6178,3682673.015,67.5112152
333653.6178,3682673.015,67.5099869
333655.6178,3682673.015,67.5087585
333611.6178,3682675.015,67.5620346
333613.6178,3682675.015,67.5606766
333615.6178,3682675.015,67.5593338
333617.6178,3682675.015,67.5580063
333619.6178,3682675.015,67.5566864
333621.6178,3682675.015,67.5553131
333623.6178,3682675.015,67.5538101
333625.6178,3682675.015,67.4098358
333627.6178,3682675.015,67.4015656
333629.6178,3682675.015,67.393959
333631.6178,3682675.015,67.3879776
333633.6178,3682675.015,67.3831863
333635.6178,3682675.015,67.3792419
333637.6178,3682675.015,67.3758774
333639.6178,3682675.015,67.3728943
333641.6178,3682675.015,67.3701706
333643.6178,3682675.015,67.5150223
333645.6178,3682675.015,67.5136642
333647.6178,3682675.015,67.5123672
333649.6178,3682675.015,67.511116
333651.6178,3682675.015,67.5098953
333653.6178,3682675.015,67.5086975
333655.6178,3682675.015,67.5074921
333609.6178,3682677.015,67.5641174
333611.6178,3682677.015,67.5627899
333613.6178,3682677.015,67.5614471
333615.6178,3682677.015,67.560112
333617.6178,3682677.015,67.558815
333619.6178,3682677.015,67.557579
333621.6178,3682677.015,67.5563126
333623.6178,3682677.015,67.4210739
333625.6178,3682677.015,67.4134216
