"","DO","long","lat"
"141",9.39159435825191,333625.6178,3682667.015
"142",9.39916462128036,333640.6178,3682667.015
"341",9.40786823445179,333610.6178,3682682.015
"342",9.4158687087936,333625.6178,3682682.015
"343",9.42288733838387,333640.6178,3682682.015
"344",9.4291507063402,333655.6178,3682682.015
"540",9.41485086364469,333580.6178,3682697.015
"541",9.42524803014712,333595.6178,3682697.015
"542",9.4340883896193,333610.6178,3682697.015
"543",9.44154800945778,333625.6178,3682697.015
"544",9.44786557642628,333640.6178,3682697.015
"545",9.45332627500482,333655.6178,3682697.015
"546",9.45824016080367,333670.6178,3682697.015
"740",9.43109545562136,333565.6178,3682712.015
"741",9.44334396221164,333580.6178,3682712.015
"742",9.45362216810165,333595.6178,3682712.015
"743",9.4620455403045,333610.6178,3682712.015
"744",9.46882518456374,333625.6178,3682712.015
"745",9.47425714402732,333640.6178,3682712.015
"746",9.47870158833191,333655.6178,3682712.015
"747",9.48255404584967,333670.6178,3682712.015
"748",9.48621216777718,333685.6178,3682712.015
"749",9.49004211637603,333700.6178,3682712.015
"940",9.44656834934914,333550.6178,3682727.015
"941",9.46142660023593,333565.6178,3682727.015
"942",9.47393028970286,333580.6178,3682727.015
"943",9.48407749270566,333595.6178,3682727.015
"944",9.49199181580872,333610.6178,3682727.015
"945",9.49792497931977,333625.6178,3682727.015
"946",9.50224446044677,333640.6178,3682727.015
"947",9.50540651300616,333655.6178,3682727.015
"948",9.50791762410054,333670.6178,3682727.015
"949",9.51028955217003,333685.6178,3682727.015
"950",9.51299394925814,333700.6178,3682727.015
"951",9.51642210404958,333715.6178,3682727.015
"952",9.52085391350847,333730.6178,3682727.015
"1141",9.47837248273286,333550.6178,3682742.015
"1142",9.4940314533705,333565.6178,3682742.015
"1143",9.50689018096653,333580.6178,3682742.015
"1144",9.51690954603095,333595.6178,3682742.015
"1145",9.52421512065471,333610.6178,3682742.015
"1146",9.5291047341156,333625.6178,3682742.015
"1147",9.53203465185571,333640.6178,3682742.015
"1148",9.5335844032111,333655.6178,3682742.015
"1149",9.5344046941353,333670.6178,3682742.015
"1150",9.53515615225272,333685.6178,3682742.015
"1151",9.53644786806032,333700.6178,3682742.015
"1152",9.53878368825356,333715.6178,3682742.015
"1153",9.54252170314742,333730.6178,3682742.015
"1154",9.54784947062435,333745.6178,3682742.015
"1155",9.55477520510769,333760.6178,3682742.015
"1342",9.51245258850795,333550.6178,3682757.015
"1343",9.52915765960688,333565.6178,3682757.015
"1344",9.54252009092973,333580.6178,3682757.015
"1345",9.55244002041429,333595.6178,3682757.015
"1346",9.55903375033036,333610.6178,3682757.015
"1347",9.56264994209787,333625.6178,3682757.015
"1348",9.56385494291112,333640.6178,3682757.015
"1349",9.5633866175685,333655.6178,3682757.015
"1350",9.56208324430663,333670.6178,3682757.015
"1351",9.56079939438975,333685.6178,3682757.015
"1352",9.56032242727846,333700.6178,3682757.015
"1353",9.5613011468582,333715.6178,3682757.015
"1354",9.56419370520601,333730.6178,3682757.015
"1355",9.56923707978831,333745.6178,3682757.015
"1356",9.57643704594933,333760.6178,3682757.015
"1357",9.58557617950353,333775.6178,3682757.015
"1358",9.59623773122415,333790.6178,3682757.015
"1359",9.60784427935404,333805.6178,3682757.015
"1360",9.61971077360922,333820.6178,3682757.015
"1542",9.52728808795408,333535.6178,3682772.015
"1543",9.54894943963739,333550.6178,3682772.015
"1544",9.56702839392299,333565.6178,3682772.015
"1545",9.58110945350816,333580.6178,3682772.015
"1546",9.5909972309571,333595.6178,3682772.015
"1547",9.59677981735328,333610.6178,3682772.015
"1548",9.59885953734834,333625.6178,3682772.015
"1549",9.5979388005023,333640.6178,3682772.015
"1550",9.59495899762984,333655.6178,3682772.015
"1551",9.59100232421579,333670.6178,3682772.015
"1552",9.58717525072797,333685.6178,3682772.015
"1553",9.58449473296899,333700.6178,3682772.015
"1554",9.58379405668352,333715.6178,3682772.015
"1555",9.58565728238668,333730.6178,3682772.015
"1556",9.59038342078427,333745.6178,3682772.015
"1557",9.59797650011153,333760.6178,3682772.015
"1558",9.60815641910081,333775.6178,3682772.015
"1559",9.62038709289501,333790.6178,3682772.015
"1560",9.63392120474306,333805.6178,3682772.015
"1561",9.64786301063495,333820.6178,3682772.015
"1562",9.66125053469173,333835.6178,3682772.015
"1563",9.6731552688174,333850.6178,3682772.015
"1600",9.81143528503998,334405.6178,3682772.015
"1601",9.80457869038812,334420.6178,3682772.015
"1743",9.56386474124371,333535.6178,3682787.015
"1744",9.58791424407092,333550.6178,3682787.015
"1745",9.60779583591947,333565.6178,3682787.015
"1746",9.62289676332932,333580.6178,3682787.015
"1747",9.63287585210566,333595.6178,3682787.015
"1748",9.63776270008021,333610.6178,3682787.015
"1749",9.6380125315204,333625.6178,3682787.015
"1750",9.63449529113292,333640.6178,3682787.015
"1751",9.62841400986958,333655.6178,3682787.015
"1752",9.62116758744673,333670.6178,3682787.015
"1753",9.61418793374771,333685.6178,3682787.015
"1754",9.60878459247722,333700.6178,3682787.015
"1755",9.60602168357075,333715.6178,3682787.015
"1756",9.60663794267843,333730.6178,3682787.015
"1757",9.61100782393469,333745.6178,3682787.015
"1758",9.61913455094525,333760.6178,3682787.015
"1759",9.63066542745465,333775.6178,3682787.015
"1760",9.64492379140611,333790.6178,3682787.015
"1761",9.66095782699542,333805.6178,3682787.015
"1762",9.67761114433434,333820.6178,3682787.015
"1763",9.69362108791064,333835.6178,3682787.015
"1764",9.70774640857567,333850.6178,3682787.015
"1765",9.71891614361229,333865.6178,3682787.015
"1766",9.72637897281757,333880.6178,3682787.015
"1773",9.70296445783173,333985.6178,3682787.015
"1774",9.70108744113292,334000.6178,3682787.015
"1775",9.70249550785951,334015.6178,3682787.015
"1776",9.7075094989103,334030.6178,3682787.015
"1777",9.71609391174634,334045.6178,3682787.015
"1778",9.72786866740443,334060.6178,3682787.015
"1779",9.74213777683541,334075.6178,3682787.015
"1780",9.7579360365526,334090.6178,3682787.015
"1781",9.77409916857645,334105.6178,3682787.015
"1782",9.78936400237774,334120.6178,3682787.015
"1783",9.8025017980864,334135.6178,3682787.015
"1784",9.81247894905885,334150.6178,3682787.015
"1785",9.8186262715199,334165.6178,3682787.015
"1786",9.82078473856895,334180.6178,3682787.015
"1787",9.81938783929614,334195.6178,3682787.015
"1798",9.83487409386676,334360.6178,3682787.015
"1799",9.83215024341423,334375.6178,3682787.015
"1800",9.82725438645487,334390.6178,3682787.015
"1801",9.82181322092005,334405.6178,3682787.015
"1802",9.81690537863708,334420.6178,3682787.015
"1943",9.57138444658271,333520.6178,3682802.015
"1944",9.60219340042322,333535.6178,3682802.015
"1945",9.62923629862348,333550.6178,3682802.015
"1946",9.65146510463431,333565.6178,3682802.015
"1947",9.66799319048982,333580.6178,3682802.015
"1948",9.67826288996535,333595.6178,3682802.015
"1949",9.68219903291165,333610.6178,3682802.015
"1950",9.68030299472528,333625.6178,3682802.015
"1951",9.67365000656624,333640.6178,3682802.015
"1952",9.6637789949966,333655.6178,3682802.015
"1953",9.65249849557687,333670.6178,3682802.015
"1954",9.64165723535307,333685.6178,3682802.015
"1955",9.6329319338033,333700.6178,3682802.015
"1956",9.6276687667116,333715.6178,3682802.015
"1957",9.62679021734003,333730.6178,3682802.015
"1958",9.6307584484514,333745.6178,3682802.015
"1959",9.63957672560598,333760.6178,3682802.015
"1960",9.65281174616348,333775.6178,3682802.015
"1961",9.66962804592648,333790.6178,3682802.015
"1962",9.68883631613032,333805.6178,3682802.015
"1963",9.70896638247381,333820.6178,3682802.015
"1964",9.72837911160494,333835.6178,3682802.015
"1965",9.7454263630122,333850.6178,3682802.015
"1966",9.75865286862901,333865.6178,3682802.015
"1967",9.76701174091405,333880.6178,3682802.015
"1968",9.77004559536372,333895.6178,3682802.015
"1969",9.76798080099872,333910.6178,3682802.015
"1970",9.76170097049611,333925.6178,3682802.015
"1971",9.75260225114753,333940.6178,3682802.015
"1972",9.74236978669103,333955.6178,3682802.015
"1973",9.73273352383043,333970.6178,3682802.015
"1974",9.72525568797942,333985.6178,3682802.015
"1975",9.72117950203229,334000.6178,3682802.015
"1976",9.72134328359705,334015.6178,3682802.015
"1977",9.72614679573445,334030.6178,3682802.015
"1978",9.73555101513867,334045.6178,3682802.015
"1979",9.74909600468161,334060.6178,3682802.015
"1980",9.76593007417467,334075.6178,3682802.015
"1981",9.78485311315959,334090.6178,3682802.015
"1982",9.80438504498614,334105.6178,3682802.015
"1983",9.82287423941854,334120.6178,3682802.015
"1984",9.83865770047585,334135.6178,3682802.015
"1985",9.8502726405396,334150.6178,3682802.015
"1986",9.85669791409562,334165.6178,3682802.015
"1987",9.85757903682748,334180.6178,3682802.015
"1988",9.85337304258496,334195.6178,3682802.015
"1989",9.84535155258722,334210.6178,3682802.015
"1990",9.83542786835091,334225.6178,3682802.015
"1998",9.83865038003094,334345.6178,3682802.015
"1999",9.83923078409313,334360.6178,3682802.015
"2000",9.8367120125033,334375.6178,3682802.015
"2001",9.83287539775233,334390.6178,3682802.015
"2002",9.82972035581492,334405.6178,3682802.015
"2003",9.82823728039426,334420.6178,3682802.015
"2004",9.82793972216337,334435.6178,3682802.015
"2144",9.60696828859986,333520.6178,3682817.015
"2145",9.64179988650768,333535.6178,3682817.015
"2146",9.67253851232343,333550.6178,3682817.015
"2147",9.6977776028945,333565.6178,3682817.015
"2148",9.71625893088199,333580.6178,3682817.015
"2149",9.7271123744665,333595.6178,3682817.015
"2150",9.73009050882516,333610.6178,3682817.015
"2151",9.72572514565547,333625.6178,3682817.015
"2152",9.7153414230223,333640.6178,3682817.015
"2153",9.70090769755688,333655.6178,3682817.015
"2154",9.68475824175064,333670.6178,3682817.015
"2155",9.66926833819642,333685.6178,3682817.015
"2156",9.65656543082418,333700.6178,3682817.015
"2157",9.64832916634417,333715.6178,3682817.015
"2158",9.64569035112717,333730.6178,3682817.015
"2159",9.64920674309106,333745.6178,3682817.015
"2160",9.65888174035142,333760.6178,3682817.015
"2161",9.67419753951915,333775.6178,3682817.015
"2162",9.69414941872373,333790.6178,3682817.015
"2163",9.71728549023137,333805.6178,3682817.015
"2164",9.74177157006759,333820.6178,3682817.015
"2165",9.76550900801245,333835.6178,3682817.015
"2166",9.78632868519172,333850.6178,3682817.015
"2167",9.80226214817112,333865.6178,3682817.015
"2168",9.81185311716637,333880.6178,3682817.015
"2169",9.81443424709874,333895.6178,3682817.015
"2170",9.8102798450601,333910.6178,3682817.015
"2171",9.80057364514441,333925.6178,3682817.015
"2172",9.7871943203025,333940.6178,3682817.015
"2173",9.77238618928502,333955.6178,3682817.015
"2174",9.75841243708843,333970.6178,3682817.015
"2175",9.74727230497111,333985.6178,3682817.015
"2176",9.7405203738823,334000.6178,3682817.015
"2177",9.73918320827211,334015.6178,3682817.015
"2178",9.74374389303147,334030.6178,3682817.015
"2179",9.75416054301437,334045.6178,3682817.015
"2180",9.76989390110851,334060.6178,3682817.015
"2181",9.78993390893159,334075.6178,3682817.015
"2182",9.8128305964525,334090.6178,3682817.015
"2183",9.8367480440886,334105.6178,3682817.015
"2184",9.8595688818663,334120.6178,3682817.015
"2185",9.87907649772162,334135.6178,3682817.015
"2186",9.89322721239011,334150.6178,3682817.015
"2187",9.9004919690962,334165.6178,3682817.015
"2188",9.90020233566316,334180.6178,3682817.015
"2189",9.89279781901231,334195.6178,3682817.015
"2190",9.87986720030982,334210.6178,3682817.015
"2191",9.86392198142091,334225.6178,3682817.015
"2198",9.83555050915441,334330.6178,3682817.015
"2199",9.83905691160271,334345.6178,3682817.015
"2200",9.83955370826681,334360.6178,3682817.015
"2201",9.83784494715307,334375.6178,3682817.015
"2202",9.83623654878671,334390.6178,3682817.015
"2203",9.83700447512762,334405.6178,3682817.015
"2204",9.84074785324085,334420.6178,3682817.015
"2205",9.8459749459882,334435.6178,3682817.015
"2206",9.85008534956989,334450.6178,3682817.015
"2344",9.60015997224788,333505.6178,3682832.015
"2345",9.64231468485839,333520.6178,3682832.015
"2346",9.68184372322292,333535.6178,3682832.015
"2347",9.71703792380755,333550.6178,3682832.015
"2348",9.74604510957759,333565.6178,3682832.015
"2349",9.76711777705263,333580.6178,3682832.015
"2350",9.77894959793274,333595.6178,3682832.015
"2351",9.78102793207205,333610.6178,3682832.015
"2352",9.77388739618209,333625.6178,3682832.015
"2353",9.7591545378716,333640.6178,3682832.015
"2354",9.73934162575233,333655.6178,3682832.015
"2355",9.71744810337206,333670.6178,3682832.015
"2356",9.69650027888265,333685.6178,3682832.015
"2357",9.67916166803038,333700.6178,3682832.015
"2358",9.66748853534193,333715.6178,3682832.015
"2359",9.6628328429939,333730.6178,3682832.015
"2360",9.66584704710526,333745.6178,3682832.015
"2361",9.67653307484647,333760.6178,3682832.015
"2362",9.69429145172989,333775.6178,3682832.015
"2363",9.71795150463347,333790.6178,3682832.015
"2364",9.74579038663759,333805.6178,3682832.015
"2365",9.77557267197089,333820.6178,3682832.015
"2366",9.80465855609137,333835.6178,3682832.015
"2367",9.83022799382683,333850.6178,3682832.015
"2368",9.8496386188019,333865.6178,3682832.015
"2369",9.86087394969095,333880.6178,3682832.015
"2370",9.86296647681144,333895.6178,3682832.015
"2371",9.8562445036847,333910.6178,3682832.015
"2372",9.8422937012257,333925.6178,3682832.015
"2373",9.82363561890668,333940.6178,3682832.015
"2374",9.80323977128275,333955.6178,3682832.015
"2375",9.78403227132999,333970.6178,3682832.015
"2376",9.76852606872689,333985.6178,3682832.015
"2377",9.75861739908472,334000.6178,3682832.015
"2378",9.75552358507354,334015.6178,3682832.015
"2379",9.75980514025333,334030.6178,3682832.015
"2380",9.77141638604036,334045.6178,3682832.015
"2381",9.7897475252787,334060.6178,3682832.015
"2382",9.81364436043935,334075.6178,3682832.015
"2383",9.84141399662367,334090.6178,3682832.015
"2384",9.87084488033575,334105.6178,3682832.015
"2385",9.89928599144996,334120.6178,3682832.015
"2386",9.92383698065925,334135.6178,3682832.015
"2387",9.94168688946949,334150.6178,3682832.015
"2388",9.95059190425858,334165.6178,3682832.015
"2389",9.94940427167425,334180.6178,3682832.015
"2390",9.9384860000041,334195.6178,3682832.015
"2391",9.91981831765248,334210.6178,3682832.015
"2392",9.89669369713443,334225.6178,3682832.015
"2398",9.83055027838796,334315.6178,3682832.015
"2399",9.83436405346774,334330.6178,3682832.015
"2400",9.83717142309056,334345.6178,3682832.015
"2401",9.83804749910128,334360.6178,3682832.015
"2402",9.83820202483077,334375.6178,3682832.015
"2403",9.84040661456083,334390.6178,3682832.015
"2404",9.84699802502998,334405.6178,3682832.015
"2405",9.85778015221426,334420.6178,3682832.015
"2406",9.86978138172371,334435.6178,3682832.015
"2407",9.87901583165477,334450.6178,3682832.015
"2408",9.88243903356564,334465.6178,3682832.015
"2545",9.62901022939586,333505.6178,3682847.015
"2546",9.67617954973975,333520.6178,3682847.015
"2547",9.72100017272996,333535.6178,3682847.015
"2548",9.76138033010358,333550.6178,3682847.015
"2549",9.79493763909135,333565.6178,3682847.015
"2550",9.81930569156978,333580.6178,3682847.015
"2551",9.83259427024859,333595.6178,3682847.015
"2552",9.83390725100109,333610.6178,3682847.015
"2553",9.82374124709778,333625.6178,3682847.015
"2554",9.80408125150805,333640.6178,3682847.015
"2555",9.7781160204204,333655.6178,3682847.015
"2556",9.74966597082105,333670.6178,3682847.015
"2557",9.7225359571919,333685.6178,3682847.015
"2558",9.69999876703856,333700.6178,3682847.015
"2559",9.68450957246407,333715.6178,3682847.015
"2560",9.67763376767094,333730.6178,3682847.015
"2561",9.68010426575303,333745.6178,3682847.015
"2562",9.69191730602869,333760.6178,3682847.015
"2563",9.71240353899505,333775.6178,3682847.015
"2564",9.74024907247387,333790.6178,3682847.015
"2565",9.77347815567004,333805.6178,3682847.015
"2566",9.80944355338196,333820.6178,3682847.015
"2567",9.84489955665928,333835.6178,3682847.015
"2568",9.87624253643504,333850.6178,3682847.015
"2569",9.89997049152087,333865.6178,3682847.015
"2570",9.91331905793077,333880.6178,3682847.015
"2571",9.91490239732907,333895.6178,3682847.015
"2572",9.90510743475149,333910.6178,3682847.015
"2573",9.88604899513205,333925.6178,3682847.015
"2574",9.86108659192088,333940.6178,3682847.015
"2575",9.83410375066362,333955.6178,3682847.015
"2576",9.80881958008447,333970.6178,3682847.015
"2577",9.78831897046622,333985.6178,3682847.015
"2578",9.77484382057957,334000.6178,3682847.015
"2579",9.76978117360552,334015.6178,3682847.015
"2580",9.77374870312999,334030.6178,3682847.015
"2581",9.78669340771254,334045.6178,3682847.015
"2582",9.80795336257767,334060.6178,3682847.015
"2583",9.83626558251488,334075.6178,3682847.015
"2584",9.86973131294164,334090.6178,3682847.015
"2585",9.90577681729928,334105.6178,3682847.015
"2586",9.94117530907373,334120.6178,3682847.015
"2587",9.97221751946357,334135.6178,3682847.015
"2588",9.99511373238024,334150.6178,3682847.015
"2589",10.0066488489669,334165.6178,3682847.015
"2590",10.0049808426532,334180.6178,3682847.015
"2591",9.99031703816766,334195.6178,3682847.015
"2592",9.96513614142435,334210.6178,3682847.015
"2593",9.93375174271396,334225.6178,3682847.015
"2594",9.901303262359,334240.6178,3682847.015
"2599",9.83082162400451,334315.6178,3682847.015
"2600",9.83298856089043,334330.6178,3682847.015
"2601",9.83552134188017,334345.6178,3682847.015
"2602",9.83777999689652,334360.6178,3682847.015
"2603",9.84134213165924,334375.6178,3682847.015
"2604",9.84922884863758,334390.6178,3682847.015
"2605",9.86348803612384,334405.6178,3682847.015
"2606",9.88269477892769,334420.6178,3682847.015
"2607",9.90199772534259,334435.6178,3682847.015
"2608",9.91588722950979,334450.6178,3682847.015
"2609",9.92087235101035,334465.6178,3682847.015
"2746",9.65452322418967,333505.6178,3682862.015
"2747",9.70688422114841,333520.6178,3682862.015
"2748",9.75736604727018,333535.6178,3682862.015
"2749",9.8034829161363,333550.6178,3682862.015
"2750",9.8422571096698,333565.6178,3682862.015
"2751",9.87058067986622,333580.6178,3682862.015
"2752",9.88582438973374,333595.6178,3682862.015
"2753",9.88657573131524,333610.6178,3682862.015
"2754",9.87324287549257,333625.6178,3682862.015
"2755",9.84822759792073,333640.6178,3682862.015
"2756",9.81553291614789,333655.6178,3682862.015
"2757",9.77995153978569,333670.6178,3682862.015
"2758",9.74617289469482,333685.6178,3682862.015
"2759",9.71811811449081,333700.6178,3682862.015
"2760",9.69862773783278,333715.6178,3682862.015
"2761",9.6894448379154,333730.6178,3682862.015
"2762",9.69135279482476,333745.6178,3682862.015
"2763",9.7043350934263,333760.6178,3682862.015
"2764",9.72767381425441,333775.6178,3682862.015
"2765",9.75995621816745,333790.6178,3682862.015
"2766",9.79900476935177,333805.6178,3682862.015
"2767",9.84179055996708,333820.6178,3682862.015
"2768",9.88443635364662,333835.6178,3682862.015
"2769",9.92244660939805,333850.6178,3682862.015
"2770",9.95127402227851,333865.6178,3682862.015
"2771",9.96719880956367,333880.6178,3682862.015
"2772",9.96827805079945,333895.6178,3682862.015
"2773",9.95495954340027,333910.6178,3682862.015
"2774",9.93003058615018,333925.6178,3682862.015
"2775",9.89789941611512,333940.6178,3682862.015
"2776",9.8635481692582,333955.6178,3682862.015
"2777",9.83159112674593,333970.6178,3682862.015
"2778",9.80570276104377,333985.6178,3682862.015
"2779",9.78843570435344,334000.6178,3682862.015
"2780",9.7812974467337,334015.6178,3682862.015
"2781",9.78492752033146,334030.6178,3682862.015
"2782",9.79925930595158,334045.6178,3682862.015
"2783",9.8236056034057,334060.6178,3682862.015
"2784",9.85664986718679,334075.6178,3682862.015
"2785",9.89635648356293,334090.6178,3682862.015
"2786",9.93984512438234,334105.6178,3682862.015
"2787",9.9833156714554,334120.6178,3682862.015
"2788",10.0221572520836,334135.6178,3682862.015
"2789",10.0513957200049,334150.6178,3682862.015
"2790",10.066566276168,334165.6178,3682862.015
"2791",10.0648901659111,334180.6178,3682862.015
"2792",10.0463418737739,334195.6178,3682862.015
"2793",10.0140371325168,334210.6178,3682862.015
"2794",9.97358956983994,334225.6178,3682862.015
"2795",9.93161919136814,334240.6178,3682862.015
"2799",9.83526339021144,334300.6178,3682862.015
"2800",9.83194446928378,334315.6178,3682862.015
"2801",9.83283230688763,334330.6178,3682862.015
"2802",9.83591580712918,334345.6178,3682862.015
"2803",9.84089041419048,334360.6178,3682862.015
"2804",9.84956374662506,334375.6178,3682862.015
"2805",9.86486390890825,334390.6178,3682862.015
"2806",9.88812549995782,334405.6178,3682862.015
"2807",9.91634548647311,334420.6178,3682862.015
"2808",9.94260367117874,334435.6178,3682862.015
"2809",9.95992543468879,334450.6178,3682862.015
"2810",9.96469798925796,334465.6178,3682862.015
"2811",9.95701588361406,334480.6178,3682862.015
"2946",9.61846693643308,333490.6178,3682877.015
"2947",9.67501167565492,333505.6178,3682877.015
"2948",9.73234670671101,333520.6178,3682877.015
"2949",9.78844742383438,333535.6178,3682877.015
"2950",9.84045772804776,333550.6178,3682877.015
"2951",9.88478138043851,333565.6178,3682877.015
"2952",9.91748574921829,333580.6178,3682877.015
"2953",9.93507567004577,333595.6178,3682877.015
"2954",9.93550349652211,333610.6178,3682877.015
"2955",9.91904118289765,333625.6178,3682877.015
"2956",9.88855719305162,333640.6178,3682877.015
"2957",9.84898128893763,333655.6178,3682877.015
"2958",9.80618319523959,333670.6178,3682877.015
"2959",9.76578125148928,333685.6178,3682877.015
"2960",9.73232236017299,333700.6178,3682877.015
"2961",9.70897095843704,333715.6178,3682877.015
"2962",9.6975829619372,333730.6178,3682877.015
"2963",9.69894942946619,333745.6178,3682877.015
"2964",9.71303249437303,333760.6178,3682877.015
"2965",9.73909386045775,333775.6178,3682877.015
"2966",9.77568284862354,333790.6178,3682877.015
"2967",9.82050172397463,333805.6178,3682877.015
"2968",9.87021806759227,333820.6178,3682877.015
"2969",9.92036070506564,333835.6178,3682877.015
"2970",9.96550052910058,333850.6178,3682877.015
"2971",9.99991232317674,333865.6178,3682877.015
"2972",10.0187420878727,333880.6178,3682877.015
"2973",10.0193590939028,333895.6178,3682877.015
"2974",10.0022711388941,333910.6178,3682877.015
"2975",9.97106679630761,333925.6178,3682877.015
"2976",9.93137801205216,333940.6178,3682877.015
"2977",9.88941022064396,333955.6178,3682877.015
"2978",9.85070383118823,333970.6178,3682877.015
"2979",9.81947711977801,333985.6178,3682877.015
"2980",9.79851484863736,334000.6178,3682877.015
"2981",9.78937243985892,334015.6178,3682877.015
"2982",9.79266708679457,334030.6178,3682877.015
"2983",9.8083110987395,334045.6178,3682877.015
"2984",9.83562226889447,334060.6178,3682877.015
"2985",9.87329522413358,334075.6178,3682877.015
"2986",9.91924735387497,334090.6178,3682877.015
"2987",9.97038560273336,334105.6178,3682877.015
"2988",10.0223965911914,334120.6178,3682877.015
"2989",10.0697454021665,334135.6178,3682877.015
"2990",10.1061363103831,334150.6178,3682877.015
"2991",10.1256318500801,334165.6178,3682877.015
"2992",10.1243186497253,334180.6178,3682877.015
"2993",10.1019001031598,334195.6178,3682877.015
"2994",10.0622878280224,334210.6178,3682877.015
"2995",10.0126356933802,334225.6178,3682877.015
"2996",9.96119517628961,334240.6178,3682877.015
"2997",9.9150612004596,334255.6178,3682877.015
"2998",9.87874442607217,334270.6178,3682877.015
"2999",9.85384713295724,334285.6178,3682877.015
"3000",9.83958645801086,334300.6178,3682877.015
"3001",9.83376830866534,334315.6178,3682877.015
"3002",9.83391603860995,334330.6178,3682877.015
"3003",9.83836648622543,334345.6178,3682877.015
"3004",9.84712036738633,334360.6178,3682877.015
"3005",9.86201810073335,334375.6178,3682877.015
"3006",9.88554819323044,334390.6178,3682877.015
"3007",9.91800801422759,334405.6178,3682877.015
"3008",9.95473656017167,334420.6178,3682877.015
"3009",9.98689973352855,334435.6178,3682877.015
"3010",10.0062803906062,334450.6178,3682877.015
"3011",10.0093757568083,334465.6178,3682877.015
"3012",9.99742091261901,334480.6178,3682877.015
"3147",9.62875934387734,333490.6178,3682892.015
"3148",9.68868156916641,333505.6178,3682892.015
"3149",9.75023801945367,333520.6178,3682892.015
"3150",9.81130846954321,333535.6178,3682892.015
"3151",9.86873007138021,333550.6178,3682892.015
"3152",9.91832957222876,333565.6178,3682892.015
"3153",9.95534911229679,333580.6178,3682892.015
"3154",9.97538489365179,333595.6178,3682892.015
"3155",9.97569989406493,333610.6178,3682892.015
"3156",9.95640713716236,333625.6178,3682892.015
