,X,DO,POINT_X,POINT_Y,Temp
98,1746,8.475434045,333580.6178,3682787.015,28.496535
99,1747,8.486299933,333595.6178,3682787.015,28.50319457
100,1748,8.49384889,333610.6178,3682787.015,28.50576838
101,1749,8.498596263,333625.6178,3682787.015,28.50455648
102,1750,8.501361848,333640.6178,3682787.015,28.50018415
103,1751,8.503186562,333655.6178,3682787.015,28.49354522
104,1752,8.505210342,333670.6178,3682787.015,28.4857012
105,1753,8.508537245,333685.6178,3682787.015,28.47775824
106,1754,8.514113952,333700.6178,3682787.015,28.47074739
107,1755,8.522639339,333715.6178,3682787.015,28.46552776
108,1756,8.534510854,333730.6178,3682787.015,28.46272172
109,1757,8.549803604,333745.6178,3682787.015,28.46268132
110,1758,8.568273598,333760.6178,3682787.015,28.46547925
111,1759,8.589377425,333775.6178,3682787.015,28.47091712
112,1760,8.612305043,333790.6178,3682787.015,28.47854633
113,1761,8.63602756,333805.6178,3682787.015,28.48770149
114,1762,8.659365639,333820.6178,3682787.015,28.49754983
115,1763,8.681084192,333835.6178,3682787.015,28.50716152
116,1764,8.700014026,333850.6178,3682787.015,28.51560244
117,1765,8.715191243,333865.6178,3682787.015,28.52204461
118,1766,8.725993337,333880.6178,3682787.015,28.52587942
119,1773,8.715935581,333985.6178,3682787.015,28.49562217
120,1774,8.714989995,334000.6178,3682787.015,28.49189246
121,1775,8.717044297,334015.6178,3682787.015,28.49053588
122,1776,8.722397737,334030.6178,3682787.015,28.49186613
123,1777,8.731004415,334045.6178,3682787.015,28.49595865
124,1778,8.742485982,334060.6178,3682787.015,28.50266526
125,1779,8.75615807,334075.6178,3682787.015,28.51164408
126,1780,8.771071841,334090.6178,3682787.015,28.52240533
127,1781,8.786076523,334105.6178,3682787.015,28.53437578
128,1782,8.79991038,334120.6178,3682787.015,28.54698508
129,1783,8.81132466,334135.6178,3682787.015,28.55977334
130,1784,8.819237087,334150.6178,3682787.015,28.57251232
131,1785,8.822899093,334165.6178,3682787.015,28.58532204
132,1786,8.822047869,334180.6178,3682787.015,28.59875514
133,1787,8.817005835,334195.6178,3682787.015,28.61381584
134,1798,8.784866929,334360.6178,3682787.015,28.97084944
135,1799,8.781408844,334375.6178,3682787.015,28.95211636
136,1800,8.774690189,334390.6178,3682787.015,28.91500862
137,1801,8.765963583,334405.6178,3682787.015,28.86601195
138,1802,8.756556075,334420.6178,3682787.015,28.81262749
139,1943,8.422992279,333520.6178,3682802.015,28.4601513
140,1944,8.448719593,333535.6178,3682802.015,28.48318348
141,1945,8.471611228,333550.6178,3682802.015,28.50331608
142,1946,8.490934617,333565.6178,3682802.015,28.51971518
143,1947,8.506128084,333580.6178,3682802.015,28.5316567
144,1948,8.516929291,333595.6178,3682802.015,28.5386565
145,1949,8.523482831,333610.6178,3682802.015,28.54059308
146,1950,8.52639165,333625.6178,3682802.015,28.53778729
147,1951,8.526686873,333640.6178,3682802.015,28.53100925
148,1952,8.525713925,333655.6178,3682802.015,28.52140224
149,1953,8.524959925,333670.6178,3682802.015,28.51033941
150,1954,8.52586442,333685.6178,3682802.015,28.49924979
151,1955,8.529654713,333700.6178,3682802.015,28.48945394
152,1956,8.53723116,333715.6178,3682802.015,28.48203834
153,1957,8.54910704,333730.6178,3682802.015,28.47777906
154,1958,8.56539213,333745.6178,3682802.015,28.47710882
155,1959,8.585803422,333760.6178,3682802.015,28.48011397
156,1960,8.609689611,333775.6178,3682802.015,28.48654792
157,1961,8.636064258,333790.6178,3682802.015,28.4958539
158,1962,8.66365206,333805.6178,3682802.015,28.50719758
159,1963,8.690959915,333820.6178,3682802.015,28.51951752
160,1964,8.716386326,333835.6178,3682802.015,28.53160411
161,1965,8.738376349,333850.6178,3682802.015,28.5422151
162,1966,8.755613691,333865.6178,3682802.015,28.5502243
163,1967,8.767220371,333880.6178,3682802.015,28.55478422
164,1968,8.772916752,333895.6178,3682802.015,28.55546747
165,1969,8.773092887,333910.6178,3682802.015,28.55234736
166,1970,8.768762349,333925.6178,3682802.015,28.54599039
167,1971,8.761405737,333940.6178,3682802.015,28.53735984
168,1972,8.752745449,333955.6178,3682802.015,28.52765722
169,1973,8.744508924,333970.6178,3682802.015,28.51814407
170,1974,8.738229285,333985.6178,3682802.015,28.50998366
171,1975,8.735108892,334000.6178,3682802.015,28.50412628
172,1976,8.735946608,334015.6178,3682802.015,28.50124335
173,1977,8.7411137,334030.6178,3682802.015,28.50170239
174,1978,8.750558871,334045.6178,3682802.015,28.50557015
175,1979,8.763827152,334060.6178,3682802.015,28.51263322
176,1980,8.78008613,334075.6178,3682802.015,28.52243131
177,1981,8.798162716,334090.6178,3682802.015,28.534305
178,1982,8.816601742,334105.6178,3682802.015,28.54746482
179,1983,8.833761982,334120.6178,3682802.015,28.56109014
180,1984,8.84796306,334135.6178,3682802.015,28.57446276
181,1985,8.857685801,334150.6178,3682802.015,28.58712933
182,1986,8.861808798,334165.6178,3682802.015,28.59907053
183,1987,8.85983974,334180.6178,3682802.015,28.61083721
184,1988,8.852081582,334195.6178,3682802.015,28.62360286
185,1989,8.839672702,334210.6178,3682802.015,28.63908563
186,1990,8.824463104,334225.6178,3682802.015,28.65931466
187,1998,8.78868892,334345.6178,3682802.015,28.9909825
188,1999,8.789153486,334360.6178,3682802.015,28.99442529
189,2000,8.785839694,334375.6178,3682802.015,28.97291481
190,2001,8.779368328,334390.6178,3682802.015,28.92999188
191,2002,8.771307917,334405.6178,3682802.015,28.87383953
192,2003,8.763179224,334420.6178,3682802.015,28.81405597
193,2004,8.755685844,334435.6178,3682802.015,28.75817601
194,2144,8.4472515,333520.6178,3682817.015,28.48756081
195,2145,8.476011242,333535.6178,3682817.015,28.51379997
196,2146,8.501601811,333550.6178,3682817.015,28.5369056
197,2147,8.523007864,333565.6178,3682817.015,28.55576492
198,2148,8.539391245,333580.6178,3682817.015,28.56935982
199,2149,8.550279343,333595.6178,3682817.015,28.57695239
200,2150,8.555734968,333610.6178,3682817.015,28.57827114
201,2151,8.556449894,333625.6178,3682817.015,28.57364155
202,2152,8.5537167,333640.6178,3682817.015,28.56400964
203,2153,8.549271733,333655.6178,3682817.015,28.55083828
204,2154,8.545048769,333670.6178,3682817.015,28.53590182
205,2155,8.542912117,333685.6178,3682817.015,28.52103847
206,2156,8.544434516,333700.6178,3682817.015,28.50792533
207,2157,8.550755576,333715.6178,3682817.015,28.49791866
