"","Temp","long","lat"
"141",29.4166601372819,333625.6178,3682667.015
"142",29.4213473295937,333640.6178,3682667.015
"341",29.4359217156168,333610.6178,3682682.015
"342",29.4411416823947,333625.6178,3682682.015
"343",29.4451516830797,333640.6178,3682682.015
"344",29.448185760949,333655.6178,3682682.015
"540",29.4484501707505,333580.6178,3682697.015
"541",29.4565149589513,333595.6178,3682697.015
"542",29.462762102328,333610.6178,3682697.015
"543",29.4673549577103,333625.6178,3682697.015
"544",29.4705290522378,333640.6178,3682697.015
"545",29.4725771295192,333655.6178,3682697.015
"546",29.4738279326288,333670.6178,3682697.015
"740",29.4677321532913,333565.6178,3682712.015
"741",29.4779525395795,333580.6178,3682712.015
"742",29.4859189159194,333595.6178,3682712.015
"743",29.4917189820755,333610.6178,3682712.015
"744",29.4955457284296,333625.6178,3682712.015
"745",29.4976891671527,333640.6178,3682712.015
"746",29.4985170926669,333655.6178,3682712.015
"747",29.4984468110717,333670.6178,3682712.015
"748",29.4979112876828,333685.6178,3682712.015
"749",29.4973239344005,333700.6178,3682712.015
"940",29.4861642483177,333550.6178,3682727.015
"941",29.4993787175273,333565.6178,3682727.015
"942",29.509949376547,333580.6178,3682727.015
"943",29.5178288319917,333595.6178,3682727.015
"944",29.5231032378695,333610.6178,3682727.015
"945",29.525998962102,333625.6178,3682727.015
"946",29.5268735933241,333640.6178,3682727.015
"947",29.5261910834589,333655.6178,3682727.015
"948",29.5244837775846,333670.6178,3682727.015
"949",29.522306449284,333685.6178,3682727.015
"950",29.5201885859248,333700.6178,3682727.015
"951",29.5185908780315,333715.6178,3682727.015
"952",29.5178704852778,333730.6178,3682727.015
"1141",29.5195185553322,333550.6178,3682742.015
"1142",29.533714131656,333565.6178,3682742.015
"1143",29.5447746537638,333580.6178,3682742.015
"1144",29.552601007772,333595.6178,3682742.015
"1145",29.5572683773469,333610.6178,3682742.015
"1146",29.5590395291489,333625.6178,3682742.015
"1147",29.5583556946507,333640.6178,3682742.015
"1148",29.5558042791339,333655.6178,3682742.015
"1149",29.5520673784163,333670.6178,3682742.015
"1150",29.5478588636466,333685.6178,3682742.015
"1151",29.5438594421222,333700.6178,3682742.015
"1152",29.5406583528891,333715.6178,3682742.015
"1153",29.5387078726366,333730.6178,3682742.015
"1154",29.5382937456745,333745.6178,3682742.015
"1155",29.539522075969,333760.6178,3682742.015
"1342",29.5555533835957,333550.6178,3682757.015
"1343",29.5710317210564,333565.6178,3682757.015
"1344",29.5827810527785,333580.6178,3682757.015
"1345",29.5906222718507,333595.6178,3682757.015
"1346",29.5946039456655,333610.6178,3682757.015
"1347",29.5950266177536,333625.6178,3682757.015
"1348",29.5924347884646,333640.6178,3682757.015
"1349",29.5875746780687,333655.6178,3682757.015
"1350",29.5813236465823,333670.6178,3682757.015
"1351",29.5746032953602,333685.6178,3682757.015
"1352",29.5682906903286,333700.6178,3682757.015
"1353",29.5631404376072,333715.6178,3682757.015
"1354",29.559725857374,333730.6178,3682757.015
"1355",29.5584024022309,333745.6178,3682757.015
"1356",29.5592925905679,333760.6178,3682757.015
"1357",29.5622899103304,333775.6178,3682757.015
"1358",29.5670791863493,333790.6178,3682757.015
"1359",29.5731719033334,333805.6178,3682757.015
"1360",29.5799558144044,333820.6178,3682757.015
"1542",29.5733617814253,333535.6178,3682772.015
"1543",29.5944392232865,333550.6178,3682772.015
"1544",29.6115972969122,333565.6178,3682772.015
"1545",29.6243133533272,333580.6178,3682772.015
"1546",29.6322871913311,333595.6178,3682772.015
"1547",29.6355158332887,333610.6178,3682772.015
"1548",29.6343359076385,333625.6178,3682772.015
"1549",29.629419031875,333640.6178,3682772.015
"1550",29.6217161028387,333655.6178,3682772.015
"1551",29.6123593303555,333670.6178,3682772.015
"1552",29.6025410382329,333685.6178,3682772.015
"1553",29.5933917857433,333700.6178,3682772.015
"1554",29.5858767013354,333715.6178,3682772.015
"1555",29.5807208176821,333730.6178,3682772.015
"1556",29.5783656915923,333745.6178,3682772.015
"1557",29.5789538028597,333760.6178,3682772.015
"1558",29.5823352776581,333775.6178,3682772.015
"1559",29.5880927068796,333790.6178,3682772.015
"1560",29.5955825709921,333805.6178,3682772.015
"1561",29.6039941448806,333820.6178,3682772.015
"1562",29.612427103782,333835.6178,3682772.015
"1563",29.6199864165471,333850.6178,3682772.015
"1600",30.2327703455227,334405.6178,3682772.015
"1601",30.1526512931654,334420.6178,3682772.015
"1743",29.6123589677624,333535.6178,3682787.015
"1744",29.6362461321467,333550.6178,3682787.015
"1745",29.6555964091492,333565.6178,3682787.015
"1746",29.6696581561292,333580.6178,3682787.015
"1747",29.6779514220013,333595.6178,3682787.015
"1748",29.6803833047736,333610.6178,3682787.015
"1749",29.6773196643918,333625.6178,3682787.015
"1750",29.6695880340028,333640.6178,3682787.015
"1751",29.6584034247192,333655.6178,3682787.015
"1752",29.6452305472182,333670.6178,3682787.015
"1753",29.6316131071054,333685.6178,3682787.015
"1754",29.6190059212851,333700.6178,3682787.015
"1755",29.6086380442272,333715.6178,3682787.015
"1756",29.6014205129028,333730.6178,3682787.015
"1757",29.5978982322777,333745.6178,3682787.015
"1758",29.598237063728,333760.6178,3682787.015
"1759",29.6022355773743,333775.6178,3682787.015
"1760",29.6093544878091,333790.6178,3682787.015
"1761",29.6187625954974,333805.6178,3682787.015
"1762",29.6294031242151,333820.6178,3682787.015
"1763",29.6400860956337,333835.6178,3682787.015
"1764",29.6496089851893,333850.6178,3682787.015
"1765",29.6568990740482,333865.6178,3682787.015
"1766",29.6611589824413,333880.6178,3682787.015
