"x1","x2"
325925.65112294,3690152.36590087
325691.203409832,3690190.56382935
325882.930666679,3690196.68220616
325720.167244132,3690234.86704417
325768.099058344,3690260.32734954
325863.962686767,3690244.61402037
325911.894500979,3690248.22952929
325746.041987253,3690282.79885838
325793.973801465,3690308.25916375
325841.905615677,3690274.38724689
325889.837429889,3690292.54583458
325794.672928189,3690356.19097796
325842.604742401,3690322.3190611
325788.077101706,3690404.12279218
325836.008915918,3690370.25087532
325795.558747794,3690452.05460639
325843.490562005,3690418.18268953
325789.296350707,3690499.9864206
325837.228164919,3690466.11450374
325829.341591866,3690514.04631795
