"x","y","z"
-88.872461,33.339557,0
-88.872411,33.339459,0
-88.872288,33.339334,0
-88.872237,33.33917,0
-88.872274,33.339074,0
-88.872311,33.338944,0
-88.872223,33.338543,0
-88.872196,33.338331,0
-88.872227,33.338093,0
-88.872264,33.337926,0
-88.872435,33.337754,0
-88.872606,33.337688,0
-88.872815,33.337633,0
-88.872855,33.337608,0
-88.872987,33.337608,0
-88.873131,33.337563,0
-88.873106,33.337486,0
-88.872997,33.337414,0
-88.873008,33.337325,0
-88.87305,33.337202,0
-88.873017,33.337135,0
-88.873003,33.337051,0
-88.873097,33.337029,0
-88.873229,33.336844,0
-88.873313,33.336701,0
-88.873387,33.336662,0
-88.873417,33.336561,0
-88.87334,33.336557,0
-88.873239,33.33658,0
-88.873054,33.33665,0
-88.872915,33.336774,0
-88.872858,33.336852,0
-88.872734,33.336952,0
-88.872584,33.337042,0
-88.872498,33.337073,0
-88.872334,33.337126,0
-88.872225,33.337202,0
-88.872105,33.337277,0
-88.871908,33.337478,0
-88.871611,33.337591,0
-88.871532,33.337577,0
-88.871433,33.33747,0
-88.871302,33.33738,0
-88.871244,33.33723,0
-88.871128,33.336948,0
-88.871031,33.336853,0
-88.870821,33.336584,0
-88.870666,33.336409,0
-88.870546,33.336306,0
-88.870362,33.33615,0
-88.870212,33.336063,0
-88.870067,33.33592,0
-88.870074,33.336005,0
-88.870156,33.336205,0
-88.870155,33.336228,0
-88.87016,33.336255,0
-88.870178,33.336283,0
-88.870183,33.336306,0
-88.870195,33.336329,0
-88.870193,33.336363,0
-88.870198,33.336397,0
-88.870209,33.336432,0
-88.870215,33.336449,0
-88.870227,33.336461,0
-88.870246,33.336484,0
-88.870257,33.336513,0
-88.870276,33.336531,0
-88.870301,33.336543,0
-88.870339,33.336555,0
-88.870358,33.336567,0
-88.870384,33.336578,0
-88.870409,33.33659,0
-88.870435,33.336602,0
-88.87046,33.33662,0
-88.870486,33.336626,0
-88.870505,33.336638,0
-88.870525,33.336662,0
-88.870524,33.336693,0
-88.870498,33.336723,0
-88.870472,33.336748,0
-88.870458,33.336766,0
-88.870451,33.336785,0
-88.870445,33.33681,0
-88.870431,33.336828,0
-88.870417,33.33686,0
-88.870403,33.336898,0
-88.870403,33.336917,0
-88.870403,33.336942,0
-88.870409,33.336974,0
-88.870422,33.337,0
-88.870421,33.337019,0
-88.870441,33.337045,0
-88.870447,33.337071,0
-88.87046,33.337097,0
-88.870467,33.33713,0
-88.87048,33.33717,0
-88.870486,33.337203,0
-88.870506,33.33723,0
-88.87052,33.33725,0
-88.87054,33.337277,0
-88.870554,33.337305,0
-88.870574,33.337339,0
-88.870595,33.337366,0
-88.870623,33.337408,0
-88.87063,33.337422,0
-88.870658,33.337456,0
-88.870672,33.33747,0
-88.870686,33.337499,0
-88.870707,33.337527,0
-88.870721,33.337555,0
-88.870743,33.337598,0
-88.870758,33.337641,0
-88.870765,33.33767,0
-88.870773,33.337707,0
-88.870788,33.337736,0
-88.870795,33.337766,0
-88.870796,33.337795,0
-88.87081,33.337818,0
-88.870818,33.337848,0
-88.870874,33.337972,0
-88.870983,33.338131,0
-88.871067,33.338225,0
-88.871121,33.338385,0
-88.871147,33.338532,0
-88.871158,33.338658,0
-88.871183,33.338702,0
-88.87117,33.338746,0
-88.871144,33.338798,0
-88.871125,33.338865,0
-88.871125,33.338873,0
-88.871131,33.338945,0
-88.871128,33.339041,0
-88.87111,33.339108,0
-88.871016,33.339157,0
-88.870983,33.339238,0
-88.871006,33.339345,0
-88.871045,33.339502,0
-88.871077,33.339523,0
-88.87109,33.339573,0
-88.87112,33.339641,0
-88.871135,33.339749,0
-88.87113,33.339855,0
-88.871179,33.339973,0
-88.87243,33.339655,0
-88.872461,33.339557,0
