x,y
334349.1492,3680685.193
334680.4289,3680854.438
334391.4033,3681016.472
334722.683,3681185.718
334247.9687,3681527.016
334579.2484,3681347.752
333893.3657,3681651.575
334224.6454,3681858.296
333666.5496,3682059.73
333997.8293,3681982.854
