x,y
-88.787,33.271
-88.786,33.271
-88.785,33.271
-88.787,33.272
-88.786,33.272
-88.785,33.272
-88.784,33.272
-88.783,33.272
-88.782,33.272
-88.781,33.272
-88.78,33.272
-88.779,33.272
-88.778,33.272
-88.789,33.273
-88.788,33.273
-88.787,33.273
-88.786,33.273
-88.785,33.273
-88.784,33.273
-88.783,33.273
-88.782,33.273
-88.781,33.273
-88.78,33.273
-88.779,33.273
-88.778,33.273
-88.777,33.273
-88.79,33.274
-88.789,33.274
-88.788,33.274
-88.787,33.274
-88.786,33.274
-88.785,33.274
-88.784,33.274
-88.783,33.274
-88.782,33.274
-88.781,33.274
-88.78,33.274
-88.779,33.274
-88.778,33.274
-88.777,33.274
-88.791,33.275
-88.79,33.275
-88.789,33.275
-88.788,33.275
-88.787,33.275
-88.786,33.275
-88.785,33.275
-88.784,33.275
-88.783,33.275
-88.782,33.275
-88.781,33.275
-88.78,33.275
-88.779,33.275
-88.778,33.275
-88.777,33.275
-88.79,33.276
-88.789,33.276
-88.788,33.276
-88.787,33.276
-88.786,33.276
-88.785,33.276
-88.784,33.276
-88.783,33.276
-88.782,33.276
-88.781,33.276
-88.78,33.276
-88.779,33.276
-88.778,33.276
-88.789,33.277
-88.788,33.277
-88.787,33.277
-88.786,33.277
-88.785,33.277
-88.784,33.277
-88.783,33.277
-88.782,33.277
-88.781,33.277
-88.78,33.277
-88.779,33.277
-88.778,33.277
-88.788,33.278
-88.787,33.278
-88.786,33.278
-88.785,33.278
-88.784,33.278
-88.783,33.278
-88.782,33.278
-88.781,33.278
-88.78,33.278
-88.779,33.278
-88.778,33.278
-88.788,33.279
-88.787,33.279
-88.786,33.279
-88.785,33.279
-88.784,33.279
-88.783,33.279
-88.782,33.279
-88.781,33.279
-88.78,33.279
-88.779,33.279
-88.778,33.279
-88.788,33.28
-88.787,33.28
-88.786,33.28
-88.785,33.28
-88.784,33.28
-88.783,33.28
-88.782,33.28
-88.781,33.28
-88.78,33.28
-88.779,33.28
-88.789,33.281
-88.788,33.281
-88.787,33.281
-88.786,33.281
-88.785,33.281
-88.784,33.281
-88.783,33.281
-88.782,33.281
-88.781,33.281
-88.78,33.281
-88.779,33.281
-88.789,33.282
-88.788,33.282
-88.787,33.282
-88.786,33.282
-88.785,33.282
-88.784,33.282
-88.783,33.282
-88.782,33.282
-88.781,33.282
-88.785,33.283
-88.784,33.283
-88.783,33.283
-88.782,33.283
-88.781,33.283
-88.78,33.283
-88.783,33.284
-88.782,33.284
-88.781,33.284
-88.78,33.284
-88.783,33.285
-88.782,33.285
-88.781,33.285
-88.78,33.285
-88.782,33.286
-88.781,33.286
-88.78,33.286
-88.782,33.287
