Longitude,Latitude,ElevationBottom
-88.7793947759133,33.4457109540363,-1.2
-88.7793998624998,33.445690721365,-1.4
-88.7794042650368,33.4456781744838,-1.4
-88.7794064339494,33.4456669599671,-1.4
-88.7794086311658,33.4456546756433,-1.6
-88.7794108084647,33.4456435674093,-1.6
-88.7794130073467,33.4456328459647,-1.6
-88.7794155025687,33.4456224073238,-1.6
-88.7794180062491,33.4456133641464,-1.6
-88.7794205220129,33.4456035992866,-1.7
-88.7794232778806,33.4455943180428,-1.9
-88.7794262905554,33.4455850471864,-1.9
-88.7794293003236,33.4455740074935,-2
-88.7794326150529,33.4455596594901,-2.1
-88.7794361731078,33.4455467044368,-2.2
-88.7794397178211,33.4455342662418,-2.3
-88.7794413180712,33.4455230851139,-2.3
-88.7794429214226,33.4455119706164,-2.4
-88.779444524774,33.445501671506,-2.4
-88.7794461506095,33.445492719351,-2.4
-88.7794477531855,33.4454816691893,-2.4
-88.7794490936964,33.4454681531495,-2.4
-88.7794500715803,33.4454526322171,-2.4
-88.779451051832,33.4454381772303,-2.4
-88.7794520458167,33.4454227403094,-2.3
-88.7794530241742,33.4454097271371,-2.3
-88.7794540072672,33.4453967353133,-2.3
-88.7794549860983,33.4453863494056,-2.2
-88.7794559672971,33.4453757680006,-2.3
-88.7794569551256,33.4453659344494,-2.2
-88.7794580457782,33.4453562360042,-2.2
-88.7794594130412,33.4453476259421,-2.1
-88.779460779645,33.445338960687,-2.1
-88.7794621462488,33.4453302783664,-2.1
-88.7794635161487,33.4453201462099,-2
-88.7794648801155,33.445306255756,-2
-88.7794662480378,33.4452906231169,-2.1
-88.77946952298,33.4452750139525,-2.1
-88.7794735877456,33.4452625902662,-2.2
-88.7794778576931,33.4452513844161,-2.2
-88.7794822944112,33.4452402068959,-2.2
-88.7794886465702,33.4452258267366,-2.3
-88.7794957019136,33.445214720666,-2.3
-88.7795008321012,33.4452051451534,-2.4
-88.7795058279712,33.4451973411853,-2.5
-88.7795107597041,33.4451898543577,-2.5
-88.7795156485173,33.4451834853176,-2.6
-88.7795205351034,33.4451774601694,-2.6
-88.7795244277741,33.4451714104151,-2.6
-88.7795282794104,33.4451651537242,-2.7
-88.7795321470601,33.4451588384779,-2.7
-88.7795360077605,33.445152897769,-2.7
-88.7795400153034,33.4451473579683,-2.8
-88.779544289891,33.4451414125777,-2.8
-88.7795492533082,33.4451340021364,-2.9
-88.7795563393957,33.445122167991,-3
-88.7795648431009,33.4451082646397,-3
-88.7795720550072,33.4450959876107,-3.1
-88.7795802180608,33.4450847250203,-3.1
-88.7795872982619,33.445073624614,-3.1
-88.7795933891396,33.4450634891545,-3.1
-88.7795988484451,33.4450539243351,-3.1
-88.7796032905805,33.4450453354146,-3.1
-88.7796068534655,33.4450366605687,-3.1
-88.7796104093349,33.4450279644336,-3.1
-88.7796129962011,33.4450184769933,-3.1
-88.7796155793183,33.4450105998694,-3
-88.7796181936778,33.4450028563173,-3.1
-88.7796219236662,33.4449968299907,-3
-88.7796265749102,33.4449917391224,-3
-88.7796322083787,33.4449867977683,-2.9
-88.7796382852464,33.4449815890183,-2.9
-88.7796437530373,33.4449768731188,-2.8
-88.7796496179291,33.4449723852189,-2.8
-88.7796556211466,33.4449684805384,-2.8
-88.779659495493,33.4449645768976,-2.8
-88.7796633660997,33.4449606670404,-2.7
-88.7796668934967,33.4449568757119,-2.7
-88.7796703585041,33.4449533166003,-2.6
-88.7796739478111,33.4449498104078,-2.6
-88.779678366562,33.4449464033761,-2.5
-88.7796828263877,33.4449429436244,-2.5
-88.7796870469748,33.4449390991244,-2.5
-88.7796912807791,33.4449352228835,-2.4
-88.7796953401816,33.4449313170843,-2.4
-88.7796993956656,33.4449272984729,-2.3
-88.7797020560573,33.4449220874104,-2.3
-88.7797043729691,33.4449175953198,-2.3
-88.7797067280101,33.444913430313,-2.3
-88.7797090482862,33.4449102436421,-2.3
-88.7797119250726,33.4449072538818,-2.3
-88.7797148378433,33.444903458186,-2.2
-88.7797177421834,33.4448978427389,-2.1
-88.779724770684,33.4448881385962,-2
-88.779733615039,33.4448759913233,-1.9
-88.7797429383802,33.4448630512719,-1.5
-88.7797522417957,33.44485132498,-1.5
-88.7797623394111,33.4448383289291,-1.6
-88.7797741876946,33.4448249044253,-1.6
-88.7797886207443,33.4448148009094,-1.6
-88.7798040675411,33.4448095921699,-1.6
-88.7798211772154,33.444808236407,-1.5
-88.7798381908206,33.4448099271147,-1.4
-88.7798541221012,33.4448116235591,-1.3
-88.779872039295,33.4448133183645,-1.3
-88.7798853400629,33.4448161083617,-1.4
-88.7798950646053,33.4448268884228,-1.6
-88.7798966892229,33.4448398930771,-1.8
-88.7798950340753,33.4448527583159,-1.9
-88.7798933781269,33.4448612379238,-1.9
-88.7798917261823,33.4448688920941,-2
-88.7798900726362,33.4448761202321,-2.1
-88.7798882159885,33.4448853646976,-2.1
-88.7798857746126,33.4448966253391,-2.2
-88.7798833367784,33.4449115738601,-2
-88.7798808930415,33.4449271948294,-1.9
-88.7798811116385,33.4449414231714,-2
-88.7798833275744,33.444957006224,-2.3
-88.7798855445829,33.4449740588372,-2.6
-88.7798877594462,33.4449910682383,-2.4
-88.7798898272366,33.4450046607564,-2.1
-88.7798917752685,33.4450178912112,-2
-88.7798937083587,33.4450285723826,-2
-88.7798956367796,33.4450357267464,-2.1
-88.7798975708037,33.4450406327287,-2.1
-88.779900072403,33.4450442046546,-2.2
-88.7799026526351,33.4450477482195,-2.2
-88.7799052328672,33.4450530162067,-2.3
-88.7799087171543,33.4450600945804,-2.4
-88.7799136016252,33.4450702510833,-2.5
