"","month","day","mUtility","mWFUt","mWBUt","mFishUt","mAngUt","mRampUt"
"1",1,1,1.6918398951287,0.538866357040155,0.67034909402797,0.0540759616081848,0.18083790679914,0.676259058105632
"2",1,8,1.72362748898512,0.560762926154251,0.659318124508796,0.103625234118581,0.20484494418716,0.594997464219815
"3",1,15,1.78892125546046,0.658988532928218,0.729633347632136,0.0960554404816375,0.174114667290788,0.434373201546157
"4",1,22,1.79580883814055,0.658780366930042,0.71738389206535,0.118225579140824,0.187266506646542,0.415571493362127
"5",1,29,1.76592191495224,0.619444316137642,0.681447005235654,0.129547748319757,0.203417995842907,0.467547694675476
"6",2,1,1.68506566917039,0.530106427195586,0.649331554482233,0.0800200293974588,0.199453900915501,0.65176141527472
"7",2,8,1.72684351121084,0.570640446618876,0.649748576477787,0.132200332044002,0.220479652976756,0.528028659163598
"8",2,15,1.74735432264727,0.584178071259168,0.651177970601466,0.152852099920885,0.230329687322024,0.487962674409483
"9",2,22,1.75540520964208,0.559836778451718,0.613471745484023,0.199971575046165,0.267905232167188,0.496344989153171
"10",2,29,1.87248353035161,0.775473723493337,0.827755613361597,0.0713670608879025,0.130101388196902,0.265672877020642
"11",3,1,1.71042103223009,0.535364939730353,0.629754919081528,0.128801091547094,0.229554677243462,0.603445486498773
"12",3,8,1.71696954834951,0.554738149768335,0.628753735449122,0.143296038422947,0.233117124638305,0.547246124779913
"13",3,15,1.7527233478782,0.579427549727875,0.635055433930199,0.175611328665329,0.244386966406895,0.48087110470269
"14",3,22,1.79858249770364,0.635372149030662,0.68569866068573,0.162903344323151,0.219839052645132,0.40937763468307
"15",3,29,1.77413793623284,0.600570904421672,0.648021310922065,0.179762020814237,0.238952005241768,0.452615394907973
"16",4,1,1.70862415100264,0.580311539480397,0.701244379881839,0.0470055392854726,0.16660137671976,0.593524007990108
"17",4,8,1.74303210698839,0.629223667215726,0.704132676318699,0.090155605924666,0.177982270128313,0.461058044930292
"18",4,15,1.81231507551343,0.686583858775272,0.738718889087737,0.11328111141725,0.177009640580257,0.370452791886076
"19",4,22,1.80050999758209,0.691570536329337,0.74218981233458,0.100950555323357,0.165898560115535,0.365699627074087
"20",4,29,1.8275696659906,0.705923106555574,0.755610969528671,0.105686081973952,0.165692891924934,0.355006123939874
"21",5,1,1.70198533632286,0.541125371321886,0.675851864685726,0.049165201554975,0.175832729732727,0.695853067787822
"22",5,8,1.74625893897241,0.624416846301273,0.722485671231181,0.0642456616616365,0.163655610596249,0.506565908960397
"23",5,15,1.78200407873887,0.684708209380734,0.760811231313275,0.0701971208131283,0.153658707648732,0.378916326814727
"24",5,22,1.80737634355695,0.707143890761931,0.780914107651803,0.0613178462232996,0.141784671708946,0.374216326130887
"25",5,29,1.81769304501351,0.713671511705496,0.7908665679752,0.0625205997493536,0.141405224390581,0.359863506776336
"26",6,1,1.65693519716787,0.467051453958681,0.62028023937564,0.0433251116291099,0.187231375758371,0.865325408650503
"27",6,8,1.66360736499158,0.506731282531931,0.643068548474235,0.0529668061331646,0.185756777747174,0.735924677957332
"28",6,15,1.68032126221915,0.53469055459609,0.657643533961012,0.0661925598769776,0.188187056832657,0.655402170737485
"29",6,22,1.66155796141611,0.530085542596063,0.646208651136092,0.0662338576162127,0.18998121020813,0.648078609927356
"30",6,29,1.64410753543243,0.5106720584703,0.627226649936397,0.0743553948244214,0.199738774253633,0.663968090148999
"31",7,1,1.66648272734482,0.450688847077766,0.608201293781329,0.0488209810276601,0.193245555581916,0.924297655334206
"32",7,8,1.62254372285098,0.43918733398562,0.580581586832159,0.0633973935496694,0.203694065059996,0.875060751907071
"33",7,15,1.56322502978045,0.394201666428307,0.526426931740656,0.0861541752310423,0.230786650943548,0.882097861817346
"34",7,22,1.54116085236329,0.375505012870029,0.505266989635899,0.0938548100362307,0.241727168137884,0.891340911504381
"35",7,29,1.51345405760378,0.351711692159046,0.478696515048358,0.103223839942968,0.256127310111047,0.903516710795775
"36",8,1,1.68318410319959,0.47437737017753,0.631568925411305,0.0390128555947012,0.181671341892855,0.894778562139257
"37",8,8,1.67775044121244,0.49850318655723,0.645995812448493,0.0403129164431054,0.177974566041619,0.807902485485609
"38",8,15,1.63837900307598,0.476985557080077,0.617246552887857,0.0507340574869719,0.191059607935384,0.795766063306767
"39",8,22,1.61570042879193,0.462642755573092,0.601597255689544,0.0524986721763064,0.194985421229324,0.802938069476641
"40",8,29,1.60348700406927,0.449046609520654,0.585824425688007,0.057722223525701,0.202036692079778,0.819750798590037
"41",9,1,1.66263010670299,0.437194518728341,0.59357561564766,0.0525544807041979,0.19817371035849,0.960437272887096
"42",9,8,1.65888842581357,0.451538014862039,0.598022730319174,0.0646272398073065,0.203941578888449,0.885459302761643
"43",9,15,1.65454674517814,0.462819784545262,0.602874507105661,0.0609433580001227,0.197778799746599,0.858039391307591
"44",9,22,1.64052152929192,0.446474715639116,0.583953521694612,0.0723790282634095,0.210030049533604,0.86539847785597
"45",9,29,1.63304376994107,0.447759179717556,0.582107513275792,0.0727952286873348,0.210364692404039,0.850399004116734
"46",10,1,1.67634031940068,0.459280349700417,0.617271066932006,0.0406020413603001,0.186103505680719,0.932270217135191
"47",10,8,1.6641939051304,0.471901932651303,0.62439990775987,0.043530099301262,0.185735977818643,0.862987953017285
"48",10,15,1.6536902345128,0.473937565817926,0.617688322797452,0.0501268899098561,0.189769341616113,0.834105570359012
"49",10,22,1.65353121066489,0.479886006038417,0.62122114942894,0.0455824787197766,0.184216164683152,0.829466988272364
"50",10,29,1.63575709002264,0.47078115569375,0.607740864433412,0.0526132083092207,0.190474587575911,0.818769135596594
"51",11,1,1.65656165851746,0.443914131654466,0.600079522021761,0.0437558624008993,0.189738181047367,0.947886103833306
"52",11,8,1.6220564469385,0.436763339930816,0.582194338007759,0.0514259547979941,0.195515780245945,0.907829848157913
"53",11,15,1.59375678141089,0.42042387765869,0.557722561032587,0.0664070777680362,0.210448531112777,0.887957998790369
