"","Date","X","Discharge_cfs","Discharge_cms","year","month","day","DeltaCMS","meanCMS","DeltaVol","Date2","fishD","yr_month","volume"
"1",1945-01-01,NA,NA,NA,1945,1,1,NA,NA,-74829.947103447,1945-01-01,0,"1945-1",100762656
"2",1945-01-02,1,1900,53.8020093,1945,1,2,-3.96435858,53.8020093,-59107.5834987156,1945-01-02,0,"1945-1",100703548.416501
"3",1945-01-03,2,1500,42.4752705,1945,1,3,-11.3267388,42.4752705,-50418.6917994863,1945-01-03,0,"1945-1",100653129.724702
"4",1945-01-04,3,1200,33.9802164,1945,1,4,-8.4950541,33.9802164,-44052.0821236715,1945-01-04,0,"1945-1",100609077.642578
"5",1945-01-05,4,900,25.4851623,1945,1,5,-8.4950541,25.4851623,-39059.5516923735,1945-01-05,0,"1945-1",100570018.090886
"6",1945-01-06,5,700,19.8217929,1945,1,6,-5.6633694,19.8217929,-35023.273323158,1945-01-06,0,"1945-1",100534994.817563
"7",1945-01-07,17462,2500,70.7921175,1945,1,7,50.9703246,70.7921175,56472.5661106674,1945-01-07,0,"1945-1",100591467.383673
"8",1945-01-08,6,2400,67.9604328,1945,1,8,-2.83168470000001,67.9604328,-63081.2055763791,1945-01-08,0,"1945-1",100528386.178097
"9",1945-01-09,7,2300,65.1287481,1945,1,9,-2.8316847,65.1287481,-63449.8721529622,1945-01-09,0,"1945-1",100464936.305944
"10",1945-01-10,8,2000,56.633694,1945,1,10,-8.4950541,56.633694,-60829.4820240002,1945-01-10,0,"1945-1",100404106.82392
"11",1945-01-11,9,1500,42.4752705,1945,1,11,-14.1584235,42.4752705,-50418.6917994863,1945-01-11,0,"1945-1",100353688.13212
"12",1945-01-12,10,1000,28.316847,1945,1,12,-14.1584235,28.316847,-40661.172763427,1945-01-12,0,"1945-1",100313026.959357
"13",1945-01-13,11,560,15.85743432,1945,1,13,-12.45941268,15.85743432,-30649.3555022496,1945-01-13,0,"1945-1",100282377.603855
"14",1945-01-14,17463,640,18.12278208,1945,1,14,2.26534776,18.12278208,58216.7228051803,1945-01-14,0,"1945-1",100340594.32666
"15",1945-01-15,17464,750,21.23763525,1945,1,15,3.11485317,21.23763525,61489.9143707667,1945-01-15,0,"1945-1",100402084.241031
"16",1945-01-16,12,640,18.12278208,1945,1,16,-3.11485317,18.12278208,-33349.3319685343,1945-01-16,0,"1945-1",100368734.909062
"17",1945-01-17,13,500,14.1584235,1945,1,17,-3.96435858,14.1584235,-28230.5739776082,1945-01-17,0,"1945-1",100340504.335085
"18",1945-01-18,14,360,10.19406492,1945,1,18,-3.96435858,10.19406492,-21189.6431327375,1945-01-18,0,"1945-1",100319314.691952
"19",1945-01-19,17465,540,15.29109738,1945,1,19,5.09703246,15.29109738,52972.662186562,1945-01-19,0,"1945-1",100372287.354138
"20",1945-01-20,17466,650,18.40595055,1945,1,20,3.11485317,18.40595055,58619.3757961532,1945-01-20,0,"1945-1",100430906.729935
"21",1945-01-21,17467,900,25.4851623,1945,1,21,7.07921175,25.4851623,62360.4089702435,1945-01-21,0,"1945-1",100493267.138905
"22",1945-01-22,17468,1100,31.1485317,1945,1,22,5.6633694,31.1485317,59560.6249575577,1945-01-22,0,"1945-1",100552827.763862
"23",1945-01-23,15,900,25.4851623,1945,1,23,-5.6633694,25.4851623,-39059.5516923735,1945-01-23,0,"1945-1",100513768.21217
"24",1945-01-24,16,700,19.8217929,1945,1,24,-5.6633694,19.8217929,-35023.273323158,1945-01-24,0,"1945-1",100478744.938847
"25",1945-01-25,17,600,16.9901082,1945,1,25,-2.8316847,16.9901082,-32070.8072189566,1945-01-25,0,"1945-1",100446674.131628
"26",1945-01-26,18,500,14.1584235,1945,1,26,-2.8316847,14.1584235,-28230.5739776082,1945-01-26,0,"1945-1",100418443.55765
"27",1945-01-27,19,450,12.74258115,1945,1,27,-1.41584235,12.74258115,-25942.0914227811,1945-01-27,0,"1945-1",100392501.466227
"28",1945-01-28,20,360,10.19406492,1945,1,28,-2.54851623,10.19406492,-21189.6431327375,1945-01-28,0,"1945-1",100371311.823095
"29",1945-01-29,21,310,8.77822257,1945,1,29,-1.41584235,8.77822257,-18221.2729522324,1945-01-29,0,"1945-1",100353090.550143
"30",1945-01-30,22,260,7.36238022,1945,1,30,-1.41584235,7.36238022,-15058.3889467654,1945-01-30,0,"1945-1",100338032.161196
"31",1945-01-31,23,220,6.22970634,1945,1,31,-1.13267388,6.22970634,-12417.5757649135,1945-01-31,0,"1945-1",100325614.585431
"32",1945-02-01,24,200,5.6633694,1945,2,1,-0.56633694,5.6633694,-11068.9731146651,1945-02-01,0,"1945-2",100762656
"33",1945-02-02,25,180,5.09703246,1945,2,2,-0.56633694,5.09703246,-9705.86944998051,1945-02-02,0,"1945-2",100752950.13055
"34",1945-02-03,26,170,4.81386399,1945,2,3,-0.28316847,4.81386399,-9019.8760564705,1945-02-03,0,"1945-2",100743930.254494
"35",1945-02-04,27,165,4.672279755,1945,2,4,-0.141584235,4.672279755,-8675.94008605577,1945-02-04,0,"1945-2",100735254.314407
"36",1945-02-05,17469,500,14.1584235,1945,2,5,9.486143745,14.1584235,50242.6806609055,1945-02-05,0,"1945-2",100785496.995068
"37",1945-02-06,17470,2700,76.4554869,1945,2,6,62.2970634,76.4554869,74452.2462059677,1945-02-06,0,"1945-2",100859949.241274
"38",1945-02-07,28,2500,70.7921175,1945,2,7,-5.66336939999999,70.7921175,-61916.7640564038,1945-02-07,0,"1945-2",100798032.477218
"39",1945-02-08,29,2200,62.2970634,1945,2,8,-8.4950541,62.2970634,-63124.008936826,1945-02-08,0,"1945-2",100734908.468281
"40",1945-02-09,30,2000,56.633694,1945,2,9,-5.6633694,56.633694,-60829.4820240002,1945-02-09,0,"1945-2",100674078.986257
"41",1945-02-10,31,1250,35.39605875,1945,2,10,-21.23763525,35.39605875,-45006.8848503526,1945-02-10,0,"1945-2",100629072.101407
"42",1945-02-11,32,825,23.361398775,1945,2,11,-12.034659975,23.361398775,-37749.9112860445,1945-02-11,0,"1945-2",100591322.190121
"43",1945-02-12,17471,1200,33.9802164,1945,2,12,10.618817625,33.9802164,57535.205512241,1945-02-12,0,"1945-2",100648857.395633
"44",1945-02-13,17472,4550,128.84165385,1945,2,13,94.86143745,128.84165385,171381.151779028,1945-02-13,0,"1945-2",100820238.547412
"45",1945-02-14,17473,4990,141.30106653,1945,2,14,12.45941268,141.30106653,138635.618044595,1945-02-14,0,"1945-2",100958874.165457
"46",1945-02-15,17474,5300,150.0792891,1945,2,15,8.77822257,150.0792891,143301.645713389,1945-02-15,0,"1945-2",101102175.81117
"47",1945-02-16,33,4640,131.39017008,1945,2,16,-18.68911902,131.39017008,-96377.3968580343,1945-02-16,0,"1945-2",101005798.414312
"48",1945-02-17,34,4370,123.74462139,1945,2,17,-7.64554869,123.74462139,-74207.0276443229,1945-02-17,0,"1945-2",100931591.386668
"49",1945-02-18,17475,5370,152.06146839,1945,2,18,28.316847,152.06146839,149664.031416607,1945-02-18,0,"1945-2",101081255.418084
"50",1945-02-19,17476,6910,195.66941277,1945,2,19,43.60794438,195.66941277,394059.702028058,1945-02-19,0,"1945-2",101475315.120112
"51",1945-02-20,17477,8350,236.44567245,1945,2,20,40.77625968,236.44567245,193149.917157683,1945-02-20,0,"1945-2",101668465.03727
"52",1945-02-21,17478,15400,436.0794438,1945,2,21,199.63377135,436.0794438,-862942.122846269,1945-02-21,0,"1945-2",100805522.914424
"53",1945-02-22,17479,15500,438.9111285,1945,2,22,2.83168469999998,438.9111285,-877922.1517825,1945-02-22,0,"1945-2",99927600.7626412
"54",1945-02-23,35,14800,419.0893356,1945,2,23,-19.8217929,419.0893356,-361588.674020098,1945-02-23,0,"1945-2",99566012.0886211
"55",1945-02-24,36,13600,385.1091192,1945,2,24,-33.9802164,385.1091192,-337170.492027576,1945-02-24,0,"1945-2",99228841.5965935
"56",1945-02-25,37,10400,294.4952088,1945,2,25,-90.6139104,294.4952088,-272055.340047312,1945-02-25,0,"1945-2",98956786.2565462
"57",1945-02-26,38,7410,209.82783627,1945,2,26,-84.66737253,209.82783627,-211213.36991579,1945-02-26,0,"1945-2",98745572.8866304
"58",1945-02-27,39,5900,167.0693973,1945,2,27,-42.75843897,167.0693973,-175309.934184595,1945-02-27,0,"1945-2",98570262.9524458
"59",1945-02-28,40,4990,141.30106653,1945,2,28,-25.76833077,141.30106653,-123715.977937134,1945-02-28,0,"1945-2",98446546.9745087
"60",1945-03-01,41,4280,121.19610516,1945,3,1,-20.10496137,121.19610516,-66962.9809916348,1945-03-01,0,"1945-3",100762656
"61",1945-03-02,42,3040,86.08321488,1945,3,2,-35.11289028,86.08321488,-42948.8159409331,1945-03-02,0,"1945-3",100719707.184059
"62",1945-03-03,43,1780,50.40398766,1945,3,3,-35.67922722,50.40398766,-56713.5726601706,1945-03-03,0,"1945-3",100662993.611399
"63",1945-03-04,17480,3400,96.2772798,1945,3,4,45.87329214,96.2772798,160696.063743653,1945-03-04,0,"1945-3",100823689.675143
"64",1945-03-05,17481,3820,108.17035554,1945,3,5,11.89307574,108.17035554,193062.14138146,1945-03-05,0,"1945-3",101016751.816524
"65",1945-03-06,17482,3880,109.86936636,1945,3,6,1.69901082,109.86936636,194900.137093914,1945-03-06,0,"1945-3",101211651.953618
"66",1945-03-07,44,3570,101.09114379,1945,3,7,-8.77822257,101.09114379,-31960.5053123974,1945-03-07,0,"1945-3",101179691.448306
"67",1945-03-08,45,3310,93.72876357,1945,3,8,-7.36238022000001,93.72876357,-33867.7691536374,1945-03-08,0,"1945-3",101145823.679152
"68",1945-03-09,17483,3340,94.57826898,1945,3,9,0.849505410000006,94.57826898,153811.256498265,1945-03-09,0,"1945-3",101299634.93565
"69",1945-03-10,46,3230,91.46341581,1945,3,10,-3.11485317,91.46341581,-35985.4935857515,1945-03-10,0,"1945-3",101263649.442064
"70",1945-03-11,47,2480,70.22578056,1945,3,11,-21.23763525,70.22578056,-62218.174123103,1945-03-11,0,"1945-3",101201431.267941
"71",1945-03-12,48,1040,29.44952088,1945,3,12,-40.77625968,29.44952088,-41299.8708399075,1945-03-12,0,"1945-3",101160131.397101
"72",1945-03-13,49,970,27.46734159,1945,3,13,-1.98217929,27.46734159,-40185.7973968972,1945-03-13,0,"1945-3",101119945.599704
"73",1945-03-14,NA,NA,NA,1945,3,14,NA,NA,-39636.7867672827,1945-03-14,0,"1945-3",101080308.812937
"74",1945-03-15,50,685,19.397040195,1945,3,15,-8.070301395,19.397040195,-34630.4714436838,1945-03-15,0,"1945-3",101045678.341494
"75",1945-03-16,51,594,16.820207118,1945,3,16,-2.576833077,16.820207118,-31866.9446527596,1945-03-16,0,"1945-3",101013811.396841
"76",1945-03-17,52,555,15.715850085,1945,3,17,-1.104357033,15.715850085,-30461.1462934495,1945-03-17,0,"1945-3",100983350.250547
"77",1945-03-18,17484,1920,54.36834624,1945,3,18,38.652496155,54.36834624,44830.834961729,1945-03-18,0,"1945-3",101028181.085509
"78",1945-03-19,17485,2790,79.00400313,1945,3,19,24.63565689,79.00400313,84460.9404909348,1945-03-19,0,"1945-3",101112642.026
"79",1945-03-20,17486,3120,88.34856264,1945,3,20,9.34455951,88.34856264,126205.901957814,1945-03-20,0,"1945-3",101238847.927958
"80",1945-03-21,17487,3230,91.46341581,1945,3,21,3.11485317,91.46341581,140349.368886982,1945-03-21,0,"1945-3",101379197.296845
"81",1945-03-22,17488,3260,92.31292122,1945,3,22,0.849505409999992,92.31292122,144108.477225172,1945-03-22,0,"1945-3",101523305.77407
"82",1945-03-23,17489,3290,93.16242663,1945,3,23,0.849505410000006,93.16242663,147807.203426934,1945-03-23,0,"1945-3",101671112.977497
"83",1945-03-24,53,3200,90.6139104,1945,3,24,-2.54851623,90.6139104,-36926.3308905858,1945-03-24,0,"1945-3",101634186.646606
"84",1945-03-25,54,3100,87.7822257,1945,3,25,-2.8316847,87.7822257,-40525.0361402619,1945-03-25,0,"1945-3",101593661.610466
"85",1945-03-26,17490,3400,96.2772798,1945,3,26,8.4950541,96.2772798,160696.063743653,1945-03-26,0,"1945-3",101754357.67421
"86",1945-03-27,55,3310,93.72876357,1945,3,27,-2.54851623,93.72876357,-33867.7691536374,1945-03-27,0,"1945-3",101720489.905056
"87",1945-03-28,56,2840,80.41984548,1945,3,28,-13.30891809,80.41984548,-51526.4961055078,1945-03-28,0,"1945-3",101668963.40895
"88",1945-03-29,57,2330,65.97825351,1945,3,29,-14.44159197,65.97825351,-63416.8044625782,1945-03-29,0,"1945-3",101605546.604488
"89",1945-03-30,17491,2460,69.65944362,1945,3,30,3.68119011,69.65944362,53771.1018638811,1945-03-30,0,"1945-3",101659317.706352
"90",1945-03-31,17492,2730,77.30499231,1945,3,31,7.64554869,77.30499231,77680.9664328795,1945-03-31,0,"1945-3",101736998.672785
"91",1945-04-01,17493,2760,78.15449772,1945,4,1,0.849505409999992,78.15449772,81020.4265792363,1945-04-01,0,"1945-4",100762656
"92",1945-04-02,17494,3430,97.12678521,1945,4,2,18.97228749,97.12678521,163984.934160018,1945-04-02,0,"1945-4",100926640.93416
"93",1945-04-03,58,3180,90.04757346,1945,4,3,-7.07921175,90.04757346,-37592.5174071286,1945-04-03,0,"1945-4",100889048.416753
"94",1945-04-04,59,2610,73.90697067,1945,4,4,-16.14060279,73.90697067,-59603.0243382897,1945-04-04,0,"1945-4",100829445.392415
"95",1945-04-05,60,2200,62.2970634,1945,4,5,-11.60990727,62.2970634,-63124.008936826,1945-04-05,0,"1945-4",100766321.383478
"96",1945-04-06,17495,2250,63.71290575,1945,4,6,1.41584235,63.71290575,45043.6755059447,1945-04-06,0,"1945-4",100811365.058984
"97",1945-04-07,17496,2350,66.54459045,1945,4,7,2.8316847,66.54459045,48098.6599234574,1945-04-07,0,"1945-4",100859463.718907
"98",1945-04-08,61,2170,61.44755799,1945,4,8,-5.09703246,61.44755799,-62906.0254805944,1945-04-08,0,"1945-4",100796557.693427
"99",1945-04-09,62,1140,32.28120558,1945,4,9,-29.16635241,32.28120558,-42972.0279126252,1945-04-09,0,"1945-4",100753585.665514
"100",1945-04-10,63,530,15.00792891,1945,4,10,-17.27327667,15.00792891,-29483.9532406952,1945-04-10,0,"1945-4",100724101.712273
"101",1945-04-11,64,417,11.808125199,1945,4,11,-3.199803711,11.808125199,-24293.193244954,1945-04-11,0,"1945-4",100699808.519028
"102",1945-04-12,65,358,10.137431226,1945,4,12,-1.670693973,10.137431226,-21075.1066705346,1945-04-12,0,"1945-4",100678733.412358
"103",1945-04-13,66,316,8.948123652,1945,4,13,-1.189307574,8.948123652,-18588.5186319403,1945-04-13,0,"1945-4",100660144.893726
"104",1945-04-14,67,279,7.900400313,1945,4,14,-1.047723339,7.900400313,-16280.566057522,1945-04-14,0,"1945-4",100643864.327668
"105",1945-04-15,68,254,7.192479138,1945,4,15,-0.707921175,7.192479138,-14667.796036284,1945-04-15,0,"1945-4",100629196.531632
"106",1945-04-16,17497,265,7.503964455,1945,4,16,0.311485317000001,7.503964455,27485.0474169839,1945-04-16,0,"1945-4",100656681.579049
"107",1945-04-17,17498,815,23.078230305,1945,4,17,15.57426585,23.078230305,62308.7523552348,1945-04-17,0,"1945-4",100718990.331404
