"","Year","Month","x","var","Days","Group","Total","CIhigh","CIlow"
"1","2019",3,28.6666666666667,35165.4814814815,31,"Bank",888.666666666667,1256.21491337621,521.118419957123
"2","2019",4,33.6,111168,30,"Bank",1008,1661.50056526372,354.499434736281
"3","2019",5,24,3844,31,"Bank",744,865.52,622.48
"4","2019",6,32,115200,30,"Bank",960,1625.2460597403,294.753940259696
"5","2019",7,12,15376,31,"Bank",372,615.04,128.96
"6","2019",8,5.33333333333333,9111.7037037037,31,"Bank",165.333333333333,352.425612565129,0
"7","2019",9,2.66666666666667,2133.33333333333,30,"Bank",80,170.528522208933,0
"8","2019",10,5.33333333333333,3986.37037037037,31,"Bank",165.333333333333,289.08324410023,41.5834225664369
"9","2020",3,24,129841.777777778,31,"Bank",744,1450.25786615875,37.7421338412498
"10","2020",5,90.7619047619048,227713.41723356,31,"Bank",2813.61904761905,3748.9178574357,1878.3202378024
"11","2020",6,55.2380952380952,43330.612244898,30,"Bank",1657.14285714286,2065.13658258481,1249.14913170091
"12","2020",7,8.85714285714286,5238.6485260771,31,"Bank",274.571428571429,416.433305683561,132.709551459296
"13","2020",8,15.4571428571429,4267.88598639456,31,"Bank",479.171428571429,607.216384760001,351.126472382857
"14","2020",9,16.647619047619,34.3945578231293,30,"Bank",499.428571428571,510.923358652932,487.93378420421
"15","2020",10,7.66666666666667,2171.14814814815,31,"Bank",237.666666666667,328.99400499384,146.339328339494
"16","2019",3,66.9298701298701,185472.003690167,31,"Boat",2074.82597402597,2918.92860367248,1230.72334437947
"17","2019",4,48.4444774273346,353005.261637587,30,"Boat",1453.33432282004,2617.85354254419,288.815103095883
"18","2019",5,15.9356833642548,42300.6324205645,31,"Boat",494.006184291899,897.121688219545,90.8906803642519
"19","2019",6,30.5965120593692,187229.310039825,30,"Boat",917.895361781076,1765.98740716824,69.8033163939072
"20","2019",7,35.0585034013605,139917.476468021,31,"Boat",1086.81360544218,1819.96227904089,353.664931843466
"21","2019",8,32.9337456194599,22054.1758773883,31,"Boat",1020.94611420326,1312.01882341966,729.873404986857
"22","2019",9,36.1208822923109,77538.1799752603,30,"Boat",1083.62646876933,1629.4017633668,537.851174171852
"23","2019",10,60.5555967841682,237534.320515478,31,"Boat",1877.22350030921,2832.47835933494,921.968641283489
"24","2020",3,89.771016285302,472989.763796611,31,"Boat",2782.90150484436,4130.87682976729,1434.92617992144
"25","2020",5,124.601867067173,77612.0316193638,31,"Boat",3862.65787908237,4408.69302508393,3316.62273308081
"26","2020",6,85.1117260064199,20202.907586674,30,"Boat",2553.3517801926,2831.9401679351,2274.76339245009
"27","2020",7,23.2205671879141,33889.2036817814,31,"Boat",719.837582825338,1080.65438518345,359.020780467228
"28","2020",8,21.9001819948759,22831.0524843238,31,"Boat",678.905641841152,975.060620228783,382.750663453521
"29","2020",9,46.7446712018141,98219.5425642948,30,"Boat",1402.34013605442,2016.60408153307,788.076190575774
"30","2020",10,45.6822923108637,4700.07026895161,31,"Boat",1416.15106163678,1550.52289627933,1281.77922699423
