Longitude,Latitude,ElevationBottom
-88.7834100871945,33.272089926558,-2.2
-88.7833991188582,33.2721396949538,-2.2
-88.7833958388916,33.2721843340879,-2.2
-88.7833925461561,33.2722286186149,-2.2
-88.7833847627363,33.2722719299943,-2.2
-88.7833747314971,33.2723126087953,-2.1
-88.7833644822135,33.2723569019347,-2.2
-88.7833561903988,33.2723993054018,-2.2
-88.7833484691244,33.2724422811483,-2.1
-88.7833400854349,33.2724855404945,-2.1
-88.7833278014237,33.2725286592889,-2.2
-88.783314520191,33.2725718024913,-2.2
-88.7833010656588,33.2726105878788,-2.2
-88.7832890057426,33.272653695827,-2.1
-88.7832766276516,33.2726967980469,-2.2
-88.7832694492569,33.2727431155399,-2.2
-88.7832620907047,33.2727869896992,-2.2
-88.7832546931319,33.2728294156145,-2.2
-88.7832480374954,33.2728722992929,-2.2
-88.7832415320576,33.2729188377712,-2.2
-88.7832340549735,33.2729620219652,-2.3
-88.7832250221593,33.273008388176,-2.4
-88.7832147176935,33.2730505103341,-2.5
-88.7832058006903,33.2730978291747,-2.7
-88.7831982202661,33.2731408549545,-2.4
-88.783191722855,33.2731873167604,-2.4
-88.7831859967015,33.2732311103116,-2.4
-88.7831801444549,33.2732767209477,-2.6
-88.783175386627,33.2733198895629,-2.6
-88.7831724072982,33.2733662391094,-2.6
-88.7831694192959,33.2734093189809,-2.6
-88.7831662578773,33.2734557126261,-2.6
-88.7831627734581,33.2734989444837,-2.7
-88.7831593173811,33.2735419656725,-2.5
-88.7831547771747,33.2735883042693,-2.5
-88.7831498565106,33.2736329530187,-2.6
-88.7831453049982,33.273678353657,-2.6
-88.7831408405707,33.273722296975,-2.5
-88.7831359768612,33.2737672841709,-2.6
-88.783130954804,33.2738103607302,-2.5
-88.7831248068014,33.2738566690318,-2.6
-88.7831189557304,33.2739030209719,-2.6
-88.783113146529,33.2739461830233,-2.5
-88.7831068443495,33.2739924798886,-2.5
-88.7831028567504,33.2740356857304,-2.5
-88.7831000653855,33.2740820051032,-2.4
-88.7830972835105,33.2741240340569,-2.5
-88.7830949844855,33.2741686466576,-2.3
-88.7830933482428,33.274213574307,-2.2
-88.7830917033385,33.2742567250963,-2.4
-88.7830900773322,33.2743036418907,-2.2
-88.783088463137,33.2743461029811,-2.2
-88.7830868410677,33.2743924248274,-2.3
-88.7830830945277,33.2744354463486,-2.3
-88.783079176638,33.2744828504876,-2.3
-88.7830746694692,33.2745249789009,-2.2
-88.783069809302,33.2745714325011,-2.2
-88.7830648991213,33.2746186717247,-2.2
-88.7830600146065,33.2746653041746,-2.2
-88.7830538124646,33.2747082930455,-2.2
-88.7830472666242,33.2747547349252,-2.2
-88.7830405727697,33.2747976429115,-2.2
