x,y
333598.1836,3682766.322
333360.6183,3682995.616
333610.6891,3683016.392
333860.7598,3682873.011
334110.8306,3682913.706
334360.9014,3682885.029
333365.7545,3683245.686
333615.8253,3683266.463
333865.896,3683123.081
334115.9668,3683163.777
334366.0376,3683135.099
333596.3459,3683516.534
333846.4166,3683373.152
334096.4874,3683413.847
334346.5581,3683385.17
333798.5032,3683623.223
334048.5739,3683663.918
334298.6447,3683635.241
333832.7875,3683873.294
334082.8583,3683913.989
