"","month","day","mUtility","mWFUt","mWBUt","mFishUt","mAngUt","mRampUt"
"1",1,1,1.98061424928251,0.981067903077911,0.988380014476956,0.00177346795177296,0.0103196933825139,0.00846603416921701
"2",1,8,1.97920288235315,0.966290130728639,0.972899352125573,0.0125667641581633,0.0198494694362393,0.0350438012453008
"3",1,15,1.98888933062177,0.980071410052209,0.984348389178128,0.00384455054238749,0.0100005372835726,0.0312494244145201
"4",1,22,1.99803981980294,0.986249094329371,0.988709243458635,0.00480302698298785,0.0091350047484472,0.0274219053154392
"5",1,29,2.00606422084734,0.993354076982274,0.993993468325384,0.00353211302255237,0.00622849113088854,0.0241406339033715
"6",2,1,1.9724600519494,0.969489459064808,0.979332566333584,0.00477482899380838,0.0165721548330817,0.0211542402813144
"7",2,8,1.97929288740732,0.973073078960892,0.981769220280181,0.00482898329504051,0.0147970872101094,0.0244461225323093
"8",2,15,1.9923022599733,0.986825087076841,0.991329660766072,0.00126397019834324,0.00710436709189191,0.0186627167721914
"9",2,22,1.99104343870903,0.981578785077938,0.985739166841549,0.00298203600724512,0.00930415025320137,0.0321827513113968
"10",2,29,2.00711238750214,0.999175566198482,0.999566854830616,7.88763092561831e-05,0.00218913289671384,0.0143930474308506
"11",3,1,1.98004061647532,0.972184398021916,0.97912757833367,0.00714192832191221,0.0164914001856156,0.0266820234100315
"12",3,8,1.96936604027387,0.959758920082363,0.969151735766258,0.00864424514118733,0.0208466699581561,0.0427756086099585
"13",3,15,1.98876316737178,0.981915662425176,0.986155618780824,0.00421917793071748,0.0108586006295262,0.0220868158405973
"14",3,22,2.00161232097529,0.994068975733512,0.995855745506528,0.000650605679664029,0.00430741319851014,0.0177665749126542
"15",3,29,2.00316964939304,0.99112100015554,0.992323200453121,0.00350724203219254,0.0066740097272814,0.0257624037770843
"16",4,1,1.98416479741532,0.985047266005862,0.991111907230923,0.00127974369948532,0.00857570691519136,0.0048760540429074
"17",4,8,1.98727298985283,0.983199350997428,0.988433589733413,0.00301443182072589,0.00960081933138353,0.0156504152711337
"18",4,15,1.99609380062949,0.984277930149245,0.986955603258331,0.00648941570871706,0.0112827365440181,0.0254589664823833
"19",4,22,2.00624169300279,0.995989359107614,0.996887529197939,0.00051434041677239,0.00380626856621702,0.0218946599947037
"20",4,29,2.01158873304727,0.999385947557169,0.999686901930175,5.47281272564745e-05,0.00278525671913563,0.022137054146209
"21",5,1,1.98163345003509,0.980697523660102,0.986855668312115,0.00362464209637582,0.0104922790497523,0.0104189528832411
"22",5,8,1.98873326017531,0.987045908075355,0.991015329003388,0.00150423278038652,0.00651922883997894,0.0118163517923813
"23",5,15,1.99613906578152,0.991700932942931,0.993891531396139,0.000874032421983866,0.00403959213559481,0.0153055459053445
"24",5,22,1.99669879185962,0.989118649561962,0.990820041025141,0.00168753245932768,0.00569054278159688,0.0244545948447739
"25",5,29,2.00513211193085,0.996213902954701,0.997052702045549,0.000420902064407388,0.00317705728396931,0.0197121524484141
"26",6,1,1.98465063288312,0.986857289272908,0.992366140630709,0.00107437162100959,0.00747339920397602,0.00123226351300916
"27",6,8,1.99295074755005,0.994012926135111,0.996545998279417,0.000468973835486005,0.00312253687799105,0.000723161722078546
"28",6,15,1.99972786696703,0.998734669828265,0.999283271335841,9.75046620420001e-05,0.000879490555263712,0.00234535172650247
"29",6,22,2.00300543022139,0.999873487777976,0.999922333042675,8.11451204090287e-06,0.000641080944210627,0.00576190883319049
"30",6,29,2.00498660036898,0.999979783507795,0.99998721378276,1.02696620169695e-06,0.000958176000200494,0.00907897622424395
"31",7,1,1.98320164647961,0.984461519646584,0.990907469546125,0.00119113786189207,0.00785261633211724,0.00543042251790222
"32",7,8,1.99136594818424,0.992452762530105,0.995281319755878,0.000623134863970717,0.0035008037418373,0.00251665832674172
"33",7,15,1.99831370789357,0.99739123047151,0.998287452564284,0.000198252942253419,0.00116030619033629,0.0037132376407069
"34",7,22,2.0022694925639,0.999660255959355,0.999821100389728,2.75115284667615e-05,0.000709628360340009,0.00481162101236786
"35",7,29,2.00451025004773,0.999959141076,0.999974301821848,2.18305881230951e-06,0.000875771510192001,0.00827347667194507
"36",8,1,1.98510596777968,0.988038335716105,0.992890981370982,0.000934866268486187,0.00597452432108921,0.000509044527118237
"37",8,8,1.99371129119848,0.995133352013034,0.997073596075156,0.000351375835944296,0.00197889826952051,0.000327036279177213
"38",8,15,2.0002455031531,0.999433258399691,0.999642529926731,2.95042441329656e-05,0.000254851936351504,0.00202556922873506
"39",8,22,2.00305046507324,0.999985399869704,0.99999067672213,6.7400542640011e-07,0.000586678147741942,0.0055607508042137
