"","DO","long","lat"
"141",6.84296780193118,333625.6178,3682667.015
"142",7.05216901793749,333640.6178,3682667.015
"341",6.91527971067679,333610.6178,3682682.015
"342",7.15787756300797,333625.6178,3682682.015
"343",7.24209256570792,333640.6178,3682682.015
"344",7.08818656693188,333655.6178,3682682.015
"540",6.91163121802898,333580.6178,3682697.015
"541",6.75349774276644,333595.6178,3682697.015
"542",7.17830024680338,333610.6178,3682697.015
"543",7.49833222945835,333625.6178,3682697.015
"544",7.39507925233617,333640.6178,3682697.015
"545",7.26422196814543,333655.6178,3682697.015
"546",7.13975794690952,333670.6178,3682697.015
"740",6.88647726468075,333565.6178,3682712.015
"741",7.01130828844623,333580.6178,3682712.015
"742",7.29823707147685,333595.6178,3682712.015
"743",7.45383415491252,333610.6178,3682712.015
"744",7.50574951595216,333625.6178,3682712.015
"745",7.51178645780628,333640.6178,3682712.015
"746",7.50020861747744,333655.6178,3682712.015
"747",7.31415094970899,333670.6178,3682712.015
"748",7.31401454695197,333685.6178,3682712.015
"749",7.35125820001019,333700.6178,3682712.015
"940",6.92402191449798,333550.6178,3682727.015
"941",6.69284856996421,333565.6178,3682727.015
"942",7.2335613748466,333580.6178,3682727.015
"943",7.61997619875385,333595.6178,3682727.015
"944",7.5427778535439,333610.6178,3682727.015
"945",7.66900577578478,333625.6178,3682727.015
"946",7.57907741101861,333640.6178,3682727.015
"947",7.72543725457225,333655.6178,3682727.015
"948",7.50665344648556,333670.6178,3682727.015
"949",7.33969884843921,333685.6178,3682727.015
"950",7.39526243820445,333700.6178,3682727.015
"951",7.3540998998941,333715.6178,3682727.015
"952",7.32451394738026,333730.6178,3682727.015
"1141",6.9000781535008,333550.6178,3682742.015
"1142",7.2038081530262,333565.6178,3682742.015
"1143",7.42743396570054,333580.6178,3682742.015
"1144",7.53561003206445,333595.6178,3682742.015
"1145",7.53955705710051,333610.6178,3682742.015
"1146",7.53889744842454,333625.6178,3682742.015
"1147",7.59318636552842,333640.6178,3682742.015
"1148",7.61137248883958,333655.6178,3682742.015
"1149",7.55239232994802,333670.6178,3682742.015
"1150",7.47705212353594,333685.6178,3682742.015
"1151",7.53879456656438,333700.6178,3682742.015
"1152",7.50226745549336,333715.6178,3682742.015
"1153",7.27440516256353,333730.6178,3682742.015
"1154",7.29903185485066,333745.6178,3682742.015
"1155",7.2723724943062,333760.6178,3682742.015
"1342",6.91955410635212,333550.6178,3682757.015
"1343",7.40268669074834,333565.6178,3682757.015
"1344",7.4950191578181,333580.6178,3682757.015
"1345",7.72641156071501,333595.6178,3682757.015
"1346",7.58635133105034,333610.6178,3682757.015
"1347",7.65469171939089,333625.6178,3682757.015
"1348",7.62113065622595,333640.6178,3682757.015
"1349",7.79975110786659,333655.6178,3682757.015
"1350",7.58861994912136,333670.6178,3682757.015
"1351",7.60333016601598,333685.6178,3682757.015
"1352",7.6018421779608,333700.6178,3682757.015
"1353",7.76404646648637,333715.6178,3682757.015
"1354",7.54499255871578,333730.6178,3682757.015
"1355",7.38727488315902,333745.6178,3682757.015
"1356",7.42532234915363,333760.6178,3682757.015
"1357",7.20448137394274,333775.6178,3682757.015
"1358",7.25471021886722,333790.6178,3682757.015
"1359",7.25810267054571,333805.6178,3682757.015
"1360",7.35987498003474,333820.6178,3682757.015
"1542",6.87662112589064,333535.6178,3682772.015
"1543",7.08109477887822,333550.6178,3682772.015
"1544",7.39646309777238,333565.6178,3682772.015
"1545",7.52945431496846,333580.6178,3682772.015
"1546",7.59001870115608,333595.6178,3682772.015
"1547",7.5918002738785,333610.6178,3682772.015
"1548",7.59642054301834,333625.6178,3682772.015
"1549",7.61859477480063,333640.6178,3682772.015
"1550",7.66513048240926,333655.6178,3682772.015
"1551",7.626376585248,333670.6178,3682772.015
"1552",7.60817283460689,333685.6178,3682772.015
"1553",7.59237250682761,333700.6178,3682772.015
"1554",7.60814041739408,333715.6178,3682772.015
"1555",7.60253521805024,333730.6178,3682772.015
"1556",7.61565121977234,333745.6178,3682772.015
"1557",7.63001869790981,333760.6178,3682772.015
"1558",7.59259560101744,333775.6178,3682772.015
"1559",7.52661538087771,333790.6178,3682772.015
"1560",7.34054249383266,333805.6178,3682772.015
"1561",7.29575021922818,333820.6178,3682772.015
"1562",7.31406195201226,333835.6178,3682772.015
"1563",7.35134706864459,333850.6178,3682772.015
"1600",7.76426439862518,334405.6178,3682772.015
"1601",7.7636122486073,334420.6178,3682772.015
"1743",6.67027803212846,333535.6178,3682787.015
"1744",7.08411742812377,333550.6178,3682787.015
"1745",7.6181237885368,333565.6178,3682787.015
"1746",7.54109777220022,333580.6178,3682787.015
"1747",7.62434780426224,333595.6178,3682787.015
"1748",7.57504315407175,333610.6178,3682787.015
"1749",7.66956670036107,333625.6178,3682787.015
"1750",7.62188619453259,333640.6178,3682787.015
"1751",7.81267312334795,333655.6178,3682787.015
"1752",7.64833457814082,333670.6178,3682787.015
"1753",7.75388444482316,333685.6178,3682787.015
"1754",7.62029759697413,333700.6178,3682787.015
"1755",7.66978927533704,333715.6178,3682787.015
"1756",7.61709851171516,333730.6178,3682787.015
"1757",7.80117234055617,333745.6178,3682787.015
"1758",7.67679150084158,333760.6178,3682787.015
"1759",7.82798758016243,333775.6178,3682787.015
"1760",7.65628256274683,333790.6178,3682787.015
"1761",7.69599219217444,333805.6178,3682787.015
"1762",7.61854628053244,333820.6178,3682787.015
"1763",7.58831598287912,333835.6178,3682787.015
"1764",7.12776158310789,333850.6178,3682787.015
"1765",7.20033753433635,333865.6178,3682787.015
"1766",7.3899399883256,333880.6178,3682787.015
"1773",7.4776286231517,333985.6178,3682787.015
"1774",7.46933609868018,334000.6178,3682787.015
"1775",7.50568711325946,334015.6178,3682787.015
"1776",7.49297398792903,334030.6178,3682787.015
"1777",7.52932932300103,334045.6178,3682787.015
"1778",7.51202887761193,334060.6178,3682787.015
"1779",7.55334074989532,334075.6178,3682787.015
"1780",7.52270560578825,334090.6178,3682787.015
"1781",7.57582868408526,334105.6178,3682787.015
"1782",7.52229965342662,334120.6178,3682787.015
"1783",7.60118579919997,334135.6178,3682787.015
"1784",7.49345166239223,334150.6178,3682787.015
"1785",6.79830997849143,334165.6178,3682787.015
"1786",7.4935662556904,334180.6178,3682787.015
"1787",7.66388443567299,334195.6178,3682787.015
"1798",7.72697052842251,334360.6178,3682787.015
"1799",7.75883349757397,334375.6178,3682787.015
"1800",7.79593031698936,334390.6178,3682787.015
"1801",8.00438407978355,334405.6178,3682787.015
"1802",7.90123748932178,334420.6178,3682787.015
"1943",6.88896957902225,333520.6178,3682802.015
"1944",6.96465156806733,333535.6178,3682802.015
"1945",7.3932464137673,333550.6178,3682802.015
"1946",7.50569144025288,333565.6178,3682802.015
"1947",7.55461922001259,333580.6178,3682802.015
"1948",7.55397286466362,333595.6178,3682802.015
"1949",7.55453648111367,333610.6178,3682802.015
"1950",7.57475559135876,333625.6178,3682802.015
"1951",7.58330865949024,333640.6178,3682802.015
"1952",7.6199479834391,333655.6178,3682802.015
"1953",7.62173294036699,333670.6178,3682802.015
"1954",7.62826991637293,333685.6178,3682802.015
"1955",7.61436471416774,333700.6178,3682802.015
"1956",7.57552382239015,333715.6178,3682802.015
"1957",7.55190544921285,333730.6178,3682802.015
"1958",7.61160644769443,333745.6178,3682802.015
"1959",7.64622125596176,333760.6178,3682802.015
"1960",7.67232952123915,333775.6178,3682802.015
"1961",7.66910957197943,333790.6178,3682802.015
"1962",7.68035547799433,333805.6178,3682802.015
"1963",7.65433241590431,333820.6178,3682802.015
"1964",7.64659644852701,333835.6178,3682802.015
"1965",7.59652492047324,333850.6178,3682802.015
"1966",7.43974461417092,333865.6178,3682802.015
"1967",7.41725622369321,333880.6178,3682802.015
"1968",7.38506770293618,333895.6178,3682802.015
"1969",7.40348538503107,333910.6178,3682802.015
"1970",7.41292359691817,333925.6178,3682802.015
"1971",7.4266703323828,333940.6178,3682802.015
"1972",7.43295433227039,333955.6178,3682802.015
"1973",7.43447857916805,333970.6178,3682802.015
"1974",7.41530048440279,333985.6178,3682802.015
"1975",7.43930308683956,334000.6178,3682802.015
"1976",7.36169128781771,334015.6178,3682802.015
"1977",7.43060641435895,334030.6178,3682802.015
"1978",7.50443808805338,334045.6178,3682802.015
"1979",7.48734419067686,334060.6178,3682802.015
"1980",7.36054365461871,334075.6178,3682802.015
"1981",7.47336108957556,334090.6178,3682802.015
"1982",7.49984552352849,334105.6178,3682802.015
"1983",7.41570232666197,334120.6178,3682802.015
"1984",7.4962869560259,334135.6178,3682802.015
"1985",7.51230250897905,334150.6178,3682802.015
"1986",7.40454383041023,334165.6178,3682802.015
"1987",7.41877712113211,334180.6178,3682802.015
"1988",7.4292546668564,334195.6178,3682802.015
"1989",7.60116098353065,334210.6178,3682802.015
"1990",7.63686782711926,334225.6178,3682802.015
"1998",7.72886940685473,334345.6178,3682802.015
"1999",7.85879358995077,334360.6178,3682802.015
"2000",7.86188747233176,334375.6178,3682802.015
"2001",7.81985028057307,334390.6178,3682802.015
"2002",7.96798785465679,334405.6178,3682802.015
"2003",8.04934531676824,334420.6178,3682802.015
"2004",7.90612527411006,334435.6178,3682802.015
"2144",6.8894956087952,333520.6178,3682817.015
"2145",7.40018964388484,333535.6178,3682817.015
"2146",7.3851179081034,333550.6178,3682817.015
"2147",7.65131736264162,333565.6178,3682817.015
"2148",7.56606455774212,333580.6178,3682817.015
"2149",7.58831598287912,333595.6178,3682817.015
"2150",7.55578496313731,333610.6178,3682817.015
"2151",7.68453293258943,333625.6178,3682817.015
"2152",7.60945632537155,333640.6178,3682817.015
"2153",7.67498611881217,333655.6178,3682817.015
"2154",7.62589696624573,333670.6178,3682817.015
"2155",7.70515937524896,333685.6178,3682817.015
"2156",7.65274230291994,333700.6178,3682817.015
"2157",7.71979765152407,333715.6178,3682817.015
"2158",7.60501481052937,333730.6178,3682817.015
"2159",7.66111749181958,333745.6178,3682817.015
"2160",7.60417079227308,333760.6178,3682817.015
"2161",7.72295448889927,333775.6178,3682817.015
"2162",7.63744550732014,333790.6178,3682817.015
"2163",7.81126783081022,333805.6178,3682817.015
"2164",7.63131236142992,333820.6178,3682817.015
"2165",7.63717910589099,333835.6178,3682817.015
"2166",7.65469579692986,333850.6178,3682817.015
"2167",7.71033800548187,333865.6178,3682817.015
"2168",7.57062878630385,333880.6178,3682817.015
"2169",7.48699502973483,333895.6178,3682817.015
"2170",7.38946296898794,333910.6178,3682817.015
"2171",7.40057138959288,333925.6178,3682817.015
"2172",7.45689041177999,333940.6178,3682817.015
"2173",7.48565527368963,333955.6178,3682817.015
"2174",7.42848907129224,333970.6178,3682817.015
"2175",7.44237330266719,333985.6178,3682817.015
"2176",7.50761586506121,334000.6178,3682817.015
"2177",7.54120241072619,334015.6178,3682817.015
"2178",7.53253011654695,334030.6178,3682817.015
"2179",7.6483400575504,334045.6178,3682817.015
"2180",7.58503859208053,334060.6178,3682817.015
"2181",7.56076944501509,334075.6178,3682817.015
"2182",7.61751901099054,334090.6178,3682817.015
"2183",7.70859042520998,334105.6178,3682817.015
"2184",7.59503022698415,334120.6178,3682817.015
"2185",7.65902667222116,334135.6178,3682817.015
"2186",7.67823943735426,334150.6178,3682817.015
"2187",7.75643846391929,334165.6178,3682817.015
"2188",7.61579909317464,334180.6178,3682817.015
"2189",7.59038663199497,334195.6178,3682817.015
"2190",7.65199187950547,334210.6178,3682817.015
"2191",7.69812097367394,334225.6178,3682817.015
"2198",7.71869569896136,334330.6178,3682817.015
"2199",7.81976528723553,334345.6178,3682817.015
"2200",7.90487364539059,334360.6178,3682817.015
"2201",8.07813482301764,334375.6178,3682817.015
"2202",7.97086336167788,334390.6178,3682817.015
"2203",8.06003078312983,334405.6178,3682817.015
"2204",8.11777567972036,334420.6178,3682817.015
"2205",8.43537036718426,334435.6178,3682817.015
"2206",7.88458456444141,334450.6178,3682817.015
"2344",6.87950364447455,333505.6178,3682832.015
"2345",6.93895877224813,333520.6178,3682832.015
"2346",7.34627431265199,333535.6178,3682832.015
"2347",7.43745549268569,333550.6178,3682832.015
"2348",7.55897221641385,333565.6178,3682832.015
"2349",7.56784195904225,333580.6178,3682832.015
