"","month","day","mUtility","mWFUt","mWBUt","mFishUt","mAngUt","mRampUt"
"1",1,1,1.93648214766753,0.00365297181108083,0.0112263631335292,0.948627566631218,0.946174042458774,0.999776449724636
"2",1,8,1.75555836595913,0.0702217642560537,0.101807460160177,0.732013934744006,0.747085050061497,0.95594536353629
"3",1,15,1.59513117237392,0.230676940031013,0.289049629113173,0.414225922728289,0.483829037891794,0.838528323111086
"4",1,22,1.63177268490495,0.393989271138162,0.461505784979737,0.252251067425618,0.344609723428387,0.703443399294485
"5",1,29,1.71133247458144,0.536872994504475,0.59750619185566,0.175871890388373,0.257135440620018,0.545027355045838
"6",2,1,1.9268232861505,0.00796650998964772,0.0169323767409874,0.936407677987436,0.934689465321367,0.99634397754349
"7",2,8,1.75024572172164,0.0694128365672794,0.100518898607408,0.729126862556774,0.748102572201283,0.95427167577908
"8",2,15,1.62932677266671,0.186110195422582,0.241636748521662,0.484430082203032,0.54968405144202,0.884615441596847
"9",2,22,1.70628098815457,0.358630972471963,0.41323676290723,0.365428163374427,0.432385416730398,0.705584762071508
"10",2,29,1.74710643066269,0.62372862084679,0.69120053571624,0.10549302676494,0.1932727887402,0.460095705929233
"11",3,1,1.85736610628408,0.152473692848541,0.175385329789373,0.722561274575862,0.743390604632539,0.870501013508075
"12",3,8,1.78036272684496,0.108283112660597,0.137262502638268,0.710870872681306,0.731538411203848,0.916354066525737
"13",3,15,1.67580191784131,0.22347999507484,0.272400269819623,0.485644594195786,0.548696819233274,0.839857298268846
"14",3,22,1.6967941797224,0.40028905053421,0.46075160382841,0.30351414063336,0.380997661759842,0.683481107693007
"15",3,29,1.7516059942385,0.530450765237225,0.580614210464743,0.230817792338287,0.291356984528239,0.528089467868247
"16",4,1,1.90013437932642,0.00954532261829833,0.0220430963732064,0.911671603663035,0.914096863899632,0.999651849444125
"17",4,8,1.73181468460923,0.112621724507489,0.148696050729024,0.663555884676879,0.693034299297145,0.920847750094526
"18",4,15,1.629995912805,0.276801049203699,0.334865497463578,0.38605787253272,0.460533452883194,0.804009534326811
"19",4,22,1.68975745487217,0.460525983751604,0.522863873089616,0.234181361697225,0.313330949348094,0.631041523319364
"20",4,29,1.77300099873667,0.614638190906181,0.670595135767056,0.147756712232092,0.217703122395704,0.462318797266974
"21",5,1,1.93043278812416,0.0230999893987521,0.0324157495611467,0.920906350259367,0.924328937857633,0.983692459952161
"22",5,8,1.73597622032276,0.0912447069483476,0.124399426711467,0.697970733306737,0.712592154771308,0.932130551941108
"23",5,15,1.53674780287086,0.185460600812095,0.249625787922807,0.408669595162238,0.489596844616947,0.896386793330501
"24",5,22,1.54309402370202,0.35969755272701,0.442851388155051,0.198434554832423,0.319834310540223,0.764386745434854
"25",5,29,1.70998888543968,0.578188249129195,0.662371924551692,0.0966785753697353,0.198257569376617,0.547242703401507
