SampleType,Samplelocation,DepthofDeployment,DepthofCollection,StartTime,StartTurbidity,InitialDO,StartTemp,EndTime,EndDO,EndTubidity,EndTemp
Dark,6,0.25,0,6/27/2020 19:08,57,9.01,29.2,6/28/2020 13:29,7.68,64,29.8
Dark,6,0.5,0,6/27/2020 19:08,57,9.22,29.3,6/28/2020 13:29,7.8,64,28.6
Dark,6,0.75,0,6/27/2020 19:08,57,9.3,29.3,6/28/2020 13:29,7.88,64,27.9
Dark,6,1,0,6/27/2020 19:08,57,9.03,29.3,6/28/2020 13:29,8.01,64,27.3
Dark,6,0.25,0.5,6/27/2020 18:59,57,8.63,28.2,6/28/2020 13:34,7.13,64,29.8
Dark,6,0.5,0.5,6/27/2020 18:59,57,8.69,28.3,6/28/2020 13:34,6.99,64,30.03
Dark,6,0.75,0.5,6/27/2020 18:59,57,8.8,28.3,6/28/2020 13:34,7.38,64,28.7
Dark,6,1,0.5,6/27/2020 18:59,57,8.83,28.4,6/28/2020 13:34,7.36,64,28.8
Dark,9,0.25,0,6/27/2020 18:03,45,8.38,28.2,6/28/2020 13:04,6.64,53,28.7
Dark,9,0.5,0,6/27/2020 18:03,45,8.41,28.3,6/28/2020 13:04,6.62,53,28.4
Dark,9,0.75,0,6/27/2020 18:03,45,8.39,28.3,6/28/2020 13:04,6.56,53,28.1
Dark,9,1,0,6/27/2020 18:03,45,8.33,28.6,6/28/2020 13:04,6.79,53,2.7
Dark,9,0.25,0.5,6/27/2020 18:35,45,8.24,28.5,6/28/2020 13:16,6.75,53,29.7
Dark,9,0.5,0.5,6/27/2020 18:35,45,8.37,28.2,6/28/2020 13:16,6.86,53,28.8
Dark,9,0.75,0.5,6/27/2020 18:35,45,8.29,28.3,6/28/2020 13:16,6.78,53,28.5
Dark,9,1,0.5,6/27/2020 18:35,45,8.37,28.2,6/28/2020 13:16,6.64,53,28.2
Dark,16,0.25,0,6/27/2020 19:36,50,8.21,2.2,6/28/2020 13:54,7.72,40,26.5
Dark,16,0.5,0,6/27/2020 19:36,50,8.65,27.3,6/28/2020 13:54,8.04,40,26.1
Dark,16,0.75,0,6/27/2020 19:36,50,9.14,27.8,6/28/2020 13:54,8.46,40,26.2
Dark,16,1,0,6/27/2020 19:36,50,8.78,2.9,6/28/2020 13:54,7.89,40,26.8
Dark,18,0.25,0,6/27/2020 20:05,NA,8.11,27.1,6/28/2020 14:11,7.19,49,29
Dark,18,0.5,0,6/27/2020 20:05,NA,8.19,28,6/28/2020 14:11,7.03,49,29.1
Dark,18,0.75,0,6/27/2020 20:05,NA,8.18,28,6/28/2020 14:11,6.96,49,29.1
Dark,18,1,0,6/27/2020 20:05,NA,8.09,27.9,6/28/2020 14:11,6.68,49,28.7
Dark,21,0.25,0,6/27/2020 20:20,67,8.39,28,6/28/2020 14:25,7.43,76,27.7
Dark,21,0.5,0,6/27/2020 20:20,67,8.43,28.2,6/28/2020 14:25,7.03,76,27
Dark,21,0.75,0,6/27/2020 20:20,67,8.47,28.3,6/28/2020 14:25,7.23,76,26.6
Dark,21,1,0,6/27/2020 20:20,67,8.43,28.3,6/28/2020 14:25,7.33,76,26.4
