"","month","day","mUtility","mWFUt","mWBUt","mFishUt","mAngUt","mRampUt"
"1",1,1,1.93648214766753,0.00365297181108083,0.0112263631335292,0.948627566631218,0.946174042458774,0.999776449724636
"2",1,8,1.64273437500582,0.113765814629588,0.161542229429233,0.579860070622377,0.634510554741538,0.94062196590771
"3",1,15,1.69541173268553,0.507463452037849,0.577632621061177,0.183219824938164,0.267434485892697,0.586757183403982
"4",1,22,1.88136797161976,0.798052877488277,0.834178395440375,0.074031842666627,0.118302856448993,0.231906855599962
"5",1,29,1.94983871312537,0.918227280321218,0.934824786078005,0.0261860489682946,0.0475525025609314,0.0936486929547779
"6",2,1,1.9268232861505,0.00796650998964772,0.0169323767409874,0.936407677987436,0.934689465321367,0.99634397754349
"7",2,8,1.64916117993304,0.109269112992665,0.155860436425881,0.58664538480079,0.648390715061928,0.946381776365477
"8",2,15,1.67485789151585,0.437380728905857,0.506185587701841,0.24261763436372,0.326078144293635,0.65126973679523
"9",2,22,1.81985902143023,0.696402941063814,0.739920399162605,0.121325905889669,0.177144539790671,0.347275010837621
"10",2,29,1.96374579458378,0.938956001325284,0.949017806648678,0.0258758553530238,0.040016511255459,0.0597757512581226
"11",3,1,1.90871129161837,0.27291640681969,0.291140325625446,0.644626060947436,0.658600460520504,0.741456535931088
"12",3,8,1.68841763475374,0.145733133878029,0.189109913050706,0.583136458228158,0.634954607013745,0.905921652179945
"13",3,15,1.7256918791988,0.46264834120862,0.516147902699953,0.276343608656915,0.342729358418984,0.598374694847643
"14",3,22,1.84791638187202,0.751555021276707,0.788457433984089,0.0944961196433624,0.143488527876204,0.283327086059517
"15",3,29,1.92973723023989,0.88664206663236,0.907855414314061,0.0362302530835695,0.0643247027810883,0.133694289638713
"16",4,1,1.90013437932642,0.00954532261829833,0.0220430963732064,0.911671603663035,0.914096863899632,0.999651849444125
"17",4,8,1.65143978078935,0.164668176869697,0.215512313399769,0.526221680948147,0.592038183087051,0.898037036056417
"18",4,15,1.7370809462371,0.551020260233129,0.607619624822042,0.18817548137318,0.26275529913031,0.517775860487196
"19",4,22,1.88639099894837,0.823126646734733,0.855721131848445,0.0556550075403411,0.0985069477335196,0.205269477916179
"20",4,29,1.95632844095733,0.929517203468784,0.944039299516237,0.0207503922560302,0.0406521901983139,0.0833909012342387
"21",5,1,1.93043278812416,0.0230999893987521,0.0324157495611467,0.920906350259367,0.924328937857633,0.983692459952161
"22",5,8,1.60846018358796,0.129871041802738,0.181617381540891,0.532372402447449,0.598889721344085,0.930308994249682
"23",5,15,1.67226896393224,0.50498183232345,0.585925776872804,0.158018639411912,0.253040329162043,0.593645101486107
"24",5,22,1.90129515342809,0.852442353679407,0.887946302039041,0.0380576981883749,0.0833463799570863,0.16235121908544
"25",5,29,1.97635390190453,0.956114413700956,0.964396686500892,0.0195434767245933,0.0314447026188539,0.0411539473373226
"26",6,1,1.97603763144499,0.00122248314303268,0.00408607343733921,0.981012327907551,0.979531564000967,0.999901929913169
"27",6,8,1.5952005751474,0.0482374551137443,0.0976872036574469,0.616055785105297,0.667396842803983,0.999043419737839
"28",6,15,1.55140396616501,0.340589759246119,0.448326904176506,0.190893460859903,0.308381007179842,0.834806676585114
"29",6,22,1.83956563658132,0.789691354149932,0.845413051863744,0.0302258144972181,0.0978790413679631,0.250591790772895
"30",6,29,1.96682453132075,0.961382395784291,0.976674309409663,0.00466647880458371,0.0247128560218746,0.023489838622554
"31",7,1,1.98692230532263,0.000633199009613196,0.00219759159308839,0.989724581603955,0.988792415828172,0.999941450403773
"32",7,8,1.61418220822896,0.0397001136196882,0.0858525329972577,0.646246441890078,0.685081810741611,0.999684428702252
"33",7,15,1.47568790751414,0.246515179876704,0.354370742835962,0.22575137455379,0.349069220315125,0.949032000180245
