Date (mm-dd-yyyy),Site,Arrival time,Leave Time,Wait at Access,Group Size,Description of Activity,,,,,,,,,,,,,,,,,3012019,#N/A,#N/A,,#N/A,#N/A
6/23/2019,2,6:30,7:00,0:30,4,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,2,6:30,7:35,1:05,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,2,6:35,7:00,0:25,8,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,2,6:48,7:38,0:50,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,2,6:59,8:03,1:04,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,4:30,4:45,0:15,2,Photography,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,4:38,4:49,0:11,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:00,5:10,0:10,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:03,5:13,0:10,3,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:06,5:25,0:19,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:35,5:53,0:18,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:51,6:01,0:10,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:53,,,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,5:58,,,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,3,6:07,,,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,1,6:30,6:40,0:10,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,1,6:30,7:12,0:42,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,1,6:47,6:52,0:05,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,1,7:15,7:30,0:15,4,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,4:15,4:21,0:06,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,4:15,6:15,2:00,1,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,4:56,6:15,1:19,2,Picnic,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,5:15,6:15,1:00,4,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,5:20,5:32,0:12,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,5:30,6:01,0:31,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,2:20,2:30,0:10,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,2:46,3:06,0:20,4,Birdwatching,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,3:23,3:33,0:10,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,3:25,3:39,0:14,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,3:37,4:00,0:23,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,3:38,3:50,0:12,2,Walking,,,,,,,,,,,,,,,,,,,,,,
