Date (mm-dd-yyyy),Site,Arrival time,Leave Time,Wait at Access,Group Size,Description of Activity,,,,,,,,,,,,,,,,,3012019,#N/A,#N/A,,#N/A,#N/A
6/24/2019,2,16:56,18:15,1:19,2,Picnic,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,17:15,18:15,1:00,4,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,17:20,17:32,0:12,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,2,17:30,18:01,0:31,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,14:20,14:30,0:10,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,14:46,15:06,0:20,4,Birdwatching,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,15:23,15:33,0:10,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,15:25,15:39,0:14,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,15:37,16:00,0:23,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,3,15:38,15:50,0:12,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,16:15,18:15,2:00,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,16:36,18:15,1:39,3,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,16:38,17:40,1:02,1,Birdwatching,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,17:10,17:38,0:28,3,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,17:47,18:15,0:28,,Walking,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,1,18:03,18:15,0:12,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,2,15:06,15:37,0:31,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,3,18:30,20:30,2:00,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,3,18:36,18:51,0:15,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,3,19:05,20:30,1:25,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,3,19:35,20:30,0:55,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,3,19:50,20:00,0:10,2,Photography,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,14:00,14:28,0:28,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,14:00,14:05,0:05,2,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,14:51,14:55,0:04,1,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,15:35,16:00,0:25,2,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,15:50,16:00,0:10,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,15:57,16:00,0:03,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,1,15:58,16:00,0:02,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,2,18:30,20:30,2:00,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,2,18:30,18:40,0:10,2,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,2,18:59,19:05,0:06,2,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,16:18,17:04,0:46,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,16:23,18:15,1:52,3,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,17:01,17:07,0:06,3,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,17:39,17:47,0:08,3,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,17:42,17:54,0:12,3,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,17:52,18:13,0:21,3,Walking,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,3,17:56,18:15,0:19,2,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
