Longitude,Latitude,Depth
-88.7930576136285,33.2817329711742,1.2
-88.7930582874049,33.2817297151483,1.3
-88.793058961845,33.2817264559144,1.2
-88.7930596356213,33.2817241216846,1.1
-88.7930603127168,33.2817222044204,1.1
-88.7930609864931,33.2817202965545,1.2
-88.7930616622609,33.2817183830496,1.2
-88.7930623373649,33.2817161166782,1.3
-88.7930630098136,33.2817137334277,1.3
-88.7930636849175,33.2817113407665,1.3
-88.7930643573662,33.2817084611273,1.2
-88.7930650344616,33.2817051973869,1.3
-88.7930657102294,33.2817020312501,1.3
-88.7930663840057,33.2816991315244,1.2
-88.7930677152818,33.2816962175143,1.2
-88.7930695342188,33.2816930811611,1.1
-88.7930711805325,33.2816902867161,1.1
-88.7930727900839,33.2816875314138,1.1
-88.7930744523813,33.2816842619129,1.2
-88.7930763586102,33.2816809986996,1.1
-88.793078762293,33.2816782586737,1
-88.7930811683164,33.2816756886728,1.2
-88.7930835485944,33.2816731461719,1.1
-88.7930868397807,33.2816703654077,1.4
-88.7930907089462,33.2816675657066,1.3
-88.7930946479765,33.2816646953816,1.3
-88.7930987817613,33.2816612154271,1
-88.7931030563211,33.2816577048572,1.1
-88.7931082375434,33.2816545037817,1.4
-88.7931134081282,33.2816513192822,1
-88.793118575491,33.2816473979239,1
-88.7931246396179,33.2816429226579,0.9
-88.7931315085715,33.2816395862656,0.9
-88.7931391838624,33.2816364032162,0.7
-88.7931456514778,33.2816332599618,0.8
-88.7931522418852,33.2816300483207,0.3
-88.7931592594983,33.2816268710484,0.9
-88.7931667959873,33.2816238418807,1.5
-88.7931733673815,33.2816207833322,1.5
-88.7931791515155,33.2816165847911,1.5
-88.7931847276828,33.2816117842537,1.5
-88.7931898642558,33.2816074698428,1
-88.7931954298838,33.2816026901948,1.4
-88.7932013384171,33.2815971611094,1
-88.7932059369675,33.2815916573133,1.1
-88.7932106473435,33.2815854713906,1.4
-88.7932165119099,33.2815783063299,1.2
-88.7932219783605,33.2815716632543,1
-88.7932271570918,33.2815659696198,1.4
-88.7932315642684,33.2815594360536,1.3
-88.7932357395992,33.2815529375664,1.4
-88.7932401812492,33.2815463938676,1.3
-88.7932447965961,33.2815391739817,1.4
-88.7932494871287,33.2815321872937,1.4
-88.7932539876018,33.2815258698493,1.4
-88.7932590698868,33.2815194199844,1.3
-88.7932642180121,33.2815132968216,1.2
-88.7932693866073,33.2815077620316,1.3
-88.7932743913568,33.2815003295874,1.1
-88.7932789879362,33.2814924035698,1.4
-88.7932842689034,33.2814865687755,1.4
-88.7932908199306,33.2814806579338,1.4
-88.7932973251206,33.2814748758366,0.9
-88.7933039075152,33.2814699295492,1.1
-88.7933105227305,33.2814651302135,0.9
-88.7933170907308,33.2814601618515,1.2
-88.79332465728,33.2814544058556,0.9
-88.7933335622925,33.2814503304355,1.3
-88.7933426157184,33.2814464638936,0.9
-88.7933520498274,33.2814436373588,1
-88.793361153754,33.2814408886243,1
-88.7933706138651,33.2814380921123,1
-88.7933814886302,33.2814351545364,1
-88.7933905971089,33.2814321470183,1.3
-88.7934025508977,33.28142928247,1.3
-88.7934126609506,33.2814265266156,1.3
-88.7934232643165,33.2814237707613,1.1
-88.7934325600526,33.2814214332458,0.8
-88.793443271425,33.2814190330924,1.4
-88.7934547472948,33.2814166116987,1.2
-88.7934655904629,33.2814147558793,1.4
-88.793474754662,33.2814130715459,0.9
-88.7934831242632,33.2814114512369,1.2
-88.7934911120325,33.2814097915283,1.4
-88.7934998374343,33.2814079250982,1.2
-88.7935075537414,33.2814056481446,1.1
-88.7935153287693,33.2814033778037,1.3
-88.7935231099936,33.2814011074627,1
-88.7935299533137,33.2813978911119,1.2
-88.7935375144579,33.2813946494044,1.4
-88.793545173307,33.2813893324581,1.4
-88.7935510583912,33.281382840937,1.4
-88.7935561342293,33.281376502063,1.4
-88.7935612580317,33.2813698363824,1.3
-88.7935671854181,33.2813607583472,1.3
-88.793572319221,33.281352137935,1.1
-88.7935769030907,33.2813422821025,1.2
-88.7935816011386,33.2813342824213,1.2
