Longitude,Latitude,Depth
-88.7811284561757,33.2815368010122,1.9
-88.7811188000447,33.2815451390684,1.9
-88.7811162328101,33.281552900186,1.9
-88.7811135848766,33.2815628805158,1.9
-88.7811110302512,33.2815725128204,1.9
-88.7811071901876,33.2815804924178,1.9
-88.7811030411265,33.2815896160996,1.9
-88.7810983650219,33.2815991768797,1.9
-88.7810933082199,33.2816081259091,1.9
-88.7810892536535,33.2816158227285,1.9
-88.7810853799166,33.2816243250186,1.9
-88.7810818407464,33.2816327898775,1.9
-88.7810785974898,33.2816419237695,1.9
-88.7810754116925,33.2816509758731,1.9
-88.7810719992308,33.2816605129877,1.9
-88.7810685034447,33.2816700930269,1.9
-88.781064770562,33.2816796556923,1.8
-88.7810595948069,33.2816892434846,1.9
-88.7810547688335,33.2816979839717,1.9
-88.7810506566175,33.2817088271782,1.8
-88.7810465194222,33.2817183804097,1.9
-88.7810423542595,33.2817279443193,1.9
-88.7810383330257,33.2817374682544,1.9
-88.781035442714,33.281747538443,1.8
-88.7810326275838,33.2817552035657,1.8
-88.7810297929621,33.2817643405184,1.9
-88.7810277514673,33.2817721901195,1.9
-88.7810257432461,33.2817809748416,1.9
-88.7810237113755,33.2817887111076,1.9
-88.7810217149789,33.2817973532464,1.8
-88.7810194106262,33.2818059061209,1.9
-88.7810167710812,33.2818145348576,1.9
-88.781014118495,33.2818244849395,1.9
-88.7810114264482,33.2818340740838,1.9
-88.7810090209332,33.281845455507,1.9
-88.781006622521,33.2818551981662,1.9
-88.7810042099031,33.2818647833091,1.9
-88.7810031890673,33.2818743146446,1.9
-88.7810045663683,33.281883870996,1.9
-88.7810059014532,33.2818934273462,1.9
-88.7810072378573,33.2819023169092,1.9
-88.7810085742615,33.2819110216466,1.9
-88.7810099119848,33.2819192101454,1.9
-88.7810112576237,33.2819267738384,2
-88.7810128060936,33.2819356754673,2
-88.7810144662594,33.2819452318119,2
-88.7810161134043,33.2819542777509,2
-88.7810177654321,33.2819628380157,2
-88.7810206625843,33.2819744107627,2
-88.7810202810014,33.2819840204765,2
-88.7810198997944,33.2819904952515,2.1
-88.7810195189634,33.2819967141772,2.1
-88.7810191370046,33.2820032229366,2.1
-88.7810187516623,33.2820089698766,2.1
-88.7810183712073,33.2820144425537,2.1
-88.7810179884966,33.282019930694,2.1
-88.7810176080415,33.2820247058734,2.1
-88.7810172264586,33.2820294923731,2.1
-88.7810168456276,33.2820342662996,2.1
-88.7810164644207,33.2820390422702,2.1
-88.7810160711836,33.282043794188,2.1
-88.7810156899766,33.2820480658797,2.2
-88.7810153087697,33.2820520459353,2.1
-88.7810149283147,33.28205580727,2.1
-88.7810145448521,33.2820594362738,2.1
-88.781014164397,33.2820629196263,2.1
-88.7810137828141,33.2820662870796,2.1
-88.7810134019832,33.2820694730125,2.1
-88.7810130207762,33.2820726396089,2.1
-88.7810126399452,33.2820753958485,2.1
-88.7810122594902,33.2820781493672,2.1
-88.781011859862,33.2820811025542,2.1
-88.7810105787205,33.2820840351045,2.1
-88.7810084955149,33.2820869676549,2.1
-88.7810064184604,33.2820896042353,2.1
-88.7810043373051,33.2820921689174,2.1
-88.7810022389882,33.2820947260192,2.1
-88.7810000526984,33.2820974066181,2.1
-88.7809978620879,33.2821001157524,2.1
-88.7809956757982,33.282102821985,2.1
-88.7809935616429,33.2821055769705,2.1
-88.7809921052839,33.2821083265221,2.1
