"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165669",1165669,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333055.6_3684927",-88.7928920555737,33.2905043036581,TRUE
"1165670",1165670,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333053.6_3684925",-88.7929131564577,33.2904859628064,TRUE
"1165671",1165671,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333055.6_3684925",-88.7928916866958,33.2904862726046,TRUE
"1165672",1165672,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333057.6_3684925",-88.7928702169337,33.2904865823991,TRUE
"1165673",1165673,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333077.6_3684925",-88.792655519294,33.2904896801403,TRUE
"1165674",1165674,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333057.6_3684923",-88.7928698480605,33.2904685513454,TRUE
"1165675",1165675,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333059.6_3684923",-88.7928483783025,33.2904688611359,TRUE
"1165676",1165676,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333061.6_3684923",-88.792826908544,33.2904691709228,TRUE
"1165677",1165677,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333063.6_3684923",-88.7928054387853,33.290469480706,TRUE
"1165678",1165678,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333065.6_3684923",-88.7927839690262,33.2904697904855,TRUE
"1165679",1165679,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333067.6_3684923",-88.7927624992669,33.2904701002612,TRUE
"1165680",1165680,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333075.6_3684923",-88.792676620226,33.2904713393272,TRUE
"1165681",1165681,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333063.6_3684921",-88.7928050699257,33.2904514496515,TRUE
"1165682",1165682,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333065.6_3684921",-88.7927836001711,33.2904517594308,TRUE
"1165683",1165683,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333067.6_3684921",-88.7927621304161,33.2904520692063,TRUE
"1165684",1165684,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333069.6_3684921",-88.7927406606608,33.2904523789782,TRUE
"1165685",1165685,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333071.6_3684921",-88.7927191909052,33.2904526887463,TRUE
"1165686",1165686,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333073.6_3684921",-88.7926977211492,33.2904529985108,TRUE
"1165687",1165687,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333191.6_3684891",-88.7914254763467,33.2902008020261,TRUE
"1165688",1165688,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333191.6_3684889",-88.7914251077747,33.2901827709572,TRUE
"1165689",1165689,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333191.6_3684887",-88.791424739203,33.2901647398883,TRUE
"1165690",1165690,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333209.6_3684883",-88.7912307748222,33.2901314634594,TRUE
"1165691",1165691,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333191.6_3684879",-88.7914232649196,33.290092615612,TRUE
"1165692",1165692,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333193.6_3684879",-88.7914017952366,33.2900929251497,TRUE
"1165693",1165693,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333195.6_3684879",-88.7913803255533,33.2900932346836,TRUE
"1165694",1165694,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333201.6_3684879",-88.7913159165012,33.2900941632631,TRUE
"1165695",1165695,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333217.6_3684879",-88.7911441590147,33.2900966393122,TRUE
"1165696",1165696,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333191.6_3684877",-88.7914228963496,33.2900745845428,TRUE
"1165697",1165697,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333193.6_3684877",-88.791401426671,33.2900748940802,TRUE
"1165698",1165698,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333201.6_3684877",-88.7913155479533,33.2900761321929,TRUE
"1165699",1165699,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333191.6_3684875",-88.7914225277799,33.2900565534735,TRUE
"1165700",1165700,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333193.6_3684875",-88.7914010581057,33.2900568630107,TRUE
"1165701",1165701,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333195.6_3684875",-88.7913795884312,33.2900571725443,TRUE
"1165702",1165702,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333197.6_3684875",-88.7913581187563,33.2900574820741,TRUE
"1165703",1165703,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333199.6_3684875",-88.7913366490811,33.2900577916001,TRUE
"1165704",1165704,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333201.6_3684875",-88.7913151794056,33.2900581011225,TRUE
"1165705",1165705,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333207.6_3684875",-88.7912507703771,33.2900590296675,TRUE
"1165706",1165706,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333193.6_3684873",-88.7914006895407,33.2900388319412,TRUE
"1165707",1165707,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333195.6_3684873",-88.7913792198706,33.2900391414745,TRUE
"1165708",1165708,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333197.6_3684873",-88.7913577502002,33.2900394510041,TRUE
