OBJECTID,Join_Count,TARGET_FID,DO,POINT_X,POINT_Y,Temp,Elevation
327,1,327,8.603695483,333745.6178,3682847.015,28.51314216,67.15979
329,1,329,8.666218437,333775.6178,3682847.015,28.52827333,67.0419846
331,1,331,8.750588382,333805.6178,3682847.015,28.56638586,67.0738831
333,1,333,8.837672216,333835.6178,3682847.015,28.61430576,67.1326904
335,1,335,8.901544724,333865.6178,3682847.015,28.6520806,67.0972672
337,1,337,8.920725015,333895.6178,3682847.015,28.66099233,67.0314484
339,1,339,8.894408826,333925.6178,3682847.015,28.63667941,66.7553635
341,1,341,8.845003459,333955.6178,3682847.015,28.59318683,67.0540009
343,1,343,8.801795535,333985.6178,3682847.015,28.55180015,67.1418381
345,1,345,8.78509661,334015.6178,3682847.015,28.52835485,67.0613251
347,1,347,8.802524262,334045.6178,3682847.015,28.52927802,67.0162582
349,1,349,8.85130162,334075.6178,3682847.015,28.55295712,66.9227295
351,1,351,8.919236845,334105.6178,3682847.015,28.59113192,66.8637848
353,1,353,8.983896644,334135.6178,3682847.015,28.62994598,66.755043
355,1,355,9.016099855,334165.6178,3682847.015,28.65469174,66.850975
357,1,357,8.995307243,334195.6178,3682847.015,28.6614092,66.8536682
359,1,359,8.92955877,334225.6178,3682847.015,28.6666392,66.8732452
361,1,361,8.783978512,334315.6178,3682847.015,28.85738358,66.7574158
363,1,363,8.783018301,334345.6178,3682847.015,28.91571406,66.680069
365,1,365,8.781495158,334375.6178,3682847.015,28.89088688,66.7168274
367,1,367,8.780864299,334405.6178,3682847.015,28.78733475,66.6096878
369,1,369,8.788194349,334435.6178,3682847.015,28.68465966,66.2539978
371,1,371,8.789988504,334465.6178,3682847.015,28.62723336,66.3289948
436,1,436,8.486105959,333505.6178,3682877.015,28.5406671,67.5861053
438,1,438,8.579231686,333535.6178,3682877.015,28.62764768,67.1609192
440,1,440,8.657433551,333565.6178,3682877.015,28.70195092,67.1404648
442,1,442,8.698139606,333595.6178,3682877.015,28.74083251,67.1119461
444,1,444,8.688518967,333625.6178,3682877.015,28.72738277,66.9948196
446,1,446,8.643476992,333655.6178,3682877.015,28.66962864,67.0503845
448,1,448,8.598786629,333685.6178,3682877.015,28.59855775,67.1371765
450,1,450,8.585443438,333715.6178,3682877.015,28.5452577,67.0701447
452,1,452,8.616920057,333745.6178,3682877.015,28.52659304,67.0373383
454,1,454,8.692423473,333775.6178,3682877.015,28.54638854,67.1139755
456,1,456,8.800707722,333805.6178,3682877.015,28.5990633,67.0418549
458,1,458,8.917848056,333835.6178,3682877.015,28.66838191,67.079071
460,1,460,9.005728237,333865.6178,3682877.015,28.7253988,67.1534348
462,1,462,9.027694845,333895.6178,3682877.015,28.73887414,67.1671143
464,1,464,8.980459107,333925.6178,3682877.015,28.70049896,67.0401306
466,1,466,8.900869329,333955.6178,3682877.015,28.63402602,66.8558884
468,1,468,8.833689067,333985.6178,3682877.015,28.57276191,67.1297455
470,1,470,8.805647938,334015.6178,3682877.015,28.53807613,67.1539993
472,1,472,8.82510638,334045.6178,3682877.015,28.53707224,67.0514145
474,1,474,8.889161437,334075.6178,3682877.015,28.56746812,66.8037872
476,1,476,8.984745885,334105.6178,3682877.015,28.61937305,66.6962891
478,1,478,9.083090522,334135.6178,3682877.015,28.67367809,66.887886
480,1,480,9.138430371,334165.6178,3682877.015,28.70486302,66.996788
482,1,482,9.112145797,334195.6178,3682877.015,28.69919652,67.138649
484,1,484,9.014640582,334225.6178,3682877.015,28.67588358,66.9711533
486,1,486,8.902305635,334255.6178,3682877.015,28.67259524,66.7609863
488,1,488,8.823353592,334285.6178,3682877.015,28.70590615,67.0481567
490,1,490,8.787232813,334315.6178,3682877.015,28.75650022,66.7000961
492,1,492,8.777811267,334345.6178,3682877.015,28.78406079,66.8833542
