"x1","x2"
333392.856703163,3683011.13617151
333796.434614311,3682821.57210773
334200.01252546,3683143.18346125
333584.168970766,3683414.71408266
333987.746881915,3683225.15001888
334391.324793064,3683546.76137239
332396.620740002,3683973.34660442
333607.354473449,3683818.2919938
334010.932384598,3683628.72793002
332035.454514766,3684376.92451557
332439.032425915,3684173.72336455
332842.610337064,3684264.22025445
333246.188248213,3684221.86990495
333649.766159362,3684032.30584117
334053.34407051,3684353.91719469
332230.200627635,3684780.50242672
332633.778538784,3684577.30127569
333037.356449933,3684667.7981656
333440.934361082,3684625.4478161
333844.512272231,3684435.88375232
332377.229531709,3685184.08033787
332780.807442858,3684980.87918684
