POINT_Z,POINT_X,POINT_Y
67.5494766,333623.6178,3682667.015
67.5475922,333625.6178,3682667.015
67.5455399,333627.6178,3682667.015
67.5432434,333629.6178,3682667.015
67.5404968,333631.6178,3682667.015
67.5369415,333633.6178,3682667.015
67.5330963,333635.6178,3682667.015
67.5292969,333637.6178,3682667.015
67.5259247,333639.6178,3682667.015
67.5235367,333641.6178,3682667.015
67.5215988,333643.6178,3682667.015
67.5199127,333645.6178,3682667.015
67.5183716,333647.6178,3682667.015
67.516922,333649.6178,3682667.015
67.5155182,333651.6178,3682667.015
67.5141373,333653.6178,3682667.015
67.552269,333621.6178,3682669.015
67.5505524,333623.6178,3682669.015
67.5486984,333625.6178,3682669.015
67.5466995,333627.6178,3682669.015
67.5445251,333629.6178,3682669.015
67.5420151,333631.6178,3682669.015
67.3824081,333633.6178,3682669.015
67.3807983,333635.6178,3682669.015
67.379364,333637.6178,3682669.015
67.5234756,333639.6178,3682669.015
67.5215149,333641.6178,3682669.015
67.5197601,333643.6178,3682669.015
67.5181885,333645.6178,3682669.015
67.5167465,333647.6178,3682669.015
67.5153732,333649.6178,3682669.015
67.5140381,333651.6178,3682669.015
67.5127182,333653.6178,3682669.015
67.5562973,333617.6178,3682671.015
67.5548248,333619.6178,3682671.015
67.5532837,333621.6178,3682671.015
67.5516052,333623.6178,3682671.015
67.5497589,333625.6178,3682671.015
67.5477905,333627.6178,3682671.015
67.5458298,333629.6178,3682671.015
67.3853455,333631.6178,3682671.015
67.3824463,333633.6178,3682671.015
67.380188,333635.6178,3682671.015
67.3781967,333637.6178,3682671.015
67.5208893,333639.6178,3682671.015
67.5194626,333641.6178,3682671.015
67.5179825,333643.6178,3682671.015
67.5165405,333645.6178,3682671.015
67.5151825,333647.6178,3682671.015
67.5138702,333649.6178,3682671.015
67.5125961,333651.6178,3682671.015
67.5113297,333653.6178,3682671.015
67.5100632,333655.6178,3682671.015
67.5585403,333615.6178,3682673.015
67.5571594,333617.6178,3682673.015
67.5557632,333619.6178,3682673.015
67.5542908,333621.6178,3682673.015
67.5526581,333623.6178,3682673.015
67.5507431,333625.6178,3682673.015
67.5486755,333627.6178,3682673.015
67.3914108,333629.6178,3682673.015
67.3865585,333631.6178,3682673.015
67.3827744,333633.6178,3682673.015
67.3797379,333635.6178,3682673.015
67.3771362,333637.6178,3682673.015
67.3746414,333639.6178,3682673.015
67.5178528,333641.6178,3682673.015
67.5164261,333643.6178,3682673.015
67.5150452,333645.6178,3682673.015
67.5137253,333647.6178,3682673.015
67.5124512,333649.6178,3682673.015
67.5112152,333651.6178,3682673.015
67.5099869,333653.6178,3682673.015
67.5087585,333655.6178,3682673.015
67.5620346,333611.6178,3682675.015
67.5606766,333613.6178,3682675.015
67.5593338,333615.6178,3682675.015
67.5580063,333617.6178,3682675.015
67.5566864,333619.6178,3682675.015
67.5553131,333621.6178,3682675.015
67.5538101,333623.6178,3682675.015
67.4098358,333625.6178,3682675.015
67.4015656,333627.6178,3682675.015
67.393959,333629.6178,3682675.015
67.3879776,333631.6178,3682675.015
67.3831863,333633.6178,3682675.015
67.3792419,333635.6178,3682675.015
67.3758774,333637.6178,3682675.015
67.3728943,333639.6178,3682675.015
67.3701706,333641.6178,3682675.015
67.5150223,333643.6178,3682675.015
67.5136642,333645.6178,3682675.015
67.5123672,333647.6178,3682675.015
67.511116,333649.6178,3682675.015
67.5098953,333651.6178,3682675.015
67.5086975,333653.6178,3682675.015
67.5074921,333655.6178,3682675.015
67.5641174,333609.6178,3682677.015
67.5627899,333611.6178,3682677.015
67.5614471,333613.6178,3682677.015
67.560112,333615.6178,3682677.015
67.558815,333617.6178,3682677.015
67.557579,333619.6178,3682677.015
67.5563126,333621.6178,3682677.015
67.4210739,333623.6178,3682677.015
67.4134216,333625.6178,3682677.015
67.404747,333627.6178,3682677.015
67.3963318,333629.6178,3682677.015
67.3892136,333631.6178,3682677.015
67.3833923,333633.6178,3682677.015
67.3785629,333635.6178,3682677.015
67.3744431,333637.6178,3682677.015
67.3708954,333639.6178,3682677.015
67.3679047,333641.6178,3682677.015
67.3654633,333643.6178,3682677.015
67.5123596,333645.6178,3682677.015
67.5110703,333647.6178,3682677.015
67.5098267,333649.6178,3682677.015
67.5086136,333651.6178,3682677.015
67.5074387,333653.6178,3682677.015
67.5062637,333655.6178,3682677.015
67.5050735,333657.6178,3682677.015
67.5674362,333605.6178,3682679.015
67.5661697,333607.6178,3682679.015
67.5648804,333609.6178,3682679.015
67.5635681,333611.6178,3682679.015
67.5622253,333613.6178,3682679.015
67.5608749,333615.6178,3682679.015
67.5595703,333617.6178,3682679.015
67.5584259,333619.6178,3682679.015
67.433342,333621.6178,3682679.015
67.4273453,333623.6178,3682679.015
67.418663,333625.6178,3682679.015
67.4082031,333627.6178,3682679.015
67.39814,333629.6178,3682679.015
67.3897552,333631.6178,3682679.015
67.3830185,333633.6178,3682679.015
67.3774948,333635.6178,3682679.015
67.3727722,333637.6178,3682679.015
67.3687439,333639.6178,3682679.015
67.3655243,333641.6178,3682679.015
67.3631363,333643.6178,3682679.015
67.3615112,333645.6178,3682679.015
67.5097885,333647.6178,3682679.015
67.5085449,333649.6178,3682679.015
67.5073395,333651.6178,3682679.015
67.5061874,333653.6178,3682679.015
67.505043,333655.6178,3682679.015
67.5038834,333657.6178,3682679.015
67.5693665,333603.6178,3682681.015
67.568161,333605.6178,3682681.015
67.566925,333607.6178,3682681.015
67.5656662,333609.6178,3682681.015
67.5643921,333611.6178,3682681.015
67.5630646,333613.6178,3682681.015
67.5616379,333615.6178,3682681.015
67.5602112,333617.6178,3682681.015
67.4403687,333619.6178,3682681.015
67.4402084,333621.6178,3682681.015
67.4348831,333623.6178,3682681.015
67.4246674,333625.6178,3682681.015
67.4109421,333627.6178,3682681.015
67.3984299,333629.6178,3682681.015
67.3887939,333631.6178,3682681.015
67.3814926,333633.6178,3682681.015
67.375679,333635.6178,3682681.015
67.3706741,333637.6178,3682681.015
67.3663635,333639.6178,3682681.015
67.3631516,333641.6178,3682681.015
67.3609543,333643.6178,3682681.015
67.3596878,333645.6178,3682681.015
67.359108,333647.6178,3682681.015
67.507225,333649.6178,3682681.015
67.5060043,333651.6178,3682681.015
67.5049133,333653.6178,3682681.015
67.5038223,333655.6178,3682681.015
67.5027008,333657.6178,3682681.015
67.5711975,333601.6178,3682683.015
67.5700684,333603.6178,3682683.015
67.5688934,333605.6178,3682683.015
67.567688,333607.6178,3682683.015
67.5664597,333609.6178,3682683.015
67.5652542,333611.6178,3682683.015
67.5640182,333613.6178,3682683.015
67.4312897,333615.6178,3682683.015
67.4371872,333617.6178,3682683.015
67.4442062,333619.6178,3682683.015
67.4466705,333621.6178,3682683.015
67.4424973,333623.6178,3682683.015
67.4305649,333625.6178,3682683.015
67.4110413,333627.6178,3682683.015
67.3954697,333629.6178,3682683.015
67.3852234,333631.6178,3682683.015
67.3781128,333633.6178,3682683.015
67.3634644,333639.6178,3682683.015
67.3606491,333641.6178,3682683.015
67.3589478,333643.6178,3682683.015
67.3582611,333645.6178,3682683.015
67.3581772,333647.6178,3682683.015
67.3584595,333649.6178,3682683.015
67.5045547,333651.6178,3682683.015
67.5036011,333653.6178,3682683.015
67.502594,333655.6178,3682683.015
67.5015182,333657.6178,3682683.015
67.5003891,333659.6178,3682683.015
67.5739899,333597.6178,3682685.015
67.5729294,333599.6178,3682685.015
67.5718613,333601.6178,3682685.015
67.5707626,333603.6178,3682685.015
67.5696182,333605.6178,3682685.015
67.5684128,333607.6178,3682685.015
67.5671997,333609.6178,3682685.015
67.5660858,333611.6178,3682685.015
67.4400177,333613.6178,3682685.015
67.4327164,333615.6178,3682685.015
67.4398804,333617.6178,3682685.015
67.4473343,333619.6178,3682685.015
67.4518585,333621.6178,3682685.015
67.4494019,333623.6178,3682685.015
67.4364471,333625.6178,3682685.015
67.4052277,333627.6178,3682685.015
67.3870468,333629.6178,3682685.015
67.3781586,333631.6178,3682685.015
67.3595123,333639.6178,3682685.015
67.3577194,333641.6178,3682685.015
67.3568192,333643.6178,3682685.015
67.3571243,333645.6178,3682685.015
67.3577118,333647.6178,3682685.015
67.3585358,333649.6178,3682685.015
67.5030594,333651.6178,3682685.015
67.5023041,333653.6178,3682685.015
67.5013733,333655.6178,3682685.015
67.5003357,333657.6178,3682685.015
67.4992294,333659.6178,3682685.015
67.5756149,333595.6178,3682687.015
67.574585,333597.6178,3682687.015
67.5735474,333599.6178,3682687.015
67.5725098,333601.6178,3682687.015
67.5714569,333603.6178,3682687.015
67.570343,333605.6178,3682687.015
67.5690918,333607.6178,3682687.015
67.5677872,333609.6178,3682687.015
67.8840179,333611.6178,3682687.015
67.4540024,333613.6178,3682687.015
67.4540024,333615.6178,3682687.015
67.4540024,333617.6178,3682687.015
67.4511566,333619.6178,3682687.015
67.4540024,333621.6178,3682687.015
67.4540024,333623.6178,3682687.015
67.4444504,333625.6178,3682687.015
67.3881836,333627.6178,3682687.015
67.3539963,333641.6178,3682687.015
67.3539963,333643.6178,3682687.015
