Longitude,Latitude,ElevationBottom
-88.7818380973194,33.2779075727448,-2
-88.7818288528413,33.2778600848989,-2
-88.7818241832294,33.277813808858,-2
-88.7818194846948,33.2777671003116,-2
-88.7818145847714,33.2777215301256,-2.1
-88.7818091888625,33.2776780149922,-2.1
-88.7818025298113,33.2776305868696,-2
-88.7817960017038,33.2775857727429,-2.1
-88.7817893769978,33.2775415895602,-2
-88.7817828294966,33.2774946927748,-2.1
-88.7817765584858,33.277448353732,-2
-88.7817701004998,33.2774020340612,-2.1
-88.7817635307383,33.2773557257724,-2
-88.7817568450051,33.2773093752481,-2
-88.7817491283884,33.2772629674486,-2.1
-88.7817492331151,33.2772191293008,-2.1
-88.7817503016971,33.2771724551727,-2.1
-88.7817513676979,33.2771261186289,-2.1
-88.7817524326663,33.2770814734318,-2.1
-88.7817535058943,33.2770366049476,-2.1
-88.7817545636355,33.2769902402808,-2.1
-88.7817556296364,33.2769439040927,-2.1
-88.7817566977021,33.2768976708004,-2.1
-88.7817597843243,33.2768502386493,-2.1
-88.7817649638214,33.2768038611358,-2.1
-88.7817712638806,33.276757465566,-2.1
-88.7817786828134,33.2767110712353,-2.2
-88.781786902818,33.2766646537967,-2.1
-88.7817925984587,33.2766173114451,-2.2
-88.7817895461524,33.2765710072396,-2.1
-88.7817864730111,33.2765245100174,-2.2
-88.7817832022328,33.2764783510228,-2.1
-88.7817794072728,33.2764308047583,-2.1
-88.7817756286783,33.2763844338966,-2.2
-88.7817716505687,33.2763381295665,-2.2
-88.7817676455113,33.2762910295897,-2.1
-88.781764155286,33.2762443199522,-2.2
-88.7817609659887,33.2761969763264,-2.1
-88.7817577751395,33.2761516926141,-2.2
-88.7817546764181,33.2761052838385,-2.2
-88.7817515723985,33.2760589467867,-2.1
-88.7817484444327,33.276011602133,-2.2
-88.7817477507629,33.2759651837527,-2.1
-88.7817472086883,33.2759188106363,-2.2
-88.781746657632,33.2758723602868,-2.2
-88.7817461102741,33.2758260532002,-2.1
-88.7817455597461,33.2757750260097,-2.2
-88.7817450129164,33.2757279919205,-2.1
-88.7817444629168,33.2756816713283,-2.1
-88.7817439168797,33.2756340034735,-2.2
-88.7817433843152,33.2755884125266,-2.2
-88.7817428419764,33.2755402012207,-2.2
-88.7817422906559,33.2754930329819,-2.1
-88.7817417506947,33.2754467290115,-2.1
-88.7817411964683,33.2753992474523,-2.1
-88.7817406462045,33.2753525709983,-2.1
-88.7817400980541,33.2753054889165,-2.1
-88.7817395549228,33.2752591208611,-2.1
-88.7817398989908,33.2752128220511,-2.1
-88.7817411077701,33.2751652825011,-2.1
-88.7817423032852,33.2751191000004,-2.1
-88.7817435068742,33.2750715322433,-2.1
-88.7817446983523,33.2750252081076,-2.1
-88.7817459048249,33.2749788918665,-2.2
-88.7817470882291,33.2749325323345,-2.1
-88.7817482693265,33.2748861397914,-2.1
-88.7817500204188,33.2748397301101,-2.1
-88.7817517698208,33.2747932187667,-2.1
-88.7817535031656,33.2747477984996,-2.2
-88.7817552373555,33.2747007474346,-2.1
-88.7817570095758,33.2746534106506,-2.2
-88.7817610803728,33.2746058637095,-2.1
-88.7817654730954,33.2745623353593,-2.1
-88.7817710997859,33.2745139766619,-2.2
-88.7817747135417,33.2744657937218,-2.2
-88.7817730111069,33.2744225667214,-2.1
-88.7817713209492,33.2743762855444,-2.1
-88.7817696438872,33.2743291691546,-2.2
-88.7817679299936,33.2742806320853,-2.1
-88.7817662349251,33.274232918275,-2.2
-88.7817623334378,33.2741858176877,-2.2
-88.7817584319505,33.2741392073237,-2.2
-88.7817547868368,33.2740930706728,-2.2
-88.781751197182,33.2740464960832,-2.2
-88.7817485132171,33.2739990027464,-2.2
-88.7817497562724,33.2739528320165,-2.3
-88.7817510180885,33.2739062342052,-2.3
-88.7817522756683,33.2738594623728,-2.3
-88.7817535302221,33.2738154353161,-2.3
-88.7817547908279,33.2737670505325,-2.2
-88.7817560568803,33.2737186051048,-2.2
-88.7817573782692,33.273672440057,-2.3
-88.781759779623,33.2736292640077,-2.2
-88.7817621751905,33.2735813554671,-2.2
