"","ElevationBottom","Longitude","Latitude","optional"
"1",-2,334105.56537396,3683465.7701777,TRUE
"2",-2.1,334106.097315492,3683460.62629142,TRUE
"3",-2,334106.554439523,3683455.07530708,TRUE
"4",-2,334106.967422945,3683449.84469695,TRUE
"5",-2.1,334107.333139777,3683444.37992843,TRUE
"6",-2,334107.645043872,3683439.0714604,TRUE
"7",-2.1,334107.699129088,3683433.4553902,TRUE
"8",-2.1,334107.761908169,3683428.30646008,TRUE
"9",-2.1,334107.816005793,3683422.6868502,TRUE
"10",-2,334107.877637872,3683417.55107862,TRUE
"11",-2.1,334107.932406639,3683411.94114138,TRUE
"12",-2.1,334108.122197779,3683406.20233184,TRUE
"13",-2.1,334108.412833599,3683401.0350905,TRUE
"14",-2.1,334108.751051132,3683395.90168343,TRUE
"15",-2.1,334109.173264594,3683390.26658835,TRUE
"16",-2.1,334109.592147505,3683385.05048366,TRUE
"17",-2.1,334110.014059077,3683379.85721361,TRUE
"18",-2,334110.471277402,3683374.68511253,TRUE
"19",-2.1,334110.890585347,3683369.43265544,TRUE
"20",-2.1,334111.278319361,3683363.81379607,TRUE
"21",-2.1,334111.35406058,3683358.65664462,TRUE
"22",-2.1,334111.358836729,3683353.04348283,TRUE
"23",-2.1,334111.364367972,3683347.45744452,TRUE
"24",-2.1,334111.371795758,3683342.00821027,TRUE
"25",-2.1,334111.381000625,3683336.57753548,TRUE
"26",-2.1,334111.388567066,3683331.13069538,TRUE
"27",-2.1,334111.399393809,3683325.90343659,TRUE
"28",-2.1,334111.40536309,3683320.28880316,TRUE
"29",-2.1,334111.495066185,3683315.13605613,TRUE
"30",-2.1,334111.649450358,3683309.99738673,TRUE
"31",-2.1,334111.793432795,3683304.3788689,TRUE
"32",-2.1,334111.98350262,3683299.11150444,TRUE
"33",-2.1,334112.567955994,3683293.96217733,TRUE
"34",-2.1,334112.955101158,3683288.80849183,TRUE
"35",-2.2,334113.300685231,3683283.54528539,TRUE
"36",-2.2,334113.496313409,3683277.92434009,TRUE
"37",-2.2,334113.688993353,3683272.72159397,TRUE
"38",-2.2,334113.878505632,3683267.61853304,TRUE
"39",-2.2,334113.699135615,3683262.4707932,TRUE
"40",-2.2,334113.479793577,3683256.88185299,TRUE
"41",-2.2,334113.264621229,3683251.62846513,TRUE
"42",-1.9,334113.053325043,3683246.48652607,TRUE
"43",-2.2,334112.836376616,3683241.13606325,TRUE
"44",-2.3,334112.623368554,3683235.90782521,TRUE
"45",-2.3,334112.367958634,3683230.4758222,TRUE
"46",-2.4,334111.960632844,3683225.34619301,TRUE
"47",-2.3,334111.543642442,3683219.81329725,TRUE
"48",-2.2,334111.064742559,3683214.59611969,TRUE
"49",-2.2,334110.537959511,3683209.35107243,TRUE
"50",-2.2,334110.119880378,3683204.22088265,TRUE
"51",-2.2,334109.747985368,3683198.60447555,TRUE
"52",-2.1,334109.379051941,3683193.45309869,TRUE
"53",-2.1,334109.129649806,3683188.32148904,TRUE
"54",-2.1,334108.927056043,3683182.71508278,TRUE
"55",-2.1,334108.733111442,3683177.61860685,TRUE
"56",-2.1,334108.53879512,3683172.42771868,TRUE
"57",-2.1,334108.343896132,3683167.28741395,TRUE
"58",-2.1,334108.14191808,3683161.68380505,TRUE
"59",-2.1,334107.946246143,3683156.52846086,TRUE
"60",-2.2,334107.749453214,3683151.27715764,TRUE
"61",-2.1,334107.320088274,3683146.15573413,TRUE
"62",-2.1,334106.830930773,3683140.6597783,TRUE
"63",-2.2,334106.42877011,3683135.47338901,TRUE
"64",-2.2,334106.056320869,3683130.26631789,TRUE
"65",-2.2,334105.690526597,3683124.78762876,TRUE
"66",-2.2,334105.356744053,3683119.63752993,TRUE
"67",-2.2,334105.037958798,3683114.37622713,TRUE
"68",-2.2,334104.715790309,3683108.82661426,TRUE
"69",-2.2,334104.414131546,3683103.74923143,TRUE
"70",-2.2,334104.485691533,3683098.24514977,TRUE
"71",-2.2,334104.562257766,3683092.93083199,TRUE
"72",-2.2,334104.633542836,3683087.37292095,TRUE
"73",-2.2,334104.711780743,3683082.24132259,TRUE
"74",-2.3,334104.789438845,3683076.96739409,TRUE
"75",-2.2,334104.574227835,3683071.47175962,TRUE
"76",-2.2,334104.365124601,3683066.33063342,TRUE
"77",-2.2,334104.146864863,3683060.71508596,TRUE
"78",-2.2,334103.933531114,3683055.45391989,TRUE
"79",-2.2,334103.723280898,3683050.32162386,TRUE
"80",-2.3,334103.504180325,3683044.70519358,TRUE
"81",-2.2,334103.249103716,3683039.56947134,TRUE
"82",-2.2,334102.751312184,3683034.37561765,TRUE
"83",-2.2,334102.246207847,3683029.29341152,TRUE
"84",-2.2,334101.634973007,3683023.69045174,TRUE
"85",-2.2,334101.079077305,3683018.4457228,TRUE
"86",-2.3,334100.572138141,3683013.30787414,TRUE
"87",-2.3,334100.211007879,3683007.70303102,TRUE
"88",-2.3,334100.019441371,3683002.50881342,TRUE
"89",-2.3,334099.82030249,3682996.859265,TRUE
"90",-2.3,334099.629983368,3682991.68338634,TRUE
"91",-2.3,334099.439517209,3682986.52483201,TRUE
"92",-2.3,334099.249962338,3682981.38509642,TRUE
"93",-2.2,334099.051523079,3682975.74484266,TRUE
"94",-2.2,334098.86077374,3682970.52933616,TRUE
"95",-2.2,334098.633256948,3682965.39546903,TRUE
"96",-2.2,334098.307491716,3682959.79549742,TRUE
"97",-2.1,334097.990428756,3682954.44806626,TRUE
"98",-2.2,334097.670868905,3682949.03155264,TRUE
"99",-2.2,334097.425226909,3682943.85766433,TRUE
"100",-2.2,334097.213536609,3682938.21169568,TRUE
"101",-2.3,334097.012290206,3682933.04228558,TRUE
"102",-2.2,334096.80961018,3682927.87921305,TRUE
"103",-2.2,334096.601496579,3682922.32346557,TRUE
"104",-2.5,334096.399088663,3682917.12793587,TRUE
"105",-2.3,334096.196814687,3682912.01770742,TRUE
"106",-2.3,334095.943618418,3682906.38074803,TRUE
"107",-2.3,334095.597965303,3682901.12713178,TRUE
"108",-2.4,334095.248849647,3682895.63440094,TRUE
"109",-2.6,334094.901423334,3682890.45664913,TRUE
"110",-2.5,334094.422068805,3682885.70965475,TRUE
"111",-2.7,334093.943688078,3682880.94151732,TRUE
"112",-2.7,334093.384076203,3682876.1436385,TRUE
"113",-2.7,334092.826327278,3682871.37458097,TRUE
"114",-2.6,334092.307752924,3682866.97371117,TRUE
"115",-2.6,334091.779489569,3682862.68243968,TRUE
"116",-2.5,334091.200095637,3682857.9602852,TRUE
"117",-2.5,334090.649479059,3682853.61487598,TRUE
"118",-2.4,334090.11575576,3682848.834946,TRUE
"119",-2.4,334089.596453805,3682844.0890983,TRUE
"120",-2.4,334089.092808246,3682839.60894925,TRUE
"121",-2.4,334088.613736423,3682835.10673785,TRUE
"122",-2.4,334088.138409714,3682830.49431765,TRUE
"123",-2.3,334087.583660211,3682826.01932837,TRUE
"124",-2.3,334086.994278905,3682822.11062923,TRUE
"125",-2.3,334086.252916678,3682817.9679966,TRUE
"126",-2.2,334084.883381144,3682814.51221617,TRUE
"127",-2.2,334082.859399459,3682811.60295769,TRUE
"128",-2.1,334080.287760532,3682809.72426231,TRUE
"129",-2,334077.355120283,3682808.13023075,TRUE
"130",-2,334074.16819512,3682807.26911442,TRUE
"131",-2,334070.976853101,3682807.71933875,TRUE
"132",-2.1,334067.567256215,3682808.49413386,TRUE
"133",-2.2,334064.399575511,3682809.96923026,TRUE
"134",-2.2,334061.615433748,3682812.47075812,TRUE
"135",-2.2,334059.465124027,3682815.70531482,TRUE
"136",-2.3,334058.081406312,3682819.19724709,TRUE
"137",-2.3,334057.202936434,3682823.21020372,TRUE
"138",-2.3,334056.453994402,3682827.29678043,TRUE
"139",-2.3,334055.906455532,3682831.25217016,TRUE
"140",-2.4,334055.474815283,3682835.56430042,TRUE
"141",-2.4,334055.680582086,3682839.50592866,TRUE
"142",-2.4,334055.886512532,3682843.42605493,TRUE
"143",-2.4,334056.101373783,3682847.8617145,TRUE
"144",-2.4,334056.312973012,3682852.16842422,TRUE
"145",-2.5,334056.517149048,3682856.11013159,TRUE
"146",-2.4,334056.721360549,3682860.01894009,TRUE
"147",-2.4,334057.561154689,3682863.70297555,TRUE
"148",-2.6,334058.39859928,3682868.1564805,TRUE
"149",-2.4,334059.23559456,3682872.08189573,TRUE
"150",-2.4,334060.057954649,3682876.38107121,TRUE
"151",-2.4,334060.770473675,3682880.67061809,TRUE
"152",-2.5,334061.396778534,3682885.0086395,TRUE
"153",-2.5,334061.931385249,3682889.37683436,TRUE
"154",-2.5,334062.418995024,3682894.03405703,TRUE
"155",-2.6,334062.779687678,3682898.33046331,TRUE
"156",-2.8,334063.150783845,3682903.11363967,TRUE
"157",-2.4,334063.614951124,3682907.40520094,TRUE
"158",-2.4,334064.234633996,3682911.82342371,TRUE
"159",-2.3,334064.959768662,3682916.4567799,TRUE
"160",-2.2,334065.618500285,3682920.76254428,TRUE
"161",-2.2,334066.240364133,3682925.1622011,TRUE
"162",-2.3,334066.895072111,3682929.94742857,TRUE
"163",-2.2,334067.496869976,3682934.63906651,TRUE
"164",-2.2,334068.061764074,3682939.37300589,TRUE
"165",-2.2,334068.627211668,3682944.1463411,TRUE
"166",-2.1,334069.190174059,3682948.43444826,TRUE
"167",-2.2,334069.803767257,3682953.2023346,TRUE
"168",-2.2,334070.187577569,3682958.34816425,TRUE
"169",-2.2,334070.376035693,3682962.8283499,TRUE
"170",-2.2,334070.566732586,3682967.430267,TRUE
"171",-2.2,334070.760724045,3682972.2126318,TRUE
"172",-2.2,334070.961593537,3682977.36651333,TRUE
"173",-2.2,334071.156514387,3682982.24431973,TRUE
"174",-2.2,334071.347340683,3682986.9168701,TRUE
"175",-2.3,334071.56933929,3682991.68879052,TRUE
"176",-2.3,334072.124731075,3682996.46018202,TRUE
"177",-2.2,334072.702738334,3683000.86814578,TRUE
"178",-2.3,334073.338822711,3683005.58196507,TRUE
"179",-2.3,334073.954314795,3683009.9335392,TRUE
"180",-2.3,334074.566443169,3683014.71060979,TRUE
"181",-2.3,334075.129620267,3683019.36223381,TRUE
"182",-2.3,334075.699143962,3683024.25532553,TRUE
"183",-2.3,334076.263681884,3683029.02802672,TRUE
"184",-2.2,334076.82943068,3683033.79856357,TRUE
"185",-2.3,334077.394716158,3683038.43943352,TRUE
"186",-2.3,334078.050916402,3683043.22403388,TRUE
"187",-2.2,334078.680838763,3683047.88212839,TRUE
"188",-2.2,334079.300226312,3683052.63033588,TRUE
"189",-2.2,334079.815262786,3683057.42097814,TRUE
"190",-2.3,334080.274101989,3683062.37605417,TRUE
"191",-2.2,334080.388762628,3683067.34187512,TRUE
"192",-2.3,334080.502540818,3683071.99899685,TRUE
"193",-2.3,334080.626452538,3683077.50522751,TRUE
"194",-2.3,334080.737900104,3683082.28275198,TRUE
"195",-2.2,334080.849559149,3683087.05829444,TRUE
"196",-2.3,334080.961071723,3683091.84300199,TRUE
"197",-2.2,334081.072637648,3683096.62153366,TRUE
"198",-2.2,334081.185691846,3683101.48727314,TRUE
"199",-2.2,334081.295811077,3683106.17595009,TRUE
"200",-2.2,334081.405082731,3683110.84285227,TRUE
"201",-2.2,334081.51650664,3683115.61896442,TRUE
"202",-2.2,334081.625468403,3683120.27361784,TRUE
"203",-2.1,334081.735609281,3683125.00581537,TRUE
"204",-2.2,334081.850123535,3683129.94356415,TRUE
"205",-2.2,334081.958330607,3683134.52862252,TRUE
"206",-2.2,334082.069460943,3683139.28328669,TRUE
"207",-2.1,334082.183094399,3683144.16687432,TRUE
"208",-2.2,334082.292966903,3683148.85289529,TRUE
"209",-2.2,334082.404025732,3683153.61603802,TRUE
"210",-2.2,334082.51006566,3683158.0563355,TRUE
"211",-2.1,334082.621989149,3683162.84308852,TRUE
"212",-2.2,334082.733430249,3683167.61086832,TRUE
"213",-2.2,334082.840880892,3683172.17101612,TRUE
"214",-2.2,334082.945863597,3683176.57639918,TRUE
"215",-2.1,334083.057958634,3683181.38079753,TRUE
"216",-2.2,334083.168902955,3683186.13466911,TRUE
"217",-2.1,334083.278330933,3683190.7988359,TRUE
"218",-2.2,334083.442288958,3683195.22780997,TRUE
"219",-2.1,334083.715004491,3683199.99779717,TRUE
"220",-2.1,334083.986062581,3683204.75748689,TRUE
"221",-2.1,334084.251802549,3683209.06446898,TRUE
"222",-2.1,334084.521166252,3683213.7357345,TRUE
"223",-2.2,334084.787409403,3683218.39229652,TRUE
"224",-2.2,334085.051594991,3683222.78831458,TRUE
"225",-2.2,334085.323698655,3683227.5895316,TRUE
"226",-2.2,334085.585780883,3683231.88903119,TRUE
"227",-2.2,334085.685831788,3683236.67354768,TRUE
"228",-2.2,334085.635609786,3683241.17439814,TRUE
"229",-2.2,334085.588321303,3683245.76892886,TRUE
"230",-2.2,334085.539789213,3683250.34389657,TRUE
"231",-2.1,334085.500449311,3683255.30463743,TRUE
"232",-2.1,334085.448568536,3683259.63003496,TRUE
"233",-2.1,334085.402884981,3683264.29012354,TRUE
"234",-2.1,334085.447644895,3683269.20284892,TRUE
"235",-2.1,334085.499123263,3683273.85669451,TRUE
