Location,Start Date/Time,End Date/Time,Score
WCS_2,1/24/2020 16:00,7/26/2020 0:00,1
Notch_1,1/24/2020 16:00,5/23/2020 8:00,1
Notch_1,5/23/2020 8:30,5/25/2020 3:00,0
Notch_1,5/25/2020 4:00,5/26/2020 7:00,1
Notch_1,5/26/2020 7:30,5/28/2020 5:00,0
Notch_1,5/28/2020 5:30,5/30/2020 11:00,1
Notch_1,5/30/2020 11:30,6/8/2020 23:30,0
Notch_1,6/9/2020 0:00,6/13/2020 18:30,1
Notch_1,6/13/2020 19:00,6/23/2020 7:00,0
Notch_1,6/23/2020 7:30,6/30/2020 16:00,1
Notch_1,6/30/2020 16:30,7/2/2020 8:30,0
Notch_1,7/2/2020 9:00,7/16/2020 8:00,1
Notch_1,7//16/2020 8:30,7/23/2020 1:00,0
Notch_1,7/23/2020 1:30,7/23/2020 20:30,1
Notch_1,7/23/2020 21:00,7/26/2020 0:00,0
Notch_2,1/28/2020 12:00,2/6/2020 12:30,0
Notch_2,2/6/2020 12:30,2/7/2020 22:36,1
Notch_2,2/7/2020 23:00,2/10/2020 17:30,-1
Notch_2,2/10/2020 18:00,2/14/2020 15:00,1
Notch_2,2/14/2020 15:00,2/16/2020 0:00,-1
Notch_2,2/16/2020 0:00,2/19/2020 10:00,0
Notch_2,2/19/2020 10:30,2/21/2020 22:00,1
Notch_2,2/21/2020 22:00,2/23/2020 17:30,-1
Notch_2,2/23/2020 18:00,3/1/2020 14:00,0
Notch_2,5/20/2020 13:00,7/26/2020 0:00,0
Bridge_1,4/2/2020 18:00,7/26/2020 0:00,1
Bridge_2,4/3/2020 9:30,4/11/2020 16:00,-1
Bridge_2,4/11/2020 16:00,4/27/2020 10:00,1
Bridge_2,4/28/2020 12:30,5/22/2020 13:30,-1
Bridge_2,5/22/2020 14:00,5/28/2020 15:00,1
Bridge_2,5/28/2020 15:30,6/4/2020 13:00,-1
Bridge_2,6/4/2020 13:30,6/9/2020 5:00,1
Bridge_2,6/9/2020 5:30,7/26/2020 0:00,-1
