TIME,DAY,START_SITE,START_DIR
7,6,S1,Counter Clockwise
2,11,S2,Clockwise
7,13,S3,Counter Clockwise
2,19,S3,Counter Clockwise
2,27,S2,Clockwise
2,28,S2,Clockwise
7,31,S1,Clockwise
