TIME,DAY,START_SITE,START_DIR
11,2,S2,Clockwise
3,3,S2,Counter Clockwise
11,4,S2,Counter Clockwise
11,5,S1,Counter Clockwise
7,7,S2,Clockwise
7,8,S1,Clockwise
7,10,S3,Clockwise
7,11,S2,Clockwise
3,12,S2,Counter Clockwise
11,13,S3,Counter Clockwise
3,15,S1,Counter Clockwise
11,16,S2,Clockwise
3,18,S3,Counter Clockwise
11,19,S3,Counter Clockwise
11,20,S3,Counter Clockwise
7,22,S3,Clockwise
