TIME,DAY,START_SITE,START_DIR
3,2,S3,Counter Clockwise
7,3,S3,Clockwise
11,5,S3,Counter Clockwise
7,6,S3,Clockwise
11,7,S2,Clockwise
3,8,S2,Clockwise
3,10,S1,Clockwise
11,11,S2,Counter Clockwise
11,12,S3,Counter Clockwise
11,13,S3,Counter Clockwise
7,15,S1,Counter Clockwise
3,17,S3,Clockwise
3,21,S1,Clockwise
3,22,S1,Counter Clockwise
3,27,S2,Clockwise
11,28,S1,Clockwise
