TIME,DAY,START_SITE,START_DIR
3,1,S3,Counter Clockwise
3,2,S1,Counter Clockwise
7,3,S2,Clockwise
7,5,S1,Clockwise
3,6,S3,Counter Clockwise
3,7,S2,Counter Clockwise
11,9,S2,Clockwise
11,10,S1,Counter Clockwise
3,12,S1,Clockwise
7,14,S3,Clockwise
7,15,S2,Counter Clockwise
7,24,S2,Clockwise
11,25,S2,Clockwise
11,27,S3,Counter Clockwise
3,28,S1,Counter Clockwise
7,30,S2,Clockwise
