"","Date","X","Discharge_cfs","Discharge_cms","year","month","day","DeltaCMS","meanCMS","DeltaVol","Date2","fishD","yr_month","volume"
"1",1945-01-01,NA,NA,NA,1945,1,1,NA,NA,-74829.947103447,1945-01-01,406800,"1945-1",101294378
"2",1945-01-02,1,1900,53.8020093,1945,1,2,-3.96435858,53.8020093,-59107.5834987156,1945-01-02,0,"1945-1",101235270.416501
"3",1945-01-03,2,1500,42.4752705,1945,1,3,-11.3267388,42.4752705,-50418.6917994863,1945-01-03,0,"1945-1",101184851.724702
"4",1945-01-04,3,1200,33.9802164,1945,1,4,-8.4950541,33.9802164,-44052.0821236715,1945-01-04,0,"1945-1",101140799.642578
"5",1945-01-05,4,900,25.4851623,1945,1,5,-8.4950541,25.4851623,-39059.5516923735,1945-01-05,0,"1945-1",101101740.090886
"6",1945-01-06,5,700,19.8217929,1945,1,6,-5.6633694,19.8217929,-35023.273323158,1945-01-06,0,"1945-1",101066716.817563
"7",1945-01-07,17462,2500,70.7921175,1945,1,7,50.9703246,70.7921175,56472.5661106674,1945-01-07,406800,"1945-1",100716389.383673
"8",1945-01-08,6,2400,67.9604328,1945,1,8,-2.83168470000001,67.9604328,-63081.2055763791,1945-01-08,0,"1945-1",100653308.178097
"9",1945-01-09,7,2300,65.1287481,1945,1,9,-2.8316847,65.1287481,-63449.8721529622,1945-01-09,0,"1945-1",100589858.305944
"10",1945-01-10,8,2000,56.633694,1945,1,10,-8.4950541,56.633694,-60829.4820240002,1945-01-10,0,"1945-1",100529028.82392
"11",1945-01-11,9,1500,42.4752705,1945,1,11,-14.1584235,42.4752705,-50418.6917994863,1945-01-11,0,"1945-1",100478610.13212
"12",1945-01-12,10,1000,28.316847,1945,1,12,-14.1584235,28.316847,-40661.172763427,1945-01-12,0,"1945-1",100437948.959357
"13",1945-01-13,11,560,15.85743432,1945,1,13,-12.45941268,15.85743432,-30649.3555022496,1945-01-13,0,"1945-1",100407299.603855
"14",1945-01-14,17463,640,18.12278208,1945,1,14,2.26534776,18.12278208,58216.7228051803,1945-01-14,406800,"1945-1",100058716.32666
"15",1945-01-15,17464,750,21.23763525,1945,1,15,3.11485317,21.23763525,61489.9143707667,1945-01-15,0,"1945-1",100120206.241031
"16",1945-01-16,12,640,18.12278208,1945,1,16,-3.11485317,18.12278208,-33349.3319685343,1945-01-16,0,"1945-1",100086856.909062
