"x1","x2"
-88.7872548876202,33.2717896746981
-88.7851210002764,33.2722681700832
-88.7829871129327,33.2720442458487
-88.7787193382451,33.2727424357956
-88.7862433386348,33.2739235620418
-88.784109451291,33.2744020574269
-88.7819755639473,33.2741781331925
-88.7798416766035,33.2731758277011
-88.7777077892597,33.2748763231394
-88.7818529723748,33.2763120205363
-88.779719085031,33.2753097150449
-88.7775851976873,33.2770102104832
-88.7816287238288,33.2774436023887
-88.779494836485,33.2791440978269
-88.7827329059929,33.2805797952238
-88.7805990186491,33.2795774897325
-88.7784651313053,33.2812779851707
-88.7819555019058,33.2827136825676
-88.7826831234117,33.2848475699114
