Longitude,Latitude,ElevationBottom
-88.780481694627,33.2758929457878,-2.1
-88.7804802356644,33.2758487450922,-2.1
-88.7804787689262,33.275802399654,-2.2
-88.7804773071361,33.2757619362682,-2.2
-88.7804758467597,33.2757162013624,-2.2
-88.7804743658843,33.2756730369542,-2.2
-88.7804729083353,33.2756300178918,-2.3
-88.7804687642998,33.2755855344187,-2.2
-88.7804641146424,33.2755415056785,-2.1
-88.7804596165505,33.2754983672338,-2.2
-88.7804552236277,33.2754553052633,-2.1
-88.7804520541453,33.2754122512583,-2.1
-88.7804490182986,33.2753691002081,-2.1
-88.7804460056594,33.2753259557029,-2.1
-88.7804441426076,33.2752828354827,-2.2
-88.7804423809916,33.2752402486609,-2.1
-88.780440637187,33.2751977376884,-2.1
-88.7804388755711,33.2751546452446,-2.1
-88.7804371173478,33.2751082094796,-2.1
-88.78043420484,33.2750651632077,-2.1
-88.7804309874208,33.275026286048,-2.1
-88.7804277978313,33.2749799345984,-2.1
-88.7804289557615,33.2749397363734,-2.2
-88.780430110324,33.2748947227777,-2.2
-88.7804312806025,33.2748516595269,-2.2
-88.7804324317973,33.2748085722166,-2.4
-88.7804335992693,33.2747658734256,-2.3
-88.7804347695478,33.2747224389155,-2.3
-88.7804359387037,33.2746792626,-2.3
-88.7804370946368,33.2746371069073,-2.2
-88.78043823673,33.2745940667071,-2.2
-88.780439402721,33.2745551056405,-2.2
-88.7804405487045,33.2745121069489,-2.1
-88.7804416885747,33.2744701105665,-2.1
-88.7804428495639,33.2744268734636,-2.1
-88.7804440072184,33.2743838311836,-2.1
-88.780445164873,33.2743407823358,-2.1
-88.780448848304,33.2742976641906,-2.1
-88.7804555335247,33.2742544166261,-2.1
-88.7804627683198,33.2742114188517,-2.2
-88.780468533348,33.2741681824362,-2.2
-88.7804738327355,33.274123455496,-2.2
-88.7804784317867,33.2740830857637,-2.2
-88.7804827187465,33.2740399403974,-2.1
-88.7804862010873,33.2739968915219,-2.2
-88.7804896466133,33.2739537287,-2.3
-88.7804927599243,33.2739098446231,-2.2
-88.7804956968527,33.2738675256087,-2.3
-88.7804986182717,33.2738244231492,-2.3
-88.7804982222805,33.2737823255893,-2.2
