White Crappie,Gizzard Shad,Black Crappie,Smallmouth Buffalo,Spotted Gar,Longnose Gar,Bowfin,Channel Catfish,Lake Chubsucker,Threadfin Shad,Freshwater Drum,Golden Shiner
0,1,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,2,0,0,0
0,3,1,0,0,0,1,1,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
